年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
98/04,910069,新曄,      3686673,        375444,         93827,        377203,         35812,      4568959,      2273379,        158510,         11169,      2443058,      1939642,         97665,        189958,       -137291,              0,         35927,      2125901,22.84,98年12月31日之新加坡幣對新台幣匯率,經會計師查核
98/04,9102,東亞科,      3293754,        168103,      1306882,        114428,         22568,      4905735,      2436893,        148369,         19391,      2604653,      2229549,         45451,       -150767,        123472,         -4774,         58151,      2301082,SGD $ 1: NT $22.84,資產負債表日台銀新加坡幣收盤價買賣均價,經會計師查核
98/04,9103,美德醫,      1764212,              0,      1306151,         32607,        172866,      3275836,      1057726,        572408,         23250,      1653384,        696492,        151726,        663854,         29760,              0,         80620,      1622452,US$1:NT$32.03,以98年12月31日台灣銀行之匯率換算,經會計師查核
98/04,910322,康師傅,     32777530,      2445476,     70910250,      3063298,      1321475,    110518029,     41841608,      5297193,      2308270,     49447071,        893609,     10670808,     29980228,      5245337,              0,     14280976,     61070958,US$1:NT$31.99,臺灣銀行98年12月31日即期匯率,經會計師查核
98/04,9104,萬宇科,      6355580,         23966,        761525,        230533,        310780,      7682384,      3862255,      1283159,         14905,      5160319,          3712,        518876,      1878009,         43845,              0,         77623,      2522065,4.1986,OANDA萬達亞太私人有限公司提供之匯率報價,經會計師查核
98/04,910482,聖馬丁,      4269038,         82113,        673788,        381731,         52137,      5458807,      1955832,         68946,         31124,      2055902,        274554,      1200834,      1826237,         62322,              0,         38958,      3402905,HKD$1:NT$4.130,以99年6月30日之匯率換算,經會計師查核
98/04,9105,泰金寶,     36017965,         62953,      7485390,        488224,        686054,     44740586,     29525639,              0,              0,     29525639,      3783464,      3018762,      8592962,       -180241,              0,              0,     15214947,0.96:1((THB:NT)),財報日之匯率,經會計師查核
98/04,910579,歐聖,      6712000,              0,      3239927,         51023,         33824,     10036774,      1691617,      1142217,              0,      2833834,      3693478,        574028,      3057139,       -121705,              0,              0,      7202940,RMB$1 : NT$  4.69,我國與十六個貿易對手通貨對美元之匯率,經會計師核閱
98/04,9106,新焦點,      1713737,              0,        805427,        538065,        105876,      3163105,        975199,        132936,         18162,      1126297,        257733,      1063446,        511318,        -32205,              0,        236516,      2036808,RMB＄1：NT$4.6858,臺灣銀行於財務報表日之即期匯率-買賣均價,經會計師查核
98/04,910801,金衛醫療,      6162591,      8013853,      2177410,        700233,      1466478,     18520565,        578545,      1946341,         69755,      2594641,        717583,      5292915,      7327150,        980334,              0,      1607942,     15925924,HKD$1：NT$ 4.502,民國九十八年度 3 月31 日之匯率,經會計師查核
98/04,9110,越南製造,      5623461,         24721,      1259871,          2527,        154615,      7065195,      1707157,              0,            614,      1707771,         37247,              0,      5320177,              0,              0,              0,      5357424,USD$1:NT$32.03,依財務報表日之匯率換算,經會計師查核
98/04,911201,僑威,      3453878,         79310,      2401663,         11120,        194438,      6140409,      2580514,        150178,        151692,      2882384,        107874,        833428,        846336,        287892,              0,      1182495,      3258025,HKD＄1：NT$4.126,台灣銀行,經會計師查核
98/04,911602,華豐泰國,        920864,              0,        802872,              0,         15984,      1739720,        277754,        163200,          4498,        445452,        632097,        213221,        448950,              0,              0,              0,      1294268,Baht＄1：NT$0.96,98/12/31之匯率,經會計師查核
98/04,911606,超級集團,      4457591,      1069412,      1954808,        432564,        395574,      8309949,      1345892,        418061,              0,      1763953,      3260233,          2196,      3331058,       -240611,        -41474,        234594,      6545996,SGD$1:NT$22.876,2009.12.31www.oanda.com網站公佈之匯率,經會計師查核
98/04,911609,揚子江,     69165803,     14681018,      9223260,     15030823,        822359,    108923263,     65222057,              0,        877504,     66099561,     23782930,              0,     20158226,     -1114593,         -2861,              0,     42823702,RMB$1：NT$ 4.69,我國與十六個貿易對手通貨對美元之匯率,經會計師查核
98/04,911610,聯合環境,      1842933,        205116,         47280,         40646,      1705500,      3841475,        910572,        329304,         47553,      1287429,      1645769,         45644,        877560,        -14927,              0,              0,      2554046,SGD$1:NT$22.72,依臺灣銀行99.3.31即期匯率,毋須經會計師查核或核閱
98/04,911612,滬安電力,      3473906,              0,        567511,        159468,         27716,      4228601,      2221377,          4256,              0,      2225633,      1221641,              0,        781327,              0,              0,              0,      2002968,4.7289,以98/12/31www.oanda.com公佈之匯率換算,經會計師核閱
98/04,911616,杜康控股,      2806007,              0,        106921,        121927,            509,      3035364,        326447,              0,              0,        326447,      1057994,        614174,      1467927,       -431178,              0,              0,      2708917,RMB$1:NT$4.8033,2009年6月底,經會計師查核
98/04,911626,華運中國,      1102634,              0,        587358,        109605,              0,      1799597,        372897,              0,              0,        372897,        571731,        323462,        531507,              0,              0,              0,      1426700,4.6415,匯率係採用各該期期末之台灣銀行匯率,經會計師查核
98/04,911868,同方友友,     10016211,        419062,      5508293,        384246,              0,     16327812,      2884066,        119745,              0,      3003811,        376840,      7111252,      5390677,        421739,              0,         23493,     13324001,HKD$1:NT&4.126,2009年12月末,經會計師查核
98/04,912398,友佳國際,      2726235,              0,        913238,        210765,              0,      3850238,      2101984,         47987,              0,      2149971,         16078,        674446,      1009743,              0,              0,              0,      1700267,RMB$ 1 : NT$ 4.6858,台灣銀行買入賣出平均價,經會計師查核
98/04,9136,巨騰,     21308796,        326207,     17451564,        557115,         15292,     39658974,     15567363,      5055671,              0,     20623034,        464733,      5931434,      8830939,      1334997,              0,      2473837,     19035940,HKD＄1：NT$4.1572,匯豐銀行,經會計師查核
98/04,913889,大成糖,      5207048,        380641,      4804995,      1198083,         33046,     11623813,      4129950,        902213,              0,      5032163,        479824,      2415562,      3047982,        624519,              0,         23763,      6591650,HKD＄1：NT$4.1572,OANDA萬達亞太私人有限公司提供之匯率報價,經會計師查核
98/04,9151,中國旺旺,     34408444,        268652,     19958017,      1588304,         19546,     56242963,     19997461,      4478600,              0,     24476061,      8450830,    -21646224,     41388022,      3427408,              0,        146866,     31766902,USD 1：NTD 31.99,臺灣銀行於財務報表日之即期匯率,經會計師查核
98/04,9157,陽光能源,      5310042,              0,      2732908,        300031,      1182883,      9525864,      2324655,        343566,        337669,      3005890,        762220,      4338329,        960116,        367533,              0,         91776,      6519974,RMB$1 : NT$4.6918,中央銀行 98/12/31之匯率,經會計師查核
98/04,9188,精熙國際,      5127037,              0,      1043002,          8029,         21465,      6199533,        817376,              0,              0,        817376,         34101,      2746497,      2342535,        259024,              0,              0,      5382157,USD$1:NTD$31.99,依臺灣銀行即期匯率(買入賣出平均價),經會計師核閱
