年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
98/01,1101,台泥,     48506002,      7724666,    127230295,      3365888,      6094463,    192921314,     38714520,     53392886,      5230295,      2610091,     99947792,     32921759,      8577038,     14217570,     18477727,              0,              0,     18779428,     92973522,              0.00,              0.00,             22.54
98/01,1102,亞泥,     38362333,     48610532,     54666118,      3037571,      7020161,    151696715,     23380182,     43341176,      1466299,      1811189,     69998846,     28987723,      8136962,     22082395,      9648284,              0,              0,     12842505,     81697869,              0.00,              0.00,             23.75
98/01,1103,嘉泥,     10674235,      7076273,     10993316,        979035,        356498,     30079357,      3428005,      6029037,      1291202,      1099826,     11848070,      7178779,        382859,      6420867,      2879747,       -850177,              0,      2219212,     18231287,              0.00,    141338165.00,             27.77
98/01,1104,環球水泥,      3996715,      6204609,      6815836,        389938,      2566707,     19973805,      4245971,      2217743,      1169037,        537463,      8170214,      6038919,        156218,      1608820,      3774139,              0,              0,        225495,     11803591,              0.00,              0.00,             19.17
98/01,1108,幸福水泥,      5432320,        280328,      3418661,         31135,        655983,      9818427,      3677680,      1431200,              0,        486845,      5595725,      4047380,         15970,        195795,        -39152,              0,              0,          2709,      4222702,              0.00,              0.00,             10.43
98/01,1109,信大水泥,      3889117,        940992,      2198706,          5343,        230851,      7265009,        310854,              0,              0,        361779,        672633,      4290898,         26992,      1876438,       -183451,        -64192,              0,        645691,      6592376,              0.00,      8089000.00,             14.13
98/01,1110,東泥,      1317677,      2387574,      4787535,              0,        890245,      9383031,        449927,              0,        243226,        586855,      1280008,      5720008,        179713,      1596180,        652265,        -48026,              0,          2883,      8103023,              0.00,      4301932.00,             14.27
98/01,1201,味全公司,      5338301,        284185,      6586372,        277725,      1150450,     13637033,      4439137,      1726920,        748907,      1565940,      8480904,      5060629,         77114,        298187,       -354634,              0,              0,         74833,      5156129,              0.00,              0.00,             10.04
98/01,1203,味王公司,      2608399,        455083,      3908262,         60213,        778970,      7810927,      1312369,        280257,        879848,        529429,      3001903,      2092537,         36154,        821690,      1181719,         -4951,              0,        681875,      4809024,              0.00,      2000000.00,             19.91
98/01,1210,大成長城,     13622287,      1304021,      8586212,        364939,      1204216,     25081675,      8411864,      1684704,         20754,        593144,     10710466,      4486784,      1653596,      2632660,        836636,       -218792,              0,      4980325,     14371209,              0.00,     33506245.00,             22.62
98/01,1213,大飲,        304731,         45196,        266202,              0,        155590,        771719,        143440,              0,              0,         39509,        182949,        514751,         21938,         54822,         -2741,              0,              0,              0,        588770,              0.00,              0.00,             11.44
98/01,1215,卜蜂企業,      2916210,        196629,      1315731,         36362,        120659,      4585591,      1460148,              0,              0,        290180,      1750328,      2320268,            967,        470534,        -74725,              0,              0,        118219,      2835263,              0.00,              0.00,             11.71
98/01,1216,統一,    101145489,     47592047,    101258938,      5117400,     18928516,    274042390,     89864318,     74776546,      1773357,      8613510,    175027731,     37331420,      6093456,     12705246,      3888343,              0,              0,     38996194,     99014659,              0.00,              0.00,             16.08
98/01,1217,愛之味,      2329074,      2253696,      3416482,         61319,      1363874,      9424445,      2506165,      1662360,         79974,        232748,      4481247,      4476893,         81461,       -158507,        110573,              0,              0,        432778,      4943198,              0.00,              0.00,             10.07
98/01,1218,泰山企業,      3915226,      2087990,      2507977,         43406,        237827,      8792426,      3371602,      1363567,        285250,        217061,      5237480,      3202434,        105726,        -21534,        375337,       -136243,              0,         29226,      3554946,              0.00,     12208428.00,             11.45
