年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,受託買賣借項,資產合計,流動負債,長期負債,其他負債,受託買賣貸項,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
95/02,2855,統一證券,     60060060,      3147163,      2564494,              0,      2269517,        121593,     68162827,     48965409,      2000000,        290524,              0,     51255933,     11370720,         47002,      5546263,       -104011,         46920,     16906894,              0,      4637000,             14.89
95/02,2856,元富證券,     67199358,      1089666,      2203627,         94991,      2546936,        279677,     73414255,     53356942,      1891851,        434149,              0,     55682942,     13782095,        223437,      4001125,       -275344,              0,     17731313,              0,     29807000,             13.60
95/02,6005,群益證,     59392917,        656595,      4325085,        447710,      2572636,        984589,     68379532,     47854080,         27698,        400913,              0,     48282691,     14009670,        845050,      5130144,         92158,         19819,     20096841,              0,              0,             14.72
95/02,6012,金鼎證券,     35918601,        728565,      2273968,        203949,      1757197,              0,     40882280,     29785108,        449754,        371753,        197232,     30803847,     10827764,         26278,       -852061,         29658,         46794,     10078433,              0,              0,              9.26
