年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
99/03,9102,東亞科,      4297590,        201746,      1230079,         12997,         59543,      5801955,      3258755,         99246,         77149,      3435150,      2319356,              0,       -118562,        129136,             23,         36852,      2366805,SGD $ 1: NT $ 23.76,採資產負債表日台銀新幣收盤價買賣平均匯率,毋須經會計師查核或核閱
99/03,910322,康師傅,     57524183,      3362357,     84064267,      3540289,      1285287,    149776383,     68463777,      7821565,      3244663,     79530005,        873217,      9313730,     36977110,      6325179,              0,     16757142,     70246378,US$1:NT$31.26,臺灣銀行99年9月30日即期匯率,毋須經會計師查核或核閱
99/03,9105,泰金寶,     46205065,        239635,      8933333,        399019,        522675,     56299727,     39504087,              0,              0,     39504087,      4128637,      3270326,      9966057,       -569380,              0,              0,     16795640,1:1.04(THB:NT),財報日之匯率,經會計師核閱
99/03,910579,歐聖,      6736758,              0,      4079014,         64568,         86353,     10966693,      1435106,      1105694,              0,      2540800,      3898071,        573086,      4070497,       -115761,              0,              0,      8425893,RMB$1：NT$ 4.6823,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
99/03,910861,神州,     66780112,      2637025,      2340085,      1089647,      2107957,     74954826,     46086798,      4927121,              0,     51013919,        412188,     11126209,      9636742,        619911,              0,      2145857,     23940907,HKD＄1：NT$3.77787,以99.12.31www.oanda.com網站公佈匯率換算,毋須經會計師查核或核閱
99/03,910948,融達,      3201429,        427999,        273849,         50660,         30343,      3984280,      1151319,              0,              0,      1151319,        148114,      1705985,        923056,         55806,              0,              0,      2832961,USD$1:NT$29.13,台灣銀行於財務報表日之即期匯率-買賣均價,毋須經會計師查核或核閱
99/03,911602,華豐泰國,        951454,              0,        810103,              0,         15190,      1776747,        328458,        103000,          5803,        437261,        678187,        228768,        514947,              0,        -82416,              0,      1339486,Baht＄1：NT$1.03,99/9/30之匯率,經會計師核閱
99/03,911606,超級集團,      6614285,        937997,      2077070,        414199,        165227,     10208778,      2038560,        322186,              0,      2360746,      3885805,          1663,      4089940,       -364917,         -8839,        244380,      7848032,SGD$1:NT$23.76,依臺灣銀行99.9.30之即期匯率,毋須經會計師查核或核閱
99/03,911608,明輝環球,      2389852,         59709,        408719,          5916,            832,      2865028,        873608,         31126,              0,        904734,        548119,      1383236,              0,           -737,              0,         29676,      1960294,SGD$1:NT$23.76,依臺灣銀行99.9.30即期匯率,毋須經會計師查核或核閱
99/03,911609,揚子江,     76054777,     22385117,     10273938,     15319034,        276143,    124309009,     67875760,        211130,      1657403,     69744293,     27388179,              0,     26067533,          4904,         -2858,      1106958,     54564716,RMB$1：NT$ 4.685,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
99/03,911610,聯合環境,      1872066,        184227,        443371,         39709,      2088023,      4627396,        673831,        701198,         54824,      1429853,      2110049,         45664,      1154616,       -112786,              0,              0,      3197543,SGD$1:NT$22.73,99.12.31臺灣銀行即期匯率,毋須經會計師查核或核閱
99/03,911611,中國泰山,      4496648,              0,      1315828,            508,         85910,      5898894,      1303916,              0,              0,      1303916,      1820989,         53651,      2345683,        374655,              0,              0,      4594978,RMB1:NT$4.669,Bloomberg顯示9月30日閉市匯率,毋須經會計師查核或核閱
99/03,911612,滬安電力,      6566755,              0,        642513,        155875,         19407,      7384550,      3794287,              0,          4229,      3798516,      2289461,         24703,      1271870,              0,              0,              0,      3586034,RMB$1：NT$ 4.699,以99/9/30www.oanda.com網站公佈之匯率換算,毋須經會計師查核或核閱
99/03,911616,杜康控股,      3227737,              0,         99951,        115757,          2241,      3445686,        441279,              0,              0,        441279,      1020042,        592143,      1807512,       -415290,              0,              0,      3004407,RMB$1:NT$4.631,2010年3月底,毋須經會計師查核或核閱
99/03,911626,華運中國,      1841560,              0,      1090915,        113792,              0,      3046267,        752249,              0,              0,        752249,        725783,        524249,      1043986,              0,              0,              0,      2294018,4.716,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
