年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
101/04,1101,台泥,     79724188,     18749854,    140870704,     14427212,      7658770,    261430728,     66985408,     54978887,      5229361,      2493472,    129687128,     36921759,     16024700,     21174505,     25688553,              0,              0,     31934083,    131743600,              0.00,              0.00,             27.03
101/04,1102,亞泥,     48883424,     61655405,     70379773,      5107283,      3806436,    189832321,     41256434,     42956462,      3449871,      1944551,     89607318,     32309181,      6590192,     25382092,     20387775,              0,              0,     15555763,    100225003,              0.00,              0.00,             26.21
101/04,1103,嘉泥,     12993115,      5201581,     10528737,        215615,        165823,     29104871,      2922279,      7922520,      1290719,        510847,     12646365,      7768285,        794367,      5401757,        123367,              0,              0,      2370730,     16458506,              0.00,    132150185.00,             21.85
101/04,1104,環球水泥,      2131034,      7562831,      4065239,         14288,      2162200,     15935592,      1129661,              0,      1179798,        242901,      2552360,      6038919,        153768,      3389736,      3626033,              0,              0,        174776,     13383232,              0.00,              0.00,             21.87
101/04,1108,幸福水泥,      5453302,         87111,      2603981,              0,        516476,      8660870,      2366882,      1607637,              0,        484854,      4459373,      4047380,         27431,         62535,         59775,              0,              0,          4376,      4201497,              0.00,              0.00,             10.37
101/04,1109,信大水泥,      3162082,        898824,      5044558,        173221,        267732,      9546417,      1271334,      1165440,              0,        392555,      2829329,      4210008,         42598,      1589493,        -12512,              0,              0,        887501,      6717088,              0.00,              0.00,             13.85
101/04,1110,東泥,      1224073,      2157523,      4909286,              0,        940075,      9230957,        393833,              0,        311371,        184842,        890046,      5720008,        185152,      1549279,        852443,              0,              0,         34029,      8340911,              0.00,      2112865.00,             14.58
101/04,1201,味全公司,     20920593,        261336,     12695164,        493189,        988303,     35358585,     16430745,      4937236,      1007250,      1985197,     24360428,      5060629,         37921,      2972272,        -23348,              0,              0,      2950683,     10998157,              0.00,              0.00,             15.90
101/04,1203,味王公司,      2917764,        268482,      3725385,            157,        834025,      7745813,      1540858,          5569,        879845,        592657,      3018929,      2400000,         45012,        440216,      1069081,              0,              0,        772575,      4726884,              0.00,      2293865.00,             16.64
101/04,1210,大成長城,     20405872,      2058274,     10712049,        974219,        705705,     34856119,     14949679,      2769021,         20754,        190612,     17930066,      5664572,      2285217,      2913634,        457264,              0,              0,      5605366,     16926053,              0.00,     40688225.00,             21.53
101/04,1213,大飲,        352591,         33872,        314685,              0,         93158,        794306,        121932,              0,         30839,          6329,        159100,        514751,         21938,         61890,         36627,              0,              0,              0,        635206,              0.00,              0.00,             12.34
101/04,1215,卜蜂企業,      5174039,      2034155,      2573916,         25549,        128236,      9935895,      4165573,        545852,              0,        390133,      5101558,      2320268,            967,        700181,      1735970,              0,              0,         76951,      4834337,              0.00,              0.00,             20.50
101/04,1216,統一,    124872320,     41970153,    139430133,     12125319,     20251817,    338649742,    119350950,     73586562,      2169441,     12755268,    207862221,     48624744,      6243882,     24785752,      2946724,              0,              0,     48186419,    130787521,              0.00,              0.00,             16.99
101/04,1217,愛之味,      3460105,      3227546,      4285942,        189074,      1359518,     12522185,      2121284,      4144967,         79974,        305514,      6651739,      4976893,        260575,         71485,        -70339,              0,              0,        631832,      5870446,              0.00,     10484000.00,             10.75
101/04,1218,泰山企業,      3540065,      2075443,      2620672,         43646,        316006,      8595832,      2457590,      2116015,        222537,        260054,      5056196,      3533360,         53748,       -122254,         69457,              0,              0,          5325,      3539636,              0.00,     13680042.00,             10.41
101/04,1219,福壽實業,      3812452,        285943,      2009518,          8876,         77459,      6194248,      1379562,        350000,        448422,        223880,      2401864,      3070473,         59244,        368672,        290633,              0,              0,          3362,      3792384,              0.00,              0.00,             12.34
101/04,1220,台榮,      1875957,        101009,        903267,         13577,        111205,      3005015,        429734,          5198,        157271,        116682,        708885,      1770779,            537,        117973,        253330,              0,              0,        153511,      2296130,              0.00,              0.00,             12.10
101/04,1225,福懋油,      3669226,        239776,      2607480,         84706,        202778,      6803966,      2066796,      2036326,         95560,         81400,      4280082,      1874060,         98310,         82108,        190054,              0,              0,        279352,      2523884,         16128.00,              0.00,             11.98
101/04,1227,佳格,     10728265,        234744,      2233417,        128878,        455963,     13781267,      3646985,          1455,         33685,         40990,      3723115,      5748973,         48814,      4062113,         58401,              0,              0,        139851,     10058152,              0.00,      4190040.00,             17.38
101/04,1229,聯華實業,      3110841,     17782451,      3870220,         69725,         83664,     24916901,      2282237,      2425000,         93543,        220832,      5021612,      8500698,      1107300,      7045608,      3151483,              0,              0,         90200,     19895289,      1215500.00,         94000.00,             23.30
101/04,1231,聯華食品,      2528402,          5528,      1673873,         37183,        566796,      4811782,      1283821,        991022,              0,        154343,      2429186,      1224480,         73042,      1125905,        -53295,              0,              0,         12464,      2382596,              0.00,              0.00,             19.36
101/04,1232,大統益,      3688074,          1275,        703343,          2503,         12186,      4407381,      1387821,              0,              0,         15420,      1403241,      1599749,         23784,      1386690,        -40077,              0,              0,         33994,      3004140,              0.00,              0.00,             18.57
101/04,1233,天仁,        726393,        279311,        946944,            588,         69700,      2022936,        373913,              0,         47401,         16850,        438164,        905919,         60605,        466824,        138524,              0,              0,         12900,      1584772,              0.00,              0.00,             17.35
101/04,1234,黑松,     11155729,      8695250,      3725969,          9835,        759030,     24345813,      1328145,              0,      2219532,        511347,      4059024,      5358281,        184601,      9984125,      4759782,              0,              0,              0,     20286789,              0.00,              0.00,             37.86
101/04,1235,興泰,      1240345,        184056,        200603,              0,        159076,      1784080,        741157,            270,         54280,         20958,        816665,        561688,         27674,        114960,        261738,              0,              0,          1355,        967415,              0.00,      2131610.00,             17.88
101/04,1236,宏亞食品,        922379,         31071,      1822047,              0,        135644,      2911141,        696492,        500000,              0,        244779,      1441271,      1083425,         33396,        410014,        -56965,              0,              0,              0,      1469870,              0.00,              0.00,             13.57
101/04,1256,F-鮮活,        472238,              0,        232147,         22735,          5651,        732771,        295340,              0,              0,          6917,        302257,        176400,         60109,        190805,          1369,              0,              0,          1831,        430514,              0.00,              0.00,             24.30
101/04,1262,F-綠悅,      2357531,              0,      3028993,        249640,         29122,      5665286,      2685922,      1053369,              0,              0,      3739291,             29,        967143,      1001866,        -43043,              0,              0,              0,      1925995,              0.00,              0.00,        664136.21
101/04,1301,台塑,    137042332,    132422419,     77128790,      1084646,     12371022,    360049209,     62609367,     58676874,              0,     12142500,    133428741,     61209046,     12829549,    109456742,     43125131,              0,              0,              0,    226620468,              0.00,              0.00,             37.02
101/04,1303,南亞塑膠,    198183597,     96298925,    146291249,      2215960,      8626409,    451616140,     69176942,    104760511,              0,     19934188,    193871641,     78522986,     26785515,    109718974,     31538905,              0,              0,     11178119,    257744499,              0.00,        183235.00,             31.40
101/04,1304,台聚,     33587052,      3145094,     15478293,        601424,      2091399,     54903262,     13707900,      6110850,        800992,      3094503,     23714245,     11426024,        264412,      5606241,          5482,              0,              0,     13886858,     31189017,              0.00,    104438075.00,             16.67
101/04,1305,華夏,      5035349,        314368,      4697568,         19233,      1025913,     11092431,      2225974,      1213132,        592084,      1261526,      5292716,      4248035,          9339,        777014,        559443,              0,              0,        205884,      5799715,              0.00,              0.00,             13.17
101/04,1307,三芳化工,      6329107,        121382,      4957923,        125906,         63372,     11597690,      2754473,      1316167,        414610,        473473,      4958723,      3534562,        137866,      2500450,        466089,              0,              0,              0,      6638967,              0.00,              0.00,             18.78
101/04,1308,亞聚,      4649134,      4465812,        680835,              6,        593863,     10389650,        635291,              0,         21469,        284272,        941032,      4696769,         31821,      3102592,      1617436,              0,              0,              0,      9448618,              0.00,              0.00,             20.12
101/04,1309,台達化工,      6455404,        843125,      2169995,         45176,        221766,      9735466,      4600797,        400000,        143860,        524686,      5669343,      3276518,          4873,        198548,        586184,              0,              0,              0,      4066123,              0.00,              0.00,             12.41
101/04,1310,台苯,      4931512,      1548299,      3671237,         69166,        382432,     10602646,      4703044,        599277,        215524,         36003,      5553848,      5027331,        151895,       -558281,       -385751,              0,              0,        813604,      5048798,              0.00,        265351.00,              8.43
101/04,1312,國喬石化,      6640768,      6750291,      9499876,        704877,        283602,     23879414,      4885612,      1300000,      1062196,        383702,      7631510,      9266203,        252698,      3467004,      1453648,              0,              0,      1808351,     16247904,              0.00,      8254473.00,             15.72
101/04,1313,聯成,     26629366,      3742631,     10601837,      1035684,        305530,     42315048,     18502073,      5345543,         99828,        323986,     24271430,     11287598,      1151628,      5142473,        414837,              0,              0,         47082,     18043618,      2812750.00,      6883000.00,             16.03
101/04,1314,中石化,     14653752,      4868766,     18917935,         54040,      6919290,     45413783,      4416918,      1359681,      3871792,        305743,      9954134,     23199897,        160174,      7729869,      4331103,              0,              0,         38606,     35459649,              0.00,              0.00,             15.27
101/04,1315,達新工業,      3905844,        488371,      4364774,         85469,        428066,      9272524,        973042,         36456,        739997,        309692,      2059187,      2200000,         48512,      1150470,      3799227,              0,              0,         15128,      7213337,              0.00,      7930000.00,             33.94
101/04,1316,上曜,      1359569,         54191,        724230,         47392,         91230,      2276612,        797362,        268889,         33660,          8470,      1108381,        668127,         87728,       -152165,          9361,              0,              0,        555180,      1168231,              0.00,      3162000.00,              9.63
