年季,公司代號,公司名稱,流動資產,貼現及放款,基金與投資,固定資產,無形資產,其他資產,流動負債,存款及匯款,央行及銀行同業融資,長期負債,其他負債,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,資產合計,負債合計,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
100/04,1409,新纖,     33919394,     33909348,      7698215,     20770791,         41512,      6110632,     16731700,     43934962,              0,     10140779,      2537920,     18282070,      1138500,      2628150,        704018,              0,    102449892,     73345361,      6351793,     29104531,              0,     35663487,             12
100/04,1718,中纖,     94732635,    277756366,     17128450,     13351560,        331245,      5236221,     20471008,    333519018,      2877550,     14193884,      1551669,     14105902,      1853088,      1946790,       -585504,              0,    408536477,    372613129,     18603072,     35923348,              0,    280112859,             15
100/04,2514,龍邦國際,     43508299,     40477827,    229144435,      9266273,         14522,     41526631,      7617324,              0,              0,      7457901,    338569067,      5144340,        801670,        862391,     -2268490,              0,    363937987,    353644292,      5753784,     10293695,              0,     43929000,              9
100/04,2905,三商,     61736486,     49533225,    341567826,      9969386,         75470,     56794257,     11522026,              0,              0,     10466803,    485328890,      6064743,        903086,      3867226,     -4109238,              0,    519676650,    507317719,      5633114,     12358931,              0,     34785000,             11
