年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,固定資產-淨額,無形資產,其他資產,資產總計,央行及銀行同業存款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,與待出售資產直接相關之負債,存款及匯款,央行及同業融資、應付金融債券,特別股負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值
100/03,2801,彰化銀行,     27082099,     86225648,     35667447,              0,     22045047,              0,  1116153539,     57965926,    158119726,              0,     14651671,     23419837,         56243,     15083962,  1556471145,    115744089,              0,      6145565,     11300918,     29215234,              0,  1251497590,     38502287,              0,      9374827,  1461780510,     67683284,              0,     17179091,      9828260,     94690635,              0,     94690635,              0,              0,             13.99
100/03,2809,京城銀行,      2549314,     39598628,      3239590,              0,        703676,              0,     97382345,      1649496,      6490143,              0,     23180265,      2676870,         13927,        889020,    178373274,      3175297,              0,          5015,     13219082,      1336001,              0,    136413844,      8080239,              0,      1252553,    163482031,     10512343,        172071,      4213439,         -6610,     14891243,              0,     14891243,      1492000,              0,             14.19
100/03,2812,台中銀行,      5080948,     66164318,      1098994,              0,      2680870,         98629,    264762692,      1487818,      9860572,        129674,        770478,      3287413,              0,      2323772,    357746178,      4736606,              0,        276737,        100057,      4041010,              0,    314854992,     12486081,              0,        483139,    336978622,     18065478,        750718,      1713637,        237723,     20767556,              0,     20767556,              0,     22690206,             11.50
100/03,2836,高銀,      2683604,     22051381,      2099604,      4865648,      1255563,              0,    161301662,     11794574,      5980878,              0,      2342274,      2205629,         63419,        778247,    217422483,     11029475,              0,         21628,        113552,      4062873,              0,    188443928,      4000000,              0,        583092,    208254548,      5869476,      2017724,      1295960,        -15225,      9167935,              0,      9167935,              0,              0,             15.62
100/03,2838,聯邦銀行,      6597015,     84658800,      8603525,        231064,     15402275,              0,    188202472,      7862993,      1451615,         53635,     58673034,      7985878,      2243987,      9285099,    391251392,      8764834,        919270,        136664,     36391898,      4671961,              0,    310772374,      4890000,              0,      2648001,    369195002,     19484996,         33811,      2902469,       -586398,     21834878,        221512,     22056390,              0,              0,             11.21
100/03,2845,遠東商銀,      6952788,     74854385,     17866399,        530000,     19698640,              0,    261280151,     16835319,      3557822,      2533274,     13464712,      2880854,      1914479,      1599102,    423967925,     10815084,              0,      5455676,              0,      7707922,              0,    357620969,     16737941,              0,      1197074,    399534666,     21185604,         29008,      3216342,          2305,     24433259,              0,     24433259,              0,              0,             11.53
100/03,2849,安泰銀行,      3669903,     74125738,      8205404,              0,      7955861,              0,    206784723,     48810561,              0,              0,      2370916,      1426423,        243730,      5110734,    358703993,     10193196,              0,     16188029,     12419530,      3923124,              0,    281506243,     11240000,      1414865,        473422,    337358409,     16796775,      1461505,      3185134,        -97830,     21345584,              0,     21345584,              0,              0,             12.71
