年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
101/04,910069,新曄,      6145571,        356566,        725750,        409361,         32029,      7669277,      4263114,        441746,         11477,      4716337,      2539967,         84966,        544175,       -264234,              0,         48066,      2952940,23.76,101年12月31日之新加坡幣對新臺幣匯率,經會計師查核
101/04,9103,美德醫,      1876271,              0,      1079139,         20803,        321749,      3297962,      1334283,        315805,              0,      1650088,        633563,        154362,        733033,         48424,              0,         78492,      1647874,USD＄1：NT$29.136,中央銀行我國與主要貿易對手通貨對美元匯率,經會計師查核
101/04,910322,康師傅,     56967130,      3984376,    140915554,      8238445,      1540310,    211645815,     80598691,     28603848,      5707115,    114909654,        812075,      7179270,     52632764,     10452773,              0,     25659279,     96736161,USD$1 : NTS29.04,臺灣銀!101年12月31日即期匯率,經會計師查核
101/04,910482,聖馬丁,      4298820,         42386,        703588,        362748,        599999,      6007541,      3279857,         82421,         78048,      3440326,        321824,      1380812,        697021,        178730,              0,        -11172,      2567215,HKD$1:NT$3.867,以102年06月30日之匯率換算,經會計師查核
101/04,9105,泰金寶,     39759122,        154630,     14181872,        332137,        222683,     54650444,     39211874,        900624,              0,     40112498,      3873678,      3003413,      8986400,     -1325545,              0,              0,     14537946,0.95:1(THB:NT),財報日之匯率,經會計師查核
101/04,910579,歐聖,        399120,              0,      3304471,         63194,         48405,      3815190,        782640,      1668497,              0,      2451137,        332916,      5069340,     -3980661,        -57542,              0,              0,      1364053,RMB$1:NT$4.61,我國與十六個貿易對手通貨對美元之匯率,經會計師查核
101/04,9106,新焦點,      3674169,          4661,      1165848,      2232790,         98391,      7175859,      3166342,      1598296,        481414,      5246052,        277070,      2061775,       -970832,        -26755,              0,        588549,      1929807,RMB$1: NT$4.6611,臺灣銀行於財務報表日之即期匯率-買賣均價,經會計師查核
101/04,910708,恒大健,        850935,              0,      1323224,          2678,          3244,      2180081,        493515,         11043,              0,        504558,         33290,      1416717,        225516,              0,              0,              0,      1675523,3.853,101.06.30 港幣兌新台幣匯率,經會計師查核
101/04,910801,金衛醫療,      4776499,      6617147,      3808856,     11582004,         31451,     26815957,      6227408,        376035,      1306598,      7910041,        781291,      6470040,      8323831,        559430,              0,      2771324,     18905916,HKD1:NTD3.9280,民國101年3月31日匯率,經會計師查核
101/04,910861,神州,     96578860,      5062013,      5267779,      2954858,      1609872,    111473382,     67192981,     10705943,              0,     77898924,        431578,     12398622,     16287846,      1122720,              0,      3333692,     33574458,HKD＄1：3.9469NT$,以102.03.31www.oanda.com網站公佈匯率換算,經會計師查核
101/04,910948,融達,      4421365,        926571,         87013,        145881,              0,      5580830,      2143627,              0,              0,      2143627,        151673,      1760839,      1370428,        154263,              0,              0,      3437203,USD$1:NT$29.83,臺灣銀行於財務報表日之即期匯率-買賣均價,經會計師查核
101/04,9110,越南製造,      5003273,         19735,        856476,          6991,        207684,      6094159,      1085022,              0,            591,      1085613,         33882,              0,      4974664,              0,              0,              0,      5008546,( USD$1: NT$29.136 ),台北外匯經紀股份有限公司,經會計師查核
101/04,911201,僑威,      4011254,        268311,      2088773,         67611,            487,      6436436,      2918362,             60,        102410,      3020832,         97965,        792761,        714931,        412904,              0,      1397043,      3415604,HK$1:NT$3.747,民國101年12月31日銀行匯率,經會計師查核
101/04,911602,華豐泰國,      1146923,              0,        647406,              0,         12193,      1806522,        329011,              0,         11318,        340329,        625513,        316685,        563326,              0,        -39331,              0,      1466193,Baht＄1：NT$0.95,101/12/31之匯率,經會計師查核
101/04,911608,明輝環球,      2909840,        205976,        682007,        167365,         80736,      4045924,      2062914,              0,          2733,      2065647,      1032633,              0,        930442,         -2519,              0,         19721,      1980277,SGD$1:NTD23.76,臺灣銀行於財務報表日之即期匯率,經會計師查核
101/04,911609,揚子江,    100851109,     20738468,     19929441,     18978158,      7764757,    168261933,     55456436,     18258756,      5200095,     78915287,     29609609,              0,     57029308,       -724440,        -97762,      3529931,     89346646,RMB$1:NT$4.66,於財務報表日銀行即期匯率,經會計師查核
101/04,911610,聯合環境,      5348283,      1249426,        319553,      2107618,      4545953,     13570833,      3210938,      3754005,        143044,      7107987,      3642393,        616576,      2047470,        -82391,              0,        238798,      6462846,SGD＄1：NT$24.07,臺灣銀行於財務報表日之即期匯率,經會計師查核
101/04,911611,中國泰山,      3493625,              0,      3154606,            499,         33701,      6682431,      1134291,              0,              0,      1134291,      2619400,         53548,      2445060,        452076,        -21944,              0,      5548140,RMB1:NTD4.6598,Bloomberg顯示12月31日閉市匯率,經會計師查核
101/04,911612,滬安電力,      8889979,              0,      2753952,        579538,         17705,     12241174,      5944387,        942766,              0,      6887153,      3033464,         36375,      2287075,         -2893,              0,              0,      5354021,4.6214,以2012年12月31日www.oanda.com網站之匯率,經會計師查核
101/04,911616,杜康控股,      4575366,        726690,      2279398,        881564,        810217,      9273235,      1604493,              0,        330006,      1934499,      1313925,      3087669,      3434570,       -497428,              0,              0,      7338736,RMB$1:NT$4.701,2012年6月底,經會計師查核
101/04,911619,耀傑集團,      1177845,         28345,         44611,              0,          2942,      1253743,        159714,            909,              0,        160623,        809716,              0,        442568,          4234,       -163302,            -96,      1093120,SGD$1:NT$23.92,臺灣銀行於財務報表日之即期匯率,經會計師查核
101/04,911622,泰聚亨,      4484226,        292611,      5159268,            695,        102270,     10039070,      4386304,         43076,         12557,      4441937,      5733287,              0,        -85774,         -5225,        -45155,              0,      5597133,THB$1:NT$0.95,以101/12/31公佈匯率換算,經會計師查核
101/04,911626,華運中國,      2712609,              0,      1328878,        168944,              0,      4210431,        498839,              0,              0,        498839,        817182,        640405,      2254005,              0,              0,              0,      3711592,CNY $1: NT $4.66,匯率係採用各該期期末之台灣銀行匯率,經會計師查核
101/04,911868,同方友友,      5439519,        238966,      3488653,        344145,              0,      9511283,      2963920,        509651,              0,      3473571,        360981,      7186864,     -2748935,      1206751,              0,         32051,      6037712,HKD$1:NT$3.843,20130331,經會計師查核
101/04,912000,晨訊科技,      8521825,        326084,      2622228,        789179,          6550,     12265866,      4662081,              0,         25896,      4687977,      1264503,      2907213,      2235655,        880628,              0,        289890,      7577889,HKD  $1: NT$3.747,臺灣銀行於財務報表日之即期匯率,經會計師查核
101/04,912398,友佳國際,      5634407,         84333,      1313531,        190313,              0,      7222584,      4175845,              0,          5466,      4181311,         18747,        931936,      2104665,        -14075,              0,              0,      3041273,RMB 1 : NT$ 4.6611,台銀買入賣出均價,經會計師查核
101/04,9136,巨騰,     23705808,        117448,     25103770,        836249,         40843,     49804118,     18887717,      5942482,              0,     24830199,        430574,      5314730,     12031573,      2590557,              0,      4606485,     24973919,HKD＄1：NT$3.7436,臺灣銀行101年12月31日即期中價匯率,經會計師查核
101/04,913889,大成糖,     11949926,              0,      5662871,      1484679,              0,     19097476,      9291515,      1211441,        332853,     10835809,        572892,      4100596,      2571457,      1038391,              0,        -21669,      8261667,HKD＄1：NT$3.7503,www.oanda.com/convert/fxhistory,經會計師查核
101/04,9151,中國旺旺,     65859003,        427062,     30368348,      3815159,         40714,    100510286,     34286541,     18963120,        692981,     53942642,      7682677,    -26825439,     57920977,      7554583,              0,        234846,     46567644,USD $ 1: NT$29.04,臺灣銀行於財務報表日之即期匯率,經會計師查核
101/04,9157,陽光能源,      7275807,        581724,      8944541,        473771,      1121560,     18397403,      8717585,      3673281,      1133306,     13524172,      1022632,      7006205,     -4107968,        801146,              0,        151216,      4873231,RMB$1 : NT$4.6741,中央銀行 101/12/31之匯率,經會計師查核
101/04,9188,精熙國際,      4050500,        298299,        717346,          7434,         13184,      5086763,        655055,              0,              0,        655055,         30957,      2497552,      1628480,        274719,              0,              0,      4431708,USD＄1：NT$29.04,依臺灣銀行於101年12月31日之即期匯率,經會計師查核
