年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
101/02,2880,華南金,,     41007705,    118137108,     45672598,        658323,     46739440,              0,  1323686768,     65809127,    301899740,         83959,     22281432,        609141,     32046147,        447610,     12763415,  2011842513,,    108443449,              0,     22035867,     25897469,      1219750,     47562741,              0,  1606515111,     38350000,      3855000,              0,      2218735,      9450701,     10041960,      8269479,  1883860262,,     86250301,     17758992,     18086070,      5885472,    127980835,          1416,    127982251,              0,              0,             15.58
101/02,2881,富邦金,,    189384865,     95969835,     83603649,     64462731,    113073578,              0,  1230864338,  1022338537,    457295215,      3618442,    498847997,     71067326,     31976169,     13689859,     27197646,  3903390187,,     59453175,              0,     32035170,     45547913,              0,     74033888,              0,  1374011132,    113213699,         29900,              0,              0,  1751183641,    182129554,     30511122,  3662149194,,     94975989,     55351606,     68752343,     22161055,    241240993,              0,    241240993,      1486000,              0,             26.68
101/02,2882,國泰金,,    667635827,    103317520,     72505894,     17667901,    104051632,              0,  1529937093,  1304190088,     24694512,      1074290,  1061723178,    150278378,     40163142,      9583949,    109693595,  5196516999,,     63492065,      1495000,     14450598,     16356889,      3820000,     58077700,              0,  1411377909,     80198566,              0,              0,              0,  3001608297,    312657653,     12521748,  4976056425,,    108653852,     78508148,     23788665,      5773036,    216723701,      3736873,    220460574,    200000000,              0,             21.34
101/02,2883,開發金,,     20429301,     55606895,     83373683,     13529659,     48446263,              0,     83666356,     75510129,              0,      6746519,     53551653,              0,      7866282,      8202272,     29758946,    486687958,,      4876308,              0,     15388537,     88893235,      7541135,     37187876,              0,     80411588,     37960340,     12720392,              0,              0,              0,     30383700,     11783278,    327146389,,    144561641,      2985298,      6328234,     -8136856,    145738317,     13803252,    159541569,    247306000,              0,             10.26
101/02,2884,玉山金控,,     23933192,     45183385,     62760910,         15202,     51261932,              0,    699712027,     54275732,    216607438,              0,      6521476,              0,     16077159,      4119501,      4554684,  1185022638,,     51685832,              0,     14243586,      6875141,      1247540,     24059758,              0,    959718924,     55300000,              0,              0,              0,              0,      1908213,      1243103,  1116282097,,     48107000,     13357909,      7398144,       -122512,     68740541,              0,     68740541,              0,              0,             15.03
101/02,2885,元大金,,     37129716,     87703828,     75359355,      2735916,     81908308,        257549,    363922163,     29845101,      2626709,        500694,     37446833,              0,     13457544,     27273717,     10970463,    771137896,,      8711870,              0,     11150447,     29895254,      2519526,     72852559,              0,    423025203,     30825135,      5108970,              0,      1974306,        571183,     19432889,     11955130,    618022472,,    100162105,     34766524,     17358941,     -2090460,    150197110,      2918314,    153115424,      3612000,              0,             15.00
101/02,2886,兆豐金,,    164352064,    195060112,    179753251,      1068269,    120361014,              0,  1516003548,    163683360,    161389241,      2532811,     22996194,        293961,     22759957,        265439,     12026253,  2562545474,,    271359196,     61058136,     15416493,    185312377,      2209362,     70123874,              0,  1641547390,     62725270,      8424000,              0,      1389720,     14659279,     13079630,      9130178,  2356434905,,    114498240,     43425270,     43398476,      4487318,    205809304,        301265,    206110569,              0,              0,             18.24
101/02,2887,台新金控,,     51308711,    108963840,     72825380,        356933,    108689006,              0,  1764967382,    256408544,    193599036,        281860,     13245666,              0,     41845251,     21817522,     22419649,  2656728780,,    179544111,              0,     10765401,     56591095,              0,     58196063,              0,  2035558700,    104125347,        110319,              0,              0,        822249,     13808039,      9910760,  2469432084,,     80827436,     19259973,      8830567,        692411,    109610387,     77686309,    187296696,              0,              0,             14.58
101/02,2888,新光金,,     89847706,    102578462,     52855295,      4902796,     53946079,         89080,    595624674,    324424787,    236363130,        142403,    598666898,     95950262,     22316476,      5197259,     32988310,  2215893617,,      5231895,              0,      6448825,     35245356,      2349748,     21025707,              0,    472620683,     34465894,      3285120,      1654000,              0,  1432809649,    101132969,     16586070,  2132855916,,     84363876,      9161562,     15182243,    -38572642,     70135039,     12902662,     83037701,              0,              0,              8.31
101/02,2889,國票金控,,      2204343,             65,    112883141,        541253,     10886440,              0,              0,     73178067,              0,      1416993,      4305268,              0,      2026853,        528821,      2090670,    210061914,,              0,      9361566,        546601,    159299898,      3637661,      2303158,              0,              0,              0,              0,              0,         79761,      1197362,      1767572,         45986,    178239565,,     25529802,          7544,      1839377,        506058,     27882781,      3939568,     31822349,              0,              0,             11.36
101/02,2890,永豐金控,,     23923917,     66461622,     55639196,      8016817,     69172917,              0,    754531575,     49718482,    240265464,         69495,     31030757,              0,     12357569,      2320625,     10371814,  1323880250,,     58959570,              0,     10287921,     26919065,     12003625,     27855035,              0,  1009628749,     37016074,     19823407,        129060,              0,              0,     21795477,      5487018,  1229905001,,     75422739,      2014574,     16115753,        422183,     93975249,              0,     93975249,         33972,              0,             12.85
101/02,2891,中信金,,     64737966,    130507581,     83017079,        528811,    127056319,              0,  1078678014,    448151444,     93530832,      3673508,     14692617,        691982,     34770173,     13632922,      8186857,  2101856105,,     59791898,      5916216,     28319694,     77127893,              0,     58322470,              0,  1468064725,     66833126,              0,              0,              0,    113795120,     27727447,      6243396,  1912141985,,    131670262,     39374281,     22180181,     -3606075,    189618649,         95471,    189714120,              0,              0,             15.59
101/02,2892,第一金控,,     50669747,    124645434,     15877037,      3760273,     65817910,              0,  1404111909,     82281945,    290333450,      2313391,     16126580,      1047900,     27203040,        219363,     10923217,  2095331196,,    151669533,         76758,     23279031,     11793731,      1534977,     77270196,              0,  1601541860,     34700000,        329915,              0,      2102404,     13187084,     38065265,      8100459,  1963651213,,     81253607,     18200167,     22630450,      9002107,    131086331,        593652,    131679983,              0,              0,             17.10
101/02,5880,合庫金,,     56722389,    653579009,     35633356,      2491807,     29426262,              0,  1887132309,    106915836,      9522821,         93909,     78584478,              0,     36473786,      3842101,      6511071,  2906929134,,    232226996,              0,      4753158,     63735510,      1783627,     47834558,              0,  2233222872,    101730000,        345000,              0,      2538922,     53449135,     33305824,      5544055,  2780469657,,     69266667,     51690557,      4449342,       -655925,    124750641,      1708836,    126459477,    206739279,              0,             19.52
