年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
96/02,1101,台泥,     55563999,      9335086,    102662082,        128221,      6949317,    174638705,     32902837,     49728348,      5230821,      2347478,     90209484,     32486372,      5768907,     10718626,     24486307,              0,              0,     10969009,     84429221,              0.00,              0.00,             22.90
96/02,1102,亞泥,     24663071,     47466339,     33891872,      1393975,      8310187,    115725444,     14082344,     32785109,      1466299,      1815878,     50149630,     27346909,      6902839,     17218661,     11769783,              0,              0,      2337622,     65575814,              0.00,              0.00,             24.97
96/02,1103,嘉泥,     13850852,      1571285,     16563645,      2203562,        786659,     34976003,      5119261,      7881277,      1291202,        956030,     15247770,      6736871,        550796,      6158762,      3073531,       -850176,              0,      4058449,     19728233,              0.00,    128464631.00,             28.74
96/02,1104,環球水泥,      4974015,      5128411,      6113038,        393445,      2228324,     18837233,      2967718,      2466787,      1169037,        542523,      7146065,      5591592,        178465,      1758525,      3453951,              0,              0,        708635,     11691168,              0.00,              0.00,             21.61
96/02,1108,幸福水泥,      5897398,        257748,      2661398,         27758,        605349,      9449651,      3895907,        771519,              0,        466299,      5133725,      4047380,         15956,        256098,        -12199,              0,              0,          8691,      4315926,              0.00,              0.00,             10.64
96/02,1109,信大水泥,      3920631,      1039229,      2137216,          5417,        248176,      7350669,        736266,              0,              0,        332673,      1068939,      4290898,         20743,      1770244,          3582,              0,              0,        196263,      6281730,              0.00,              0.00,             14.18
96/02,1110,東泥,      1471594,      2747992,      5279385,              0,        474193,      9973164,        586233,        114334,        243226,        672820,      1616613,      5760008,        166817,      1619837,        854616,        -48026,              0,          3299,      8356551,              0.00,      4301932.00,             14.61
96/02,1201,味全公司,      5281352,        204100,      6439035,        480960,      1069798,     13475245,      5251930,      1747217,        748907,      1391800,      9139854,      5060629,         97046,       -665808,       -226917,              0,              0,         70441,      4335391,              0.00,              0.00,              8.43
96/02,1203,味王公司,      2874090,        200177,      4361061,        118194,        720605,      8274127,      2246902,        600672,        879848,        441349,      4168771,      2092537,         36154,       -116347,      1315709,         -4951,              0,        782254,      4105356,              0.00,      2000000.00,             16.03
96/02,1210,大成長城,     11855539,      1292122,      5337511,        108188,        471047,     19064407,      9655458,      1094442,         20754,        247758,     11018412,      4218966,        218166,      1512327,        640773,       -333013,              0,      1788776,      8045995,              0.00,     43446822.00,             17.45
96/02,1213,大飲,        425175,              0,        194902,              0,        180784,        800861,        185920,              0,              0,         36682,        222602,        514751,         21938,         42509,           -939,              0,              0,              0,        578259,              0.00,              0.00,             11.23
96/02,1215,卜蜂企業,      2514564,        388042,      1068736,         37767,        100084,      4109193,      1229730,              0,              0,        206684,      1436414,      2320268,            967,        185983,         72430,              0,              0,         93131,      2672779,              0.00,              0.00,             11.12
96/02,1216,統一,     83815660,     53102304,    100760963,      4955105,     16375319,    259009351,     98592512,     66415942,      1773357,      7583682,    174365493,     35553733,        360022,     10932947,      7311670,              0,              0,     30485486,     84643858,              0.00,              0.00,             16.15
96/02,1217,愛之味,      2749721,      2800755,      2679731,         43341,      1078834,      9352382,      2731345,      2243782,         79974,        191250,      5246351,      3776893,         23012,        -19960,        121930,              0,              0,        204156,      4106031,              0.00,              0.00,             10.33
96/02,1218,泰山企業,      3612432,      2544263,      2654549,         61561,        415013,      9287818,      3752418,      1618215,        285250,        253485,      5909368,      3202434,         47717,        -93202,        394727,       -185965,              0,         12739,      3378450,              0.00,     19586429.00,             11.19
96/02,1219,福壽實業,      2398742,        239222,      2148181,         57508,        113539,      4957192,        773197,         60000,        505262,        220288,      1558747,      2663184,        241228,        133451,        328350,              0,              0,         32232,      3398445,              0.00,              0.00,             12.64
96/02,1220,台榮,      1841611,        110026,        777062,         26877,        120026,      2875602,        813518,              0,          5813,        109289,        928620,      1770779,            537,        -97774,         36191,              0,              0,        237249,      1946982,              0.00,              0.00,              9.66
96/02,1225,福懋油,      2180903,        193102,      2798763,        118992,        143449,      5435209,      2010722,      1124668,        100296,        113322,      3349008,      1627000,         94029,         11371,         79450,              0,              0,        274351,      2086201,              0.00,              0.00,             11.14
96/02,1227,佳格,      4040529,        850554,      2196466,         76876,        420081,      7584506,      2809553,        277500,          2921,         41921,      3131895,      3209184,         17828,      1034844,        130013,        -21182,              0,         81924,      4452611,              0.00,      2338960.00,             13.72
