年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
100/02,910069,新曄,      6555166,        581802,        337474,        329955,         33410,      7837807,      4691024,        488829,         16366,      5196219,      2257175,         53423,        518171,       -234572,              0,         47391,      2641588,23.38,100年6月30日之新加坡幣對新台幣匯率,毋須經會計師查核或核閱
100/02,9103,美德醫,      1691357,              0,      1424904,         29443,        195904,      3341608,      1362140,        390401,         23899,      1776440,        624625,        136070,        657803,         69400,              0,         77270,      1565168,US$1:NT$28.725,以100年06月30日台灣銀行之匯率換算,毋須經會計師查核或核閱
100/02,910322,康師傅,     58331008,      2920031,     98538470,      4933573,      1466781,    166189863,     88407381,      4878785,      3900443,     97186609,        802860,      3287976,     39530814,      9147201,              0,     16234403,     69003254,US$1:NT$28.73,臺灣銀行100年6月30日即期匯率,毋須經會計師查核或核閱
100/02,9104,萬宇科,      5999167,        153348,        605244,        322735,            304,      7080798,      3669252,        475517,              0,      4144769,          3852,        539655,      2299016,        -19016,              0,        112522,      2936029,4.3928,www.oanda.com,經會計師核閱
100/02,910482,聖馬丁,      3763387,        347855,        712695,        291755,        111391,      5227083,      1546323,         30194,         46257,      1622774,        288631,      1201249,      1922849,        144972,              0,         46608,      3604309,HKD$1:NT$3.897,以100年12月31日之匯率換算,經會計師核閱
100/02,9105,泰金寶,     41311143,        202948,      9360511,        466484,        303302,     51644388,     35074841,         42729,              0,     35117570,      3832903,      2955871,     10054963,       -316919,              0,              0,     16526818,THB$0.94:NT$1,財報日之匯率,經會計師核閱
100/02,910579,歐聖,      6835342,              0,      4072118,         78576,         89155,     11075191,      1820369,      1120508,              0,      2940877,      3713004,        545877,      4013969,        -80815,              0,        -57721,      8134314,RMB$1：NT$ 4.46,與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
100/02,9106,新焦點,      2814005,              0,        896799,      1512611,         94084,      5317499,      2492381,         56654,        141401,      2690436,        245818,      1247645,        663374,        -19197,              0,        489423,      2627063,RMB＄1：NT$4.4438,台灣銀行於財務報表日之即期匯率-買賣均價,毋須經會計師查核或核閱
100/02,910708,恒大健,      1244441,              0,        248747,          2605,          6934,      1502727,        311676,              0,          2155,        313831,         26986,      1017035,        144875,              0,              0,              0,      1188896,HKD$1:NT$3.748,991231港幣對新台幣匯率換算,毋須經會計師查核或核閱
100/02,910801,金衛醫療,      5537876,      8448496,        877882,      3770432,      1101410,     19736096,        772319,      4247850,        572991,      5593160,        688875,      4106733,      7542475,      1161381,              0,        643472,     14142936,HKD 1: NTD 4.0371,民國99年9月30日之匯率,毋須經會計師查核或核閱
100/02,910861,神州,     87059082,      3203226,      4142558,      1352166,        726333,     96483365,     66921399,      3616549,              0,     70537948,        429723,     11786473,     11825663,        916486,     -1416190,      2403262,     25945417,HKD＄1：3.9348NT$,以100.9.30www.oanda.com網站公佈匯率換算,毋須經會計師查核或核閱
100/02,910948,融達,      3448782,        588064,        173574,         54093,              0,      4264513,        998636,              0,              0,        998636,        154978,      1785047,      1185921,        139931,              0,              0,      3265877,USD$1:NT$30.48,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
100/02,9110,越南製造,      4807497,         28951,      1056647,          4150,        192072,      6089317,      1092157,              0,              0,      1092157,         33493,              0,      4963667,              0,              0,              0,      4997160,USD$1:NT$28.802,台北外匯經紀股份有限公司,經會計師核閱
100/02,911201,僑威,      3556013,         89485,      2123321,         79944,            465,      5849228,      2571701,          3193,        102554,      2677448,         96501,        642910,        862147,        353417,              0,      1216805,      3171780,3.691,民國一百年六月三十日臺灣銀行匯率,毋須經會計師查核或核閱
100/02,911602,華豐泰國,        967135,              0,        705656,              0,         14120,      1686911,        402049,         19400,          7948,        429397,        638681,        366969,        348951,              0,        -97087,              0,      1257514,Baht＄1：NT$0.97,100/06/30之匯率,經會計師核閱
100/02,911606,超級集團,      7122110,        351789,      2578692,        386715,        163002,     10602308,      2378162,        219095,              0,      2597257,      3833464,          2203,      4459503,       -591206,         -8720,        309807,      8005051,SGD$1:NT$23.4401,依中華民國中央銀行100.06.30匯率,毋須經會計師查核或核閱
100/02,911608,明輝環球,      2850139,         97662,        578272,        151273,          3811,      3681157,      1093132,              0,              0,      1093132,      1016118,              0,      1504316,         -2128,              0,         69719,      2588025,SGD$1:NT$23.38,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
100/02,911609,揚子江,     95322657,     21175901,     12127190,     15837027,          1123,    144463898,     77467535,      1056436,      2517648,     81041619,     28211730,              0,     33408713,       -684742,         -2708,      2489286,     63422279,RMB$1：NT$ 4.44,銀行期末平均匯率,毋須經會計師查核或核閱
100/02,911610,聯合環境,      1833600,        227020,        294120,         38764,      3360080,      5753584,        968423,      1115179,         71683,      2155285,      2166367,         46970,      1362166,         22796,              0,              0,      3598299,SGD$1:NT$23.38,100.9.30臺灣銀行即期匯率,毋須經會計師查核或核閱
100/02,911611,中國泰山,      4690443,              0,      1468927,            469,        130879,      6290718,        872799,              0,              0,        872799,      2347664,         48912,      3025718,              0,         -4375,              0,      5417919,RMB1:NTD4.2566,Bloomberg顯示6月30日閉市匯率,毋須經會計師查核或核閱
100/02,911612,滬安電力,      7163357,              0,      1546806,        564201,         67363,      9341727,      4850913,              0,              0,      4850913,      2935030,        293148,      1261898,            738,              0,              0,      4490814,4.4709,以1000630www.oanda.com網站公佈之匯率換算,毋須經會計師查核或核閱
100/02,911616,杜康控股,      3271126,        655913,      1509514,        547909,        198277,      6182739,      1514524,              0,        273503,      1788027,      1144113,      1865073,      1711793,       -326267,              0,              0,      4394712,RMB$1:NT$4.441,2010年12月底,毋須經會計師查核或核閱
100/02,911622,泰聚亨,      4104300,         86707,      5514235,            213,         94935,      9800390,      2879331,        912194,         10246,      3801771,      5672937,              0,        330526,         -4844,              0,              0,      5998619,Baht$1=NT$0.94,100/6/30匯率,經會計師核閱
