年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
101/02,1101,台泥,     77333159,     17303343,    144337599,     14540574,      7698157,    261212832,     70606269,     59370461,      5229361,      2427172,    137633263,     36921759,     16004351,     17373972,     22474796,              0,              0,     30804691,    123579569,              0.00,              0.00,             25.13
101/02,1102,亞泥,     55419202,     58513353,     71676015,      4958766,      3919198,    194486534,     45030694,     47739974,      3449871,      2008834,     98229373,     32309181,      6579611,     23299808,     18714825,              0,              0,     15353736,     96257161,              0.00,              0.00,             25.79
101/02,1103,嘉泥,     12626588,      4995067,     11199499,        338611,        183770,     29343535,      4128199,      6843024,      1290719,        455222,     12717164,      7768285,        771014,      6141078,       -382807,              0,              0,      2328801,     16626371,              0.00,    128301152.00,             22.84
101/02,1104,環球水泥,      2579581,      7238300,      4010763,         14997,      2219312,     16062953,      1530550,              0,      1179798,        240464,      2950812,      6038919,        153520,      3094517,      3650197,              0,              0,        174988,     13112141,              0.00,              0.00,             21.42
101/02,1108,幸福水泥,      5666723,         84422,      2675512,          5470,        561244,      8993371,      2603159,      1694500,              0,        499364,      4797023,      4047380,         27431,         27740,         89699,              0,              0,          4098,      4196348,              0.00,              0.00,             10.36
101/02,1109,信大水泥,      2955281,        898824,      5360409,         77111,        298236,      9589861,        997541,      1495250,              0,        395152,      2887943,      4210008,         42598,      1528049,          7095,              0,              0,        914168,      6701918,              0.00,              0.00,             13.75
101/02,1110,東泥,      1092326,      2277575,      4938677,              0,        926463,      9235041,        374425,              0,        311371,        194689,        880485,      5720008,        185152,      1578142,        837518,              0,              0,         33736,      8354556,              0.00,      2112865.00,             14.60
101/02,1201,味全公司,     20422675,         56052,     11140905,        501692,      1518852,     33640176,      9252789,     11150809,      1007250,      1896987,     23307835,      5060629,         37921,      2640272,         78065,              0,              0,      2515454,     10332341,              0.00,              0.00,             15.45
101/02,1203,味王公司,      2976999,        279898,      3756320,            232,        830022,      7843471,      1594038,        191206,        879845,        538857,      3203946,      2400000,         45012,        398236,      1060398,              0,              0,        735879,      4639525,              0.00,      2293865.00,             16.42
101/02,1210,大成長城,     20133811,      2010481,      9991375,        847669,        657786,     33641122,     15285948,      1862310,         20754,        225143,     17394155,      5509866,      1979884,      2522519,        574719,              0,              0,      5659979,     16246967,              0.00,     38767909.00,             21.78
101/02,1213,大飲,        335999,         33872,        316396,              0,        101329,        787596,        123788,              0,         30839,          6285,        160912,        514751,         21938,         53005,         36990,              0,              0,              0,        626684,              0.00,              0.00,             12.17
101/02,1215,卜蜂企業,      4358817,      2318464,      2283496,         27722,        156980,      9145479,      3597269,        283578,              0,        413351,      4294198,      2320268,            967,        439153,      2000732,              0,              0,         90161,      4851281,              0.00,              0.00,             20.52
101/02,1216,統一,    136944536,     41746367,    131311761,     11427522,     22922666,    344352852,    136716036,     74237046,      2169441,     12042067,    225164590,     48624744,      6513214,     18611321,      1356091,              0,              0,     44082892,    119188262,              0.00,              0.00,             16.53
101/02,1217,愛之味,      2874254,      3022026,      4233832,         50210,      1294662,     11474984,      1826678,      3589420,         79974,        273099,      5769171,      4976893,        260478,         49004,        -35257,              0,              0,        454695,      5705813,              0.00,     10484000.00,             10.78
101/02,1218,泰山企業,      3851712,      1939501,      2636322,         30049,        255098,      8712682,      2259168,      2263682,        222537,        214246,      4959633,      3533360,         52544,         63472,         70069,              0,              0,         33604,      3753049,              0.00,     13435457.00,             11.28
