年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,受託買賣借項,資產合計,流動負債,長期負債,其他負債,受託買賣貸項,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
99/02,2855,統一證券,     40604811,        572160,      2586049,            564,      1899477,              0,     45663061,     26527272,              0,        326289,        142383,     26995944,     12319334,        317109,      6304512,       -296629,         22791,     18667117,              0,     30025000,             16.13
99/02,2856,元富證券,     66892039,      1393459,      2207431,        309728,      2029634,              0,     72832291,     54303333,              0,        378286,          9710,     54691329,     14632217,        269722,      3228864,         10159,              0,     18140962,              0,        822000,             12.40
99/02,6005,群益證,     41531025,      1306706,      4337057,        397470,      2372851,              0,     49945109,     23284123,      2476217,        368697,        179072,     26308109,     20375495,      1302852,      1293374,         89161,        576118,     23637000,              0,              0,             12.27
99/02,6012,金鼎證券,     19687395,        676992,      2074145,        389258,      1639262,              0,     24467052,     13506983,              0,        548732,        113890,     14169605,     10827764,              0,       -549235,        -19875,         38793,     10297447,              0,              0,              9.47
