年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
98/03,1101,台泥,     53451244,      8072191,    126684548,      3110456,      6260924,    197579363,     38700606,     54200562,      5230295,      2053701,    100185164,     32921759,      8555314,     14564560,     20866665,              0,              0,     20485901,     97394199,              0.00,              0.00,             23.36
98/03,1102,亞泥,     33794897,     52679393,     56663834,      3090082,      7033187,    153261393,     20156219,     45477573,      1466299,      1723175,     68823266,     29857355,      8110439,     21006408,     12669034,              0,              0,     12794891,     84438127,              0.00,              0.00,             24.00
98/03,1103,嘉泥,     11073740,      6691716,     11272388,        835428,        365892,     30239164,      4021985,      5062415,      1291202,        836491,     11212093,      7178779,        388349,      6841621,      3218117,       -836936,              0,      2237141,     19027071,              0.00,    139303165.00,             29.02
98/03,1104,環球水泥,      3333946,      6708981,      6839549,        363326,      2580008,     19825810,      2817239,      3082581,      1169037,        492029,      7560886,      6038919,        157181,      1891087,      3964545,              0,              0,        213192,     12264924,              0.00,              0.00,             19.96
98/03,1108,幸福水泥,      5266114,        278844,      3397450,         31135,        649765,      9623308,      3581414,      1261900,              0,        497894,      5341208,      4047380,         15971,        245528,        -28804,              0,              0,          2025,      4282100,              0.00,              0.00,             10.57
98/03,1109,信大水泥,      3543328,        915940,      2109894,         75469,        698499,      7343130,        282851,              0,              0,        350751,        633602,      4210008,         43689,      1857195,        -14288,              0,              0,        612924,      6709528,              0.00,              0.00,             14.48
98/03,1110,東泥,      1613974,      2499764,      4752320,              0,        888690,      9754748,        531442,              0,        242930,        553049,      1327421,      5720008,        179889,      1755261,        817099,        -48027,              0,          3097,      8427327,              0.00,      4301932.00,             14.84
98/03,1201,味全公司,      6340423,        278255,      7113118,        333453,      1179857,     15245106,      5660189,      1762868,        748906,      1636293,      9808256,      5060629,         77096,        632590,       -385637,              0,              0,         52172,      5436850,              0.00,              0.00,             10.64
98/03,1203,味王公司,      2703843,        393631,      3925183,         60213,        775047,      7857917,      1110005,        226279,        879845,        540719,      2756848,      2197164,         36154,        829165,      1215401,         -4951,              0,        828136,      5101069,              0.00,      2000000.00,             19.63
98/03,1210,大成長城,     13452516,      1495543,      8682880,        351895,      1343940,     25326774,      8684007,      1658430,         20754,        654419,     11017610,      4711123,      1696715,      2484603,        786905,       -218792,              0,      4848610,     14309164,              0.00,     35181556.00,             21.70
98/03,1213,大飲,        387407,         30196,        260863,              0,        124928,        803394,        184662,              0,              0,         34547,        219209,        514751,         21938,         49711,         -2215,              0,              0,              0,        584185,              0.00,              0.00,             11.35
98/03,1215,卜蜂企業,      3136900,        483428,      1313280,         35125,        106905,      5075638,      1773250,              0,              0,        307524,      2080774,      2320268,            967,        356342,        201815,              0,              0,        115472,      2994864,              0.00,              0.00,             12.41
98/03,1216,統一,    104583029,     47772931,    100269964,      5654072,     19441664,    277721660,     90184626,     72015518,      1773357,      9708509,    173682010,     38974002,      6103006,     14570688,      4201765,              0,              0,     40190189,    104039650,              0.00,              0.00,             16.38
98/03,1217,愛之味,      2907427,      2304809,      3311564,         60357,      1166770,      9750927,      2884712,      1389780,         79974,        239985,      4594451,      4476893,         92625,         26986,        148287,              0,              0,        411685,      5156476,              0.00,              0.00,             10.60
98/03,1218,泰山企業,      3417870,      2146361,      2556633,         40696,        247075,      8408635,      2063798,      2203827,        229042,        220317,      4716984,      3202434,         43537,        227948,        325127,       -136243,              0,         28848,      3691651,              0.00,     12208428.00,             11.89
98/03,1219,福壽實業,      3219589,        271128,      2077822,            243,        100269,      5669051,        909764,        435005,        505262,        228899,      2078930,      2743080,        215710,        281990,        333822,              0,              0,         15519,      3590121,              0.00,              0.00,             13.03
98/03,1220,台榮,      1363965,        112279,        625414,         14600,        165098,      2281356,        501037,          2847,          5813,        106674,        616371,      1770779,            537,       -276789,         11788,              0,              0,        158670,      1664985,              0.00,              0.00,              8.51
98/03,1225,福懋油,      2795187,        234302,      2818902,        107265,        215146,      6170802,      1890580,      1856524,        100296,         97919,      3945319,      1627000,         94698,         28307,        195523,              0,              0,        279955,      2225483,              0.00,              0.00,             11.96
98/03,1227,佳格,      6394924,        406673,      2227997,         21390,        502140,      9553124,      3433535,        511994,         33685,         29243,      4008457,      3225230,         24924,      2085360,        128115,        -21182,              0,        102220,      5544667,              0.00,      2350654.00,             17.00
98/03,1229,聯華實業,      2913375,     12529457,      5426624,        112850,        192527,     21174833,      1913830,      2841978,         93806,        235505,      5085119,      8144742,        831902,      4089213,      2255919,        -20074,              0,        788012,     16089714,              0.00,      1912000.00,             18.83
98/03,1231,聯華食品,      1704119,          8623,        745974,         46325,        501360,      3006401,        561498,        579762,              0,        124754,      1266014,      1154190,         76975,        498381,         -8710,              0,              0,         19551,      1740387,              0.00,              0.00,             14.91
98/03,1232,大統益,      2371595,        103331,      1107646,            982,         22105,      3605659,        890248,              0,              0,         15332,        905580,      1599749,         23784,      1070902,        -15709,              0,              0,         21353,      2700079,              0.00,              0.00,             16.74
98/03,1233,天仁,        673310,          3860,        861392,         18842,         77965,      1635369,        257284,            321,              0,         94287,        351892,        905919,         60602,        325073,        -20278,              0,              0,         12161,      1283477,              0.00,              0.00,             14.03
98/03,1234,黑松,      2762640,      6891927,      2995517,         11529,        549467,     13211080,      1235869,              0,      1915676,        503996,      3655541,      5358281,        184601,      1970883,      2041774,              0,              0,              0,      9555539,              0.00,              0.00,             17.83
98/03,1235,興泰,        665190,        138852,        141318,              0,        171333,      1116693,        284641,              0,         36662,         23432,        344735,        529445,         27674,         80590,        136189,        -11584,              0,          9644,        771958,              0.00,      1950727.00,             15.42
