年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
96/03,2880,華南金,,     36496887,    145219079,     54842785,      6040052,     55924739,              0,  1045591209,    127047717,    172123863,         92516,     11018817,        463180,     25053068,        570639,     21373116,  1701857667,,     77933542,              0,     40582183,     53142087,      5365411,     64151107,              0,  1301130236,     43100000,     10251999,              0,        990196,      6118474,        824792,      8078008,  1611668035,,     59702086,     12408866,     14386003,      3688589,     90185544,          4088,     90189632,              0,              0,             15.11
96/03,2881,富邦金,,     48329024,    200152408,     69883285,      4457536,    109029159,              0,    823509170,    255828325,      5751238,      1051870,    238930479,     13072262,     21721582,      1418981,     11452237,  1804587556,,     76818213,      6515200,     14501302,     80244582,      3846185,     65978241,              0,    941084012,     80344286,     14973226,              0,              0,    250431160,     86905110,      6942619,  1628584136,,     77190935,     49091107,     36990549,      8382114,    171654705,      4348715,    176003420,              0,              0,             22.24
96/03,2882,國泰金,,    434460203,     59743737,    147252414,     13054358,     88283504,              0,  1275995320,    481430105,    570116308,      3079385,    411046028,    106477651,     38841227,        840358,     51570331,  3682190929,,     57050697,      1628500,     68684806,     17866861,              0,     52073425,              0,  1028205689,     18158993,              0,              0,              0,  1933661207,    246696024,     13831919,  3437858121,,     92770192,     81971167,     47055087,     19423142,    241219588,      3113220,    244332808,     66659815,              0,             26.19
96/03,2883,開發金,,     11292102,     20964586,     66495095,      7163284,     32050952,              0,     83582378,     69995097,              0,     14552989,     51903476,              0,      4196883,              0,     10040777,    372237619,,     26845829,              0,      9092946,     56438019,      7931051,     15479207,              0,      6049296,     46000000,     11011975,              0,              0,              0,     26621406,      4932969,    210402698,,    115870627,     12896810,     13813806,     18143929,    160725172,      1109749,    161834921,              0,              0,             13.87
96/03,2884,玉山金控,,     15913409,     27412783,     85542893,      3312455,     33897154,              0,    504169323,     43738953,     14542196,        140053,      9745078,              0,     12746509,      3784769,      5792453,    760738028,,     34578349,              0,     40099968,     28649178,      2071063,     17049761,              0,    555851861,     30600000,        754000,              0,              0,              0,      2806701,        941334,    713402215,,     33033000,      9859777,      5132398,       -689362,     47335813,              0,     47335813,              0,              0,             14.33
96/03,2885,元大金,,      4780248,     50466364,     62362936,     18902935,    117401445,      2719551,    236524018,     18389267,      8255265,      5536072,      8692790,              0,     10809735,      9617588,     15523072,    569981286,,     22492764,              0,      7099002,     42299258,     29575850,     37729808,              0,    261951939,     18458769,     31651463,              0,        843369,        727001,        830401,      7013705,    460673329,,     83509972,     24088203,      6467406,     -4989587,    109075994,        231963,    109307957,    295527780,              0,             13.54
96/03,2886,兆豐金,,    113636175,    118336826,    206218230,      6688933,    122413023,              0,  1191997178,    294009312,     30541135,      2498139,     34270904,        380496,     24418633,        342994,      8448924,  2154200902,,    221541810,     37163729,     52740764,    268778257,     20904476,     92652240,              0,  1180666894,     41594804,     15889572,              0,      1612257,      8533109,      9619638,      9547360,  1961244910,,    110594262,     45182443,     30543181,      5934848,    192254734,        701258,    192955992,              0,              0,             17.38
96/03,2887,台新金控,,     44712686,    220518194,     82778830,     16446178,    120888271,              0,  1424576149,    101709457,    159689870,        997813,     18902723,              0,     45027320,     20757601,     56857069,  2313862161,,    201199913,              0,     17514774,     89515048,      7169936,     86585429,              0,  1613589282,    112018154,      7970000,              0,              0,      1577045,        528991,     17983211,  2155651783,,     69880779,     19389426,      5956258,       -256596,     94969867,     63240511,    158210378,              0,              0,             13.59
96/03,2888,新光金,,     56800911,     42048595,    109478567,      3938101,     40307693,              0,    433604465,    154324154,    223946655,      5441904,    419224856,     79990639,     23885040,      2722673,     17882636,  1613596889,,     11094604,              0,      1840627,     12067056,              0,     19587370,              0,    308549146,     31243270,              0,              0,              0,  1025016341,     98390361,     12300994,  1520089769,,     50253725,     16625146,     13715271,     10436183,     91030325,      2476795,     93507120,      7280000,              0,             18.14
96/03,2889,國票金控,,      1417952,             85,    107075459,      5049383,     13092623,              0,              0,     92298316,        331601,      1334528,      5299552,              0,      2157883,        244177,      1287454,    229589013,,     11045000,              0,         54982,    180874798,      2778154,      3726642,              0,              0,              0,              0,              0,        140800,      2266888,      1490130,        106384,    202483778,,     21622801,              0,      2673029,     -1281322,     23014508,      4090727,     27105235,              0,              0,             10.64
96/03,2890,永豐金控,,     30931968,    184499518,     56024117,     13049661,     76060633,              0,    644329864,     67196702,      4980413,         49072,     15208593,              0,     11652284,      2447325,     22846805,  1129276955,,     60965332,              0,      7217067,     24789220,     13163954,     36532858,              0,    812493264,     39833517,     23590180,              0,              0,              0,     10401630,     11243073,  1040230095,,     70969313,      1793858,     17729537,     -1502873,     88989835,         57025,     89046860,    120031000,              0,             12.75
96/03,2891,中信金,,     34410927,    187092364,    108128160,              0,    130491952,              0,    864271396,    226092864,    126976127,      2901697,     18900401,              0,     34139662,     12010499,     11445731,  1756861780,,     35813952,     19543856,     34038290,    103985016,        349926,     58269954,              0,  1243122556,    102442689,              0,              0,              0,              0,      4264905,     12339958,  1614171102,,     91596830,     42267760,     13217248,     -4467494,    142614344,         76334,    142690678,              0,              0,             15.57
96/03,2892,第一金控,,     38876166,    138874916,     42189251,      3201845,     34521851,              0,  1033428598,     65999458,    227376178,      4823309,     18265603,              0,     24079138,        405147,     16717385,  1648758845,,    140994841,        141718,     49832840,     14437802,      2697540,     60966195,              0,  1235327733,     25800000,      4044861,              0,      1594262,        779040,        492117,      7765999,  1544874948,,     60916358,     15700827,     21810031,      5456681,    103883897,              0,    103883897,              0,              0,             17.05
