年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,受託買賣借項,資產合計,流動負債,長期負債,其他負債,受託買賣貸項,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
101/03,2855,統一證券,     45239675,        529900,      2672411,          1097,      1562864,        554625,     50560572,     28937913,              0,          4846,              0,     28942759,     13231191,        255676,      8367823,       -275700,         38823,     21617813,              0,              0,             16.31
101/03,2856,元富證券,     65182630,      1041683,      2090989,        258074,      1958293,        162493,     70694162,     51370736,              0,         13387,              0,     51384123,     15296593,         60357,      4476633,       -523544,              0,     19310039,      1086956,     38800000,             12.95
101/03,6005,群益證,     48562791,      1023477,      6434596,      3583110,      3747920,        160483,     63512377,     32398313,        722703,        694323,              0,     33815339,     23690730,      2735007,      2678611,       -122088,        714778,     29697038,              0,              0,             12.23
