公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
1810,2016年01月01日至2016年09月30日,,                344859,                344859,,,                170077,                  4686,                 17149,                   -273,                 57285,                -11506,                -53057,                  5923,               -323838,                              0,                -29514,                 13821,               -149247,,,                -20610,                 53150,                -49200,                 62860,                 -1841,                  2671,                 47030,,                 -6082,                -87453,                -70914,                  1129,                 39009,               -347813,               -472124,               -425094,               -574341,               -229482,                 11506,                 53057,                -57285,                -33087,               -255291,,               -106033,                117041,                -55090,                 55303,                   -724,                 10089,                              0,               -118469,                 64308,                -11070,                              0,                              0,                 -6386,                              0,                              0,                  3585,                  1689,                              0,                -45757,,                414604,                 35000,                              0,                -74316,                 -1865,                -73971,                299452,                -35509,                -37105,                634213,                597108,                597108
1810,2015年01月01日至2015年09月30日,,                158839,                158839,,,                157685,                  4333,                  5625,                   -612,                 57701,                -10648,                -77118,                  4131,                 -1041,                 -2291,                -11918,                 -5619,                120228,,,                  5181,                126224,                -24370,               -135212,                -16955,                    424,                -44708,,                   -746,                 99839,                -71798,                    312,                -27368,                -66466,                -66227,               -110935,                  9293,                168132,                 10648,                 77118,                -59200,                -37445,                159253,,               -135678,                108692,                -26495,                 31792,                   -576,                    160,                -21274,               -154457,                  2464,                              0,                  3206,                -20000,                 -5688,                -13485,                 46382,                 12654,                  7348,                              0,               -164955,,                 66885,                              0,                -60000,                -86527,                   -266,               -110956,               -190864,                 25607,               -170959,                752851,                581892,                581892
