年,季,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,03,2855,統一證券,3338767,2507024,831743,162091,993834,-73095,920739,0,--,920739,34183,--,954922,917828,--,2911,952011,--,2911,0.69
2013,03,2856,元富證券,3290109,2775936,514173,126503,640676,-82527,558149,--,--,558149,163001,--,721150,558149,--,--,721150,--,--,0.37
2013,03,6005,群益證,4352622,3597210,755412,461150,1216562,-153079,1063483,--,--,1063483,78063,--,1141546,989492,--,73991,1057974,--,83572,0.42
