年,季,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,04,2855,統一證券,4613318,3399615,1213703,275784,1489487,-124034,1365453,--,--,1365453,67690,--,1433143,1361715,--,3738,1429496,--,3647,1.03
2013,04,2856,元富證券,4574405,3786724,787681,175783,963464,-122703,840761,--,--,840761,213986,--,1054747,840761,--,--,1054747,--,--,0.56
2013,04,6005,群益證,5974094,4835504,1138590,655287,1793877,-220468,1573409,--,--,1573409,102450,--,1675859,1471784,--,101625,1564621,--,111238,0.62
