年,季,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014,01,2855,統一證券,1503083,969448,533635,-4001,529634,-65498,464136,--,--,464136,13526,--,477662,463292,--,844,476842,--,820,0.35
2014,01,2856,元富證券,1272775,914014,358761,-5021,353740,-31201,322539,--,--,322539,20951,--,343490,322539,--,0,343490,--,0,0.21
2014,01,6005,群益證,1657404,1198103,459301,104485,563786,-68879,494907,--,--,494907,31579,--,526486,478796,--,16111,509782,--,16704,0.20
