公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 備供出售金融資產之淨損失（利益）,　　　　 以成本衡量之金融資產及負債之淨損失（利益）,　　　　 無活絡市場之債務工具投資損益之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 各項保險負債淨變動,　　　　 具金融商品性質之保險契約準備淨變動,　　　　 外匯價格變動準備淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產及設備,　　 存出保證金增加,　　 取得無形資產,　　 放款增加,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 附買回票券及債券負債增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2867,2016年01月01日至2016年06月30日,,              3153752,              3153752,,,                158657,                 64016,                   -711,             -5824113,             -3494100,                   -360,               -158586,                140765,            -12567631,             46385679,                              0,               -292125,                -54086,             13018965,             37376370,,,               -112617,             -5403886,                 41896,                -89415,             -5564022,,               -596500,                  2180,             -4336484,             -4930804,            -10494826,             26881544,             30035296,              7832690,                295325,                 -7250,                581533,,,             38737594,             38737594,,            -80581948,            121187451,            -99885085,              4952267,             28998756,            -20941138,                              0,                 44207,                              0,               -165086,                -89943,                -50921,             -1372029,                              0,            -47903469,,                              0,                   -496,                   -496,             -9166371,             76342950,             67176579,             67176579
2867,2015年01月01日至2015年06月30日,,              3456089,              3456089,,,                144855,                 53029,                 34055,             -4496552,             -3613457,                 -1312,               -797075,                161381,            -10750849,             26591526,                 20737,               -142056,                -49980,              9269769,             16424071,,,             -4442278,             -3406355,                831922,                -71366,             -7088077,,             -8664229,                  6356,             -7755552,            -16413425,            -23501502,             -7077431,             -3621342,              6584892,                444989,                -31733,               -170744,,,              3206062,              3206062,,            -63177684,             91835470,            -69893279,              9324380,             34270506,            -21270632,               -180000,                  4976,             -1350000,               -212752,               -626429,                -70173,             -3950317,               -203867,            -25499801,,                650344,                   -793,                649551,            -21644188,             63726010,             42081822,             42081822
