公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2402,2015年度,,                 54426,                 54426,,,                501950,                  5280,                 11797,                 -9371,                 56891,               -139453,                     -1,                 82349,                 26498,                 -3981,                              0,                  3374,                535333,,,              1407479,                136630,                 38687,                   -871,              1581925,,                 -9334,               -613647,               -229694,                -60424,               -913099,                668826,              1204159,              1258585,                110691,                -15345,               -105094,              1248837,,             -2721933,              2616639,                              0,                313052,                 16048,                              0,                -92379,                 51489,                  2487,               -462367,                      1,               -276963,,             10636019,            -10944412,                              0,                    962,               -683986,               -390698,                  2810,             -1379305,                 47461,               -359970,              2525422,              2165452,              2165452
2402,2014年度,,              1334319,              1334319,,,                563771,                  6066,                 57316,                  4358,                 34880,                -53233,                   -358,                 72550,                 73127,                 -5292,               -137230,                 91401,                707356,,,               -434786,                 63399,                 -2472,                 -1043,               -374902,,                  4453,               -113662,                171511,                 16499,                 78801,               -296101,                411255,              1745574,                 42470,                -34955,               -225956,              1527133,,             -1848620,              1413851,             -1459310,                              0,                     58,                327541,                -65564,                 75440,                  9552,               -304920,                    358,             -1851614,,              5952765,             -6476129,              2000000,                  2343,               -199226,                              0,                 86600,              1366353,                220236,              1262108,              1263314,              2525422,              2525422
