公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
8422,2016年01月01日至2016年06月30日,,                880367,                880367,,,                 88140,                -14413,                     10,                 73737,,,                -71841,                    941,                  1795,                -69105,,                  1990,                -50615,                              0,                  3801,                 10301,                   -202,                -34725,               -103830,                -30093,                850274,                 14413,               -135141,                729546,,                              0,                556647,               -131033,                 48367,                 -8274,                105906,                   -493,                571120,,                  5580,                   -954,                  4626,                   -534,              1304758,                674419,              1979177,              1979177
8422,2015年01月01日至2015年06月30日,,                680300,                680300,,,                 89256,                -11914,                     10,                 77352,,,                255196,                  2016,                  4811,                262023,,                   -448,                111469,                 -5000,                 -5372,                    -84,                   -161,                100404,                362427,                439779,              1120079,                 11914,               -123818,              1008175,,               -321201,                              0,               -134855,                              0,                 -5253,                 25702,                 -4815,               -440422,,                  3433,                -19288,                -15855,                      2,                551900,              1187934,              1739834,              1739834
