公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2605,2016年01月01日至2016年09月30日,,                874502,                -13969,                860533,,,              1019352,                102143,                -20306,                     40,                  9502,              1110731,,,                187053,                 -9170,                 22053,                 -7381,                 14588,                207143,,                 18970,                  1882,                -17765,                    412,                  3499,                210642,              1321373,              2181906,                 19212,               -178350,              2022768,,                114389,               -691787,                     80,                116637,               -460681,,             -1372291,               -568304,               -110123,               -222731,             -2273449,               -316124,             -1027486,              5303812,              4276326,              4276326
2605,2015年01月01日至2015年09月30日,,              1179738,                 32251,              1211989,,,              1000365,                 99725,                -14378,                     34,                -53293,              1032453,,,                -55958,                162321,                -15799,                  7550,                 27999,                126113,,                -71451,                  1033,                 -6974,                    293,                -77099,                 49014,              1081467,              2293456,                 16024,               -109003,              2200477,,                700474,               -109725,                     -7,                 20484,                611226,,             -1662553,               -568304,               -110169,               -175676,             -2516702,                317862,                612863,              5306344,              5919207,              5919207
