公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 持有至到期日金融資產到期還本,　　 處分避險之衍生金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 長期應收租賃款減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 應付租賃款增加,　　 應付租賃款減少,　　 其他金融負債增加,　　 其他金融負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2637,2016年01月01日至2016年06月30日,,                846779,                846779,,,              1983081,                    127,                              0,                 18103,                558508,                -12594,                    403,                  2794,                 34416,                 -4219,               -333473,              2247146,,,                -67961,                 -8680,                 -7422,                -50230,                    788,                -73558,               -207063,,                 24561,                     35,                 32847,                -53742,                 49413,                 -4709,                 48405,               -158658,              2088488,              2935267,                 14514,               -496643,                    -42,              2453096,,                -32107,                 96825,                108874,               -400000,               -189369,                616781,                 19328,                -20720,             -4122056,             -3922444,,                247400,                              0,                              0,                652903,                619125,                              0,                 83046,                              0,                 -5901,              1596573,                -46995,                 80230,              1912006,              1992236,              1992236
2637,2015年01月01日至2015年06月30日,,              1092088,              1092088,,,              1728972,                    239,                 17443,                 25183,                450024,                -29036,                  4098,                              0,               -162686,                  1676,                 12197,              2048110,,,                 20934,                              0,                 -1791,                -49313,                 -6932,                -28377,                -65479,,                 18170,                              0,                 47183,                  5945,                 22000,                    188,                 93486,                 28007,              2076117,              3168205,                 25026,               -424391,                     -8,              2768832,,                              0,                              0,                420820,                              0,               -288415,              1028255,                 35534,                -42847,             -8665030,             -7511683,,                              0,                 -6693,              2416896,              4883928,                              0,                -32330,                              0,               -221051,                -11224,              7029526,                 65938,              2352613,                487078,              2839691,              2839691
