公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2353,2016年01月01日至2016年06月30日,,                851968,                851968,,,                320514,                449876,                130874,                -97220,                -49808,                  6939,                              0,                  1026,                  5267,                              0,                   -644,                766824,,,                230966,              5846334,                 -9678,              4444580,                487422,                              0,             10999624,,             -7054447,                 -6766,             -1743305,               -608021,                  9550,             -9402989,              1596635,              2363459,              3215427,                 95656,               -438565,              2872518,,               -314408,                              0,                 41380,               -258256,                -83347,                  3663,                    222,                 -3542,               -156772,                 49808,               -721252,,             -2564378,             -6000000,              6000000,             -1800000,                              0,               -119783,             -4484161,               -621616,             -2954511,             44621527,             41667016,             41667016
2353,2015年01月01日至2015年06月30日,,                367830,                367830,,,                349876,                501985,                230422,               -153672,                    -60,                124401,                -45126,                  2294,                  3506,               -385706,                -41317,                586603,,,              2162644,             10783692,                -16997,             -2342241,                354858,                 45065,             10987021,,            -12598492,                 -2181,             -6191791,             -2083616,               -122372,            -20998452,            -10011431,             -9424828,             -9056998,                145767,               -181628,             -9092859,,               -187755,                 11948,                113287,                              0,                -74687,                  5634,                      9,                -19353,                -80331,                     60,               -231188,,               -317000,             -3196658,                              0,             -1800000,              5400000,               -117437,                -31095,             -1802852,            -11157994,             47558651,             36400657,             36400657
