公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 其他非流動負債減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
6504,2016年01月01日至2016年06月30日,,                357790,                357790,,,                147411,                  3584,                    726,                  8328,                 -1302,                  1567,                 -2676,                   -833,                  5243,                162048,,,                 -6853,                 36561,                  1062,                 23862,                -10880,                -25506,                 18246,,                -48688,                 52119,                  1846,                 12164,                -13682,                  3759,                 22005,                184053,                541843,                  1143,               -116695,                426291,,                -77176,                    390,                   -155,                 -1518,                  4252,                 -1321,                              0,               -129759,               -205287,,                236194,                -40000,               -401941,                   -497,                 -8603,               -214847,                -31859,                -25702,                529058,                503356,                503356
6504,2015年01月01日至2015年06月30日,,                415339,                415339,,,                127554,                  3170,                 11981,                 12390,                 -1439,                  1686,                 -1098,                    -59,                    453,                154638,,,                 -9786,               -122492,                -11566,               -129998,                 48173,                  3288,               -222381,,                -60118,                -75080,                -17392,                 -3814,                  1124,               -155280,               -377661,               -223023,                192316,                  1380,               -102830,                 90866,,                -97659,                    182,                   -439,                              0,                  6687,                    664,                     75,                -84855,               -175345,,                148175,                 20000,                 -9024,                     18,                -11783,                147386,                -26887,                 36020,                339335,                375355,                375355
