公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",53455550,27275913,26179637,15837252,42016889,9253827,-557537,18967074,13238451,-4041119,9197332,0,0,0,9197332,9198794,-1462,1.54,0.00
"2881","富邦金",59528543,28977427,30551116,104499512,135050628,10461161,-79662568,27051341,17875558,-2825026,15050532,0,0,0,15050532,14431579,618953,1.87,0.00
"2882","國泰金",112396924,20715646,91681278,138094052,229775330,4085730,-136118062,55344358,34227180,-3464254,30762926,0,0,0,30762926,30748101,14825,3.34,0.00
"2883","開發金",7463081,4029378,3433703,11829655,15263358,372804,0,6564211,8326343,-627879,7698464,0,0,0,7698464,7611533,86931,0.66,0.00
"2884","玉山金控",22321854,12795505,9526349,4715331,14241680,2174707,0,8122942,3944031,-650221,3293810,0,0,0,3293810,3293810,0,1.00,0.92
"2885","元大金",17465673,7385985,10079688,15086628,25166316,4120440,0,14886645,6159231,-91383,6067848,0,0,0,6067848,6037168,30680,0.89,0.88
"2886","兆豐金",71209366,44913630,26295736,20638585,46934321,6600801,-67376,20233955,20032189,-2917631,17114558,0,0,0,17114558,17070391,44167,1.55,0.00
"2887","台新金控",77609049,41924670,35684379,24876006,60560385,12131170,0,32611981,15817234,-4961451,10855783,0,0,0,10855783,4552318,6303465,0.55,0.00
"2888","新光金",51045110,6153833,44891277,62362271,107253548,1913617,-76835702,23550911,4953318,132633,5085951,0,0,0,5085951,5007690,78261,1.02,0.00
"2889","國票金控",3597445,3311717,285728,4036501,4322229,2514,0,2102281,2217434,-307634,1909800,0,28957,0,1938757,1636110,302647,0.76,0.00
"2890","永豐金控",51011716,32564897,18446819,10916266,29363085,8362533,0,18361184,2639368,-128192,2511176,0,0,0,2511176,2498815,12361,0.36,0.00
"2891","中信金",64233753,31490367,32743386,26234921,58978307,9914930,0,31498056,17565321,-4219482,13345839,0,0,0,13345839,13339174,6665,1.49,0.00
"2892","第一金控",49354267,26962757,22391510,17349473,39740983,6061505,0,17008094,16671384,-4186664,12484720,0,0,0,12484720,12549679,-64959,2.06,0.00
