公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 處分不動產及設備,　　 其他金融資產減少,　　 其他資產增加,　　 其他資產減少,　　 收取之股利,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還金融債券,　　 附買回票券及債券負債增加,　　 其他金融負債增加,　　 其他負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資
2845,2016年01月01日至2016年06月30日,,              1956086,              1956086,,,                 97190,                 14160,                  5780,                -36840,              2587167,             -5513972,                -22602,                -48856,                 -1548,             -2919521,,,             -5572392,                459453,             -1986722,              3341933,             -2605927,                630677,             -1893103,             -7626081,,              6369961,                194238,              1789641,            -14684951,             -6331111,            -13957192,            -16876713,            -14920627,              5539476,                 22602,                 28648,             -2701373,               -423139,            -12483061,,                -86837,                    158,              1735603,                 -8347,                              0,                 22602,                 28648,              1669225,,                              0,              8546591,              1491578,               -346524,              9691645,                -86368,             -1208559,             85844817,             84636258,              5498358,             61309436,             17828464
2845,2015年01月01日至2015年06月30日,,              2390083,              2390083,,,                 94586,                 14089,               -220225,               -661651,              3247599,             -6091051,                -15658,                -36157,                -41274,             -3709742,,,              4212853,              5203490,             -3018572,            -12699441,            -10620303,                614376,                677483,            -15630114,,              3170754,             -1812904,                292775,              7203806,              8854431,             -6775683,            -10485425,             -8095342,              6158778,                 15658,                 55385,             -3125188,               -166090,             -5212184,,               -148957,                     92,              3200719,                              0,                    665,                 15658,                 55385,              3107904,,             -2402100,              7797362,                103106,                 -9961,              5488407,                137394,              3521521,             81391201,             84912722,              7006998,             62996038,             14909686
