公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 處分不動產及設備,　　 其他金融資產減少,　　 其他資產增加,　　 收取之股利,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還公司債,　　 發行金融債券,　　 償還金融債券,　　 附買回票券及債券負債增加,　　 其他金融負債增加,　　 其他負債增加,　　 其他負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資
2845,2016年01月01日至2016年09月30日,,              2909899,              2909899,,,                146249,                 21164,                530863,               -465779,              3821506,             -8177548,                -63135,                -72540,                  2331,             -4256889,,,             -5147776,                150248,               -975149,             -6026158,            -50557362,                323716,               -172727,            -62405208,,              2286682,                998562,              3770784,            -13568689,             -6512661,            -68917869,            -73174758,            -70264859,              8269733,                 63135,                 28648,             -3917374,               -482627,            -66331992,,               -137140,                    325,              1312572,                -10299,                 63135,                 28648,              1194106,,                              0,              4000000,                   -200,              9437473,              2639114,                              0,               -289663,             -1213297,             14573427,               -197778,            -50762237,             85844817,             35082580,              7613149,             12747673,             14721758
2845,2015年01月01日至2015年09月30日,,              3626647,              3626647,,,                143605,                 21200,                557125,               -245348,              4767513,             -9084156,                -76814,                -56589,                 -9400,             -3982864,,,              4626948,             -3841928,             -1110367,            -24041558,             -9157368,                943365,               -250705,            -32831613,,              6981548,               -409154,              2673870,             14846711,             24092975,             -8738638,            -12721502,             -9094855,              9137805,                 76814,                 55385,             -4461167,               -231329,             -4572732,,               -307269,                    148,              1025708,                -10704,                 76814,                 55385,                763268,,             -3043566,              3000000,             -5402100,                174546,                320534,                232941,                              0,             -1144730,             -5862375,               -127007,             -9798846,             81391201,             71592355,              7113571,             59021848,              5456936
