公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 處分不動產及設備,　　 其他金融資產減少,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還金融債券,　　 附買回票券及債券負債增加,　　 其他金融負債增加,　　 其他金融負債減少,　　 其他負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資
2845,2016年01月01日至2016年03月31日,,              1026634,              1026634,,,                 48767,                  7093,                -93698,               -264451,              1342849,             -2819011,                -28148,                  1520,             -1805079,,,             -2503978,              2081157,              1496640,              9533842,             -2167314,                322820,             -2247581,              6515586,,                 60852,                666747,               -147539,            -20082315,            -19502255,            -12986669,            -14791748,            -13765114,              2828785,             -1147993,                -17677,            -12101999,,                -49258,                     12,              1193983,                -25124,              1119613,,                              0,              6281686,                141521,                              0,               -408070,              6015137,                -12066,             -4979315,             85844817,             80865502,              6212221,             61864196,             12789085
2845,2015年01月01日至2015年03月31日,,              1245844,              1245844,,,                 46496,                  7038,               -120496,               -272645,              1639761,             -3054586,                -16924,                 -4719,             -1776075,,,              4443814,              2428253,                567679,            -14569777,             -8434111,                614376,               -449341,            -15399107,,              2831916,                352278,                271383,              6055721,              9511298,             -5887809,             -7663884,             -6418040,              3034672,             -1392764,                -22375,             -4798507,,                -65572,                     73,                184593,                -41833,                 77261,,                   -100,              4110743,                              0,               -297441,                -32158,              3781044,                 78776,               -861426,             81391201,             80529775,              6536460,             58085465,             15907850
