公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",22272563,10076608,12195955,10316319,22512274,6184035,-377217,12571765,3379257,-454721,2924536,0,0,0,2924536,2924500,36,0.47,0.00
"2881","富邦金",42216251,9303749,32912502,211750003,244662505,3658093,-199380926,24794206,16829280,-1934470,14894810,0,0,0,14894810,14713934,180876,1.82,0.00
"2882","國泰金",75719218,9461051,66258167,150557397,216815564,162419,-164850199,39521838,12281108,-4566207,7714901,0,0,0,7714901,7842165,-127264,0.80,0.00
"2883","開發金",2636729,1397447,1239282,7312541,8551823,-338939,0,3981825,4908937,715587,5624524,0,0,0,5624524,5618839,5685,0.53,0.00
"2884","玉山金控",12188069,5992781,6195288,3203041,9398329,1073671,0,6681981,1642677,-197408,1445269,0,0,0,1445269,1445269,0,0.40,0.39
"2885","元大金",7016322,2295710,4720612,13901603,18622215,384708,0,10890079,7347428,-1309643,6037785,0,0,0,6037785,5983649,54136,0.75,0.00
"2886","兆豐金",32315439,12141351,20174088,16114020,36288108,6248567,-100409,14803560,15135572,-3760249,11375323,0,0,0,11375323,11358759,16564,1.03,1.03
"2887","台新金控",31857605,15865016,15992589,14514438,30507027,3745434,0,20884750,5876843,-5308043,568800,0,0,0,568800,-748549,1317349,-0.20,0.00
"2888","新光金",35885916,3196465,32689451,83589784,116279235,1431206,-95446667,17298547,2102815,-1669461,433354,0,0,0,433354,-285131,718485,-0.04,0.00
"2889","國票金控",2053210,424423,1628787,3456617,5085404,187408,0,2080959,2817037,-524937,2292100,0,0,0,2292100,2116884,175216,1.01,0.00
"2890","永豐金控",17145839,8112060,9033779,8213536,17247315,4584198,0,11170613,1492504,-562789,929715,0,0,0,929715,934080,-4365,0.13,0.13
"2891","中信金",28037258,11553629,16483629,16674810,33158439,7782889,0,22014219,3361331,-2440078,921253,0,0,0,921253,915928,5325,0.01,0.00
"2892","第一金控",22063942,9651836,12412106,8115942,20528048,4881409,1075831,11824812,4897658,-402389,4495269,0,0,0,4495269,4528876,-33607,0.72,0.00
