年季,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015/04,2801,彰化銀行,20915929,8753930,329372,15594286,13746201,-2102864,11643337,--,--,11643337,171329,--,11814666,11643337,--,--,11814666,--,--,1.38
2015/04,2809,京城銀行,5079427,1043277,52633,1609509,4460562,-777808,3682754,--,--,3682754,398743,--,4081497,3682754,--,--,4081497,--,--,3.09
2015/04,2820,華票,1080659,1144013,-180401,487809,1917264,-307568,1609696,--,--,1609696,275541,--,1885237,--,--,--,--,--,--,1.20
2015/03,2801,彰化銀行,15534716,5996376,-810320,11413716,10927696,-1729335,9198361,--,--,9198361,381125,--,9579486,9198361,--,--,9579486,--,--,1.09
2015/03,2809,京城銀行,3853337,1061894,109162,1242786,3563283,-676725,2886558,--,--,2886558,-227776,--,2658782,2886558,--,--,2658782,--,--,2.41
2015/03,2812,台中銀行,5589086,1722614,164307,3808649,3338744,-527881,2810863,--,--,2810863,110049,--,2920912,2810863,--,--,2920912,--,--,0.93
2015/03,2820,華票,774757,853242,-148695,360892,1415802,-221834,1193968,--,--,1193968,163840,--,1357808,--,--,--,--,--,--,0.89
2015/03,2834,臺灣企銀,11602513,3481362,1901962,8584118,4597795,-792325,3805470,0,--,3805470,15877,--,3821347,3805470,--,0,3821347,--,0,0.67
2015/03,2836,高銀,1857242,648940,260034,1713196,532952,-61330,471622,--,--,471622,1717,--,473339,471622,--,0,473339,--,0,0.61
2015/03,2838,聯邦銀行,4651672,3743636,-71574,5796819,2670063,-420333,2249730,--,--,2249730,301150,--,2550880,2241119,--,8611,2542269,--,8611,0.86
2015/03,2845,遠東商銀,4316643,4096277,-135550,4921823,3626647,-519853,3106794,--,--,3106794,6374,--,3113168,3106794,--,--,3113168,--,--,1.03
2015/03,2847,大眾銀行,4246222,2565636,61494,5039402,1710962,-455506,1255456,--,--,1255456,-84202,--,1171254,1238650,--,16806,1149338,--,21916,0.45
2015/03,2849,安泰銀行,3176573,2605669,587376,2581561,2613305,-478821,2134484,0,--,2134484,360235,--,2494719,2134484,--,0,2494719,--,0,1.27
2015/02,2801,彰化銀行,10157193,3586365,-796291,7470583,7069266,-1132468,5936798,--,--,5936798,-13471,--,5923327,5936798,--,--,5923327,--,--,0.70
2015/02,2809,京城銀行,2570265,1401373,119060,928077,2924501,-536044,2388457,--,--,2388457,633621,--,3022078,2388457,--,--,3022078,--,--,1.99
2015/02,2812,台中銀行,3685657,1273490,69696,2508277,2381174,-352889,2028285,--,--,2028285,-9457,--,2018828,2028285,--,--,2018828,--,--,0.67
2015/02,2820,華票,500347,589072,-79621,237660,931380,-137273,794107,--,--,794107,26862,--,820969,--,--,--,--,--,--,0.59
2015/02,2834,臺灣企銀,7655253,2336470,1258934,5668402,3064387,-521490,2542897,--,--,2542897,-239672,--,2303225,2542897,0,0,2303225,0,0,0.48
2015/02,2836,高銀,1230927,462568,205758,1139207,348530,-37498,311032,--,--,311032,4695,--,315727,311032,--,0,315727,--,0,0.40
2015/02,2838,聯邦銀行,3062324,2371920,-22923,3816987,1640180,-274440,1365740,--,--,1365740,69192,--,1434932,1358680,--,7060,1427872,--,7060,0.52
