年季,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015/03,1409,新纖,27969471,26799947,1169524,199450,970074,--,970074,-731569,238505,792668,--,177406,116983,--,121522,0.48
2015/03,1718,中纖,25759285,21860396,3898889,815671,3083218,--,3083218,34,3083252,907525,--,2175693,823592,--,2259660,0.80
2015/03,2514,龍邦國際,56065322,56376286,-310964,529175,-840139,--,-840139,-2715773,-3555912,-401866,--,-438273,-1413205,--,-2142707,-0.77
2015/03,2905,三商,145575821,140431469,5144352,897656,4246696,--,4246696,-5434608,-1187912,2055693,--,2191003,-576793,--,-611119,3.20
2015/02,1409,新纖,18611343,18130641,480702,131172,349530,--,349530,-228497,121033,281664,--,67866,82396,--,38637,0.17
2015/02,1718,中纖,17143670,14264119,2879551,574750,2304801,--,2304801,-29014,2275787,730599,--,1574202,709178,--,1566609,0.65
2015/02,2514,龍邦國際,39112193,37756217,1355976,315644,1040332,--,1040332,-1132669,-92337,323255,--,717077,-142955,--,50618,0.62
2015/02,2905,三商,99034881,95106158,3928723,1009273,2919450,--,2919450,-1814629,1104821,1410259,--,1509191,648536,--,456285,2.20
2015/01,1409,新纖,9109647,8829763,279884,55692,224192,--,224192,-4815,219377,186238,--,37954,197856,--,21521,0.11
2015/01,1718,中纖,8434674,6974585,1460089,277999,1182090,--,1182090,-20205,1161885,381981,--,800109,377019,--,784866,0.34
2015/01,2514,龍邦國際,19424596,18042557,1382039,267663,1114376,--,1114376,152786,1267162,382185,--,732191,411172,--,855990,0.74
2015/01,2905,三商,56902876,55419693,1483183,741533,741650,--,741650,895571,1637221,331588,--,410062,770610,--,866611,0.52
2014/04,1409,新纖,44350318,42314303,2036015,313027,1722988,--,1722988,-153274,1569714,1365358,--,357630,1269587,--,300127,0.81
2014/04,1718,中纖,36951240,32335964,4615276,530909,4084367,--,4084367,151626,4235993,1084266,--,3000101,1201025,--,3034968,0.96
2014/04,2514,龍邦國際,90029526,88027571,2001955,359795,1642160,--,1642160,1075558,2717718,501915,--,1140245,929536,--,1788182,0.97
2014/04,2905,三商,186870139,184208897,2661242,26480,2634762,--,2634762,1419865,4054627,1259900,--,1374862,2003571,--,2051056,1.96
2014/03,1409,新纖,33084481,31250358,1834123,280839,1553284,--,1553284,19801,1573085,1244118,--,309166,1310474,--,262611,0.74
2014/03,1718,中纖,27323408,23569516,3753892,604036,3149856,--,3149856,252820,3402676,612657,--,2537199,811309,--,2591367,0.54
2014/03,2514,龍邦國際,69438681,67226838,2211843,266627,1945216,--,1945216,-949477,995739,696230,--,1248986,363829,--,631910,1.34
2014/03,2905,三商,134822206,131972082,2850124,390107,2460017,--,2460017,-27649,2432368,1229722,--,1230295,1354143,--,1078225,1.92
