年季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015/04,2888,新光金,73430803,131541690,204972493,1753172,170892417,24219041,8107863,-1269860,6838003,--,6838003,-5500559,1337444,5780140,--,1057863,324946,--,1012498,0.57
2015/03,2880,華南金,19843727,10245676,30089403,940725,512464,16144382,12491832,-1901451,10590381,0,10590381,895628,11486009,10590315,--,66,11485943,--,66,1.07
2015/03,2881,富邦金,69520642,249018535,318539177,-521976,209839956,38935126,70286071,-11939077,58346994,--,58346994,-79841690,-21494696,58143075,--,203919,-21843495,--,348799,5.68
2015/03,2882,國泰金,102701154,245877866,348579020,554171,239058848,45682063,63283938,-8399185,54884753,--,54884753,-59972055,-5087302,54430674,--,454079,-5732119,--,644817,4.33
2015/03,2883,開發金,7221218,14316042,21537260,-891008,--,15638738,6789530,-640485,6149045,--,6149045,-2752323,3396722,6088518,--,60527,3337276,--,59446,0.41
2015/03,2884,玉山金控,12960329,16366343,29326672,2787304,--,14550753,11988615,-1544986,10443629,--,10443629,462262,10905891,10394006,--,49623,10821947,--,83944,1.32
2015/03,2885,元大金,11896097,37771565,49667662,359041,13737977,23062804,12507840,-1081494,11426346,--,11426346,1512100,12938446,10424230,--,1002116,12492244,--,446202,0.99
2015/03,2886,兆豐金,28054096,15023580,43077676,-1256517,-8037,17844845,26497385,-4869516,21627869,--,21627869,-3356493,18271376,21750359,--,-122490,18292465,--,-21089,1.75
2015/03,2887,台新金控,13299546,15237743,28537289,533807,--,14927015,13076467,-1503179,11573288,--,11573288,-187533,11385755,11565729,--,7559,11378196,--,7559,1.23
2015/03,2888,新光金,53863245,99862041,153725286,1076184,130167804,17869464,4611834,-139725,4472109,--,4472109,-11791716,-7319607,4035421,--,436688,-7584510,--,264903,0.40
2015/03,2889,國票金控,1387906,2383663,3771569,196284,--,2037867,1537418,-310541,1226877,--,1226877,-46229,1180648,1193039,--,33838,1233979,--,-53331,0.44
2015/03,2890,永豐金控,13011155,11394889,24406044,-474965,--,14454918,10426091,-1411521,9014570,--,9014570,143278,9157848,9014196,--,374,9157474,--,374,0.89
2015/03,2891,中信金,40768300,107845610,148613910,837990,77530488,40598965,29646467,-4696931,24949536,--,24949536,-3028771,21920765,24945781,--,3755,21924486,--,-3721,1.51
