年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015/04,1236,宏亞食品,2317070,1642692,674378,--,--,674378,567293,--,107085,13548,120633,18815,101818,--,--,101818,129116,--,230934,101818,--,--,230934,--,--,0.94
2015/04,1452,宏益,1981644,1646382,335262,--,--,335262,114276,--,220986,194691,415677,44896,370781,--,--,370781,31563,--,402344,--,--,--,--,--,--,2.80
2015/04,1560,中砂,4046260,2796830,1249430,--,--,1249430,562839,--,686591,19450,706041,122717,583324,--,--,583324,-37879,--,545445,--,--,--,--,--,--,4.14
2015/04,1605,華新,149338115,143529210,5808905,-650,--,5809555,3851811,--,1957744,507687,2465431,737299,1728132,--,--,1728132,-3210351,--,-1482219,1601726,--,126406,-1604667,--,122448,0.45
2015/04,1721,三晃,1432395,1220708,211687,--,--,211687,149211,--,62476,-3106,59370,0,59370,--,--,59370,-6662,--,52708,59370,--,--,52708,--,--,0.71
2015/04,1730,花仙子,1985548,1085980,899568,--,--,899568,719706,--,179862,32167,212029,50808,161221,--,--,161221,-5603,--,155618,145804,--,15417,139432,--,16186,2.73
2015/04,1731,美吾華,1369188,738645,630543,--,--,630543,517964,477,113056,-18295,94761,15675,79086,--,--,79086,-10110,--,68976,79086,--,--,68976,--,--,0.60
2015/04,2059,川湖,4498347,1915012,2583335,--,--,2583335,559823,--,2023512,354736,2378248,455286,1922962,--,--,1922962,-4659,--,1918303,1922962,--,--,1918303,--,--,20.18
2015/04,2062,橋椿,6776525,5218643,1557882,--,--,1557882,826083,--,731799,77250,809049,185382,623667,--,--,623667,-35271,--,588396,623667,--,--,588396,--,--,3.83
2015/04,2325,矽品,82839922,61230622,21609300,--,0,21609300,8354769,--,13254531,-2863674,10390857,1628600,8762257,--,--,8762257,-906053,--,7856204,8762257,--,0,7856204,--,0,2.81
2015/04,2330,台積電,843497368,433117601,410379767,--,15126,410394893,88466500,-1880618,320047775,30381136,350428911,43872744,306556167,--,--,306556167,-14714182,--,291841985,306573837,--,-17670,291867757,--,-25772,11.82
2015/04,2344,華邦電,38350315,26528662,11821653,--,--,11821653,7712727,--,4108926,139258,4248184,775311,3472873,--,--,3472873,-1754383,--,1718490,3291251,--,181622,1541648,--,176842,0.90
2015/04,2405,浩鑫,5027166,4342544,684622,--,--,684622,937641,-1502,-254521,15446,-239075,-22015,-217060,--,--,-217060,83043,--,-134017,-213442,--,-3618,-132522,--,-1495,-0.63
2015/04,2409,友達,360346494,320509439,39837055,--,--,39837055,22315907,--,17521148,-9922298,7598850,2755968,4842882,--,--,4842882,-768225,--,4074657,4931960,--,-89078,4838950,--,-764293,0.51
2015/04,2439,美律,12240234,9845348,2394886,0,0,2394886,1542372,--,852514,-39214,813300,148074,665226,--,--,665226,50884,--,716110,641305,--,23921,690386,--,25724,3.48
2015/04,2442,新美齊,1233440,907690,325750,--,--,325750,294244,--,31506,28446,59952,8488,51464,--,--,51464,-11369,--,40095,48055,--,3409,36891,--,3204,0.25
2015/04,2465,麗臺科技,2476902,2074493,402409,--,--,402409,480981,--,-78572,127416,48844,4358,44486,--,--,44486,-3955,--,40531,52035,--,-7549,47830,--,-7299,0.49
2015/04,2474,可成科技,82413385,44266829,38146556,--,--,38146556,8720869,--,29425687,5271311,34696998,9515647,25181351,--,--,25181351,-680917,--,24500434,25120856,--,60495,24489048,--,11386,32.61
2015/04,2480,敦陽科技,4402929,3288772,1114157,--,--,1114157,815775,--,298382,31678,330060,61866,268194,--,--,268194,3141,--,271335,268194,--,0,271335,--,0,2.02
2015/04,2612,中航,3361457,2421693,939764,--,--,939764,349251,--,590513,-176438,414075,81288,332787,--,--,332787,413658,--,746445,332787,--,--,746445,--,--,1.30
2015/04,2637,F-慧洋,11011958,8359014,2652944,--,--,2652944,213866,--,2439078,-189186,2249892,494,2249398,--,--,2249398,450730,--,2700128,2244612,--,4786,2689993,--,10135,4.53
2015/04,2722,夏都,738026,315725,422301,--,--,422301,222407,-1397,198497,3096,201593,39027,162566,--,--,162566,-4041,--,158525,--,--,--,--,--,--,1.70
2015/04,2841,台灣土地,592069,130416,461653,--,--,461653,838495,--,-376842,2575988,2199146,159541,2039605,--,--,2039605,-1004,--,2038601,2040076,--,-471,2039072,--,-471,2.92
2015/04,2923,F-鼎固,12785203,6894422,5890781,0,0,5890781,858417,3275003,8307367,-725430,7581937,3891816,3690121,--,--,3690121,-2041807,--,1648314,3473430,--,216691,1486577,--,161737,2.00
2015/04,3008,大立光,55868893,23812108,32056785,--,--,32056785,4402153,--,27654632,1505330,29159962,5003434,24156528,--,--,24156528,-127248,--,24029280,24156528,0,0,24029280,0,0,180.08
2015/04,3011,今皓,2097950,2010799,87151,--,--,87151,228172,--,-141021,28450,-112571,-6106,-106465,--,--,-106465,-37238,--,-143703,-106465,0,0,-143703,0,0,-0.94
2015/04,3014,聯陽,3084419,1580949,1503470,--,--,1503470,1079814,--,423656,-6518,417138,78821,338317,--,--,338317,17861,--,356178,338317,--,0,356178,--,0,2.20
2015/04,3029,零壹科技,5404241,4865013,539228,--,--,539228,332037,--,207191,15827,223018,41672,181346,--,--,181346,-18656,--,162690,182802,--,-1456,164146,--,-1456,1.65
2015/04,3040,遠見,218789,82068,136721,--,--,136721,93115,--,43606,172338,215944,79432,136512,--,--,136512,-32275,--,104237,138906,--,-2394,106616,--,-2379,2.20
2015/04,3044,健鼎科技,43382817,36589453,6793364,--,--,6793364,3933450,0,2859914,670701,3530615,697949,2832666,--,--,2832666,7263,--,2839929,2832666,--,0,2839929,--,0,5.39
2015/04,3045,台灣大,116144205,79785135,36359070,--,--,36359070,17894501,304580,18769149,-603199,18165950,1997921,16168029,0,--,16168029,-1091109,--,15076920,15686186,--,481843,14681379,--,395541,5.76
2015/04,3189,景碩科技,23061311,17099709,5961602,--,--,5961602,2897878,--,3063724,141524,3205248,475722,2729526,--,--,2729526,-137614,--,2591912,2903952,--,-174426,2810012,--,-218100,6.51
2015/04,3413,京鼎,5409181,4464762,944419,--,--,944419,430360,--,514059,44855,558914,43884,515030,0,--,515030,-199728,--,315302,515030,--,--,315302,--,--,8.11
2015/04,3443,創意電子,7762132,5568157,2193975,--,--,2193975,1631522,--,562453,19821,582274,88034,494240,--,--,494240,1765,--,496005,494240,0,0,496005,0,0,3.69
2015/04,3474,華亞科,60762323,40700373,20061950,--,--,20061950,1194797,--,18867153,1802888,20670041,2592620,18077421,--,--,18077421,-11365,--,18066056,18077421,--,--,18066056,--,--,2.76
2015/04,3504,揚明光學,4460489,3233836,1226653,--,--,1226653,1127849,--,98804,75539,174343,45876,128467,--,--,128467,-34033,--,94434,128665,--,-198,94627,--,-193,1.13
2015/04,3518,柏騰科技,1181782,908346,273436,--,--,273436,431899,--,-158463,22629,-135834,33628,-169462,--,--,-169462,-68652,--,-238114,-169462,--,0,-238114,--,0,-1.98
2015/04,3679,新至陞,4398359,3575827,822532,--,--,822532,445217,--,377315,139117,516432,177006,339426,--,--,339426,-47497,--,291929,339426,--,--,291929,--,--,4.28
2015/04,3686,達能,1575121,2029895,-454774,--,--,-454774,78013,--,-532787,7936,-524851,78987,-603838,--,--,-603838,--,--,-603838,--,--,--,--,--,--,-1.73
2015/04,4108,懷特,20978,18274,2704,0,0,2704,269154,0,-266450,29277,-237173,4989,-242162,--,--,-242162,-19425,--,-261587,-203500,--,-38662,-222925,--,-38662,-1.24
2015/04,4144,F-康聯,2693025,1296468,1396557,--,--,1396557,923864,--,472693,77625,550318,162635,387683,--,--,387683,-188968,--,198715,285016,--,102667,104663,--,94052,3.68
