公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2441,2016年01月01日至2016年06月30日,,              1204533,              1204533,,,                902259,                  2414,                 -4716,                  1104,                -16843,                 13042,                  8846,                 17669,                923775,,,                -35200,                  8254,                162635,                -36671,                -29004,                -41749,                 28265,,                    408,                  1685,                172098,                -15683,               -139114,                 -2066,                 17328,                 45593,                969368,              2173901,               -278235,              1895666,,                              0,                              0,               -945846,                 -1056,                 -4259,                 14619,               -936542,,                              0,                              0,                 -2984,                956140,              4583834,              5539974,              5539974
2441,2015年01月01日至2015年06月30日,,              1131576,              1131576,,,                935623,                  1796,                 -5918,                  1180,                -18858,                              0,                              0,                 33654,                947477,,,                -37700,                  2184,               -186324,                 90879,                 79454,                  4483,                -47024,,                  5818,               -119853,                161714,                   -775,               -127209,                 -1777,                -82082,               -129106,                818371,              1949947,               -306451,              1643496,,               -200918,                200000,               -886716,                    -40,                   -354,                 17619,               -870409,,                  2000,                  2000,                 -2145,                772942,              4359057,              5131999,              5131999
