證券代號,年季,　 收入,　　 利息收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 減損迴轉利益,　　 兌換利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 手續費用,　　 採用權益法認列之關聯企業及合資損失之份額,　　 呆帳費用及保證責任準備提存,　　 備供出售金融資產已實現損失,　　 銷貨成本,　　 營業費用,　　　 營業費用合計,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主-綜合損益,　　 非控制股權-綜合損益,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
1718,2016年01月01日至2016年03月31日,,              2880789,                698676,                              0,                  4891,,              3863305,                 24509,                 31038,                 50215,              7553423,,              1043537,                266619,                 30127,                108084,                     25,              3815122,,              1653237,                  1817,              6918568,                634855,                132355,                502500,                502500,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -19610,                177220,                   -899,                158509,                158509,                661009,,               -105489,                607989,,                -44983,                705992,,                             -0.10,,                             -0.10
1718,2015年01月01日至2015年03月31日,,              2888401,                667973,                 23634,                143001,,              4625691,                 21603,                 24201,                 40170,              8434674,,              1073386,                193842,                              0,                 68014,                              0,              4122548,,              1513530,                  3265,              6974585,              1460089,                277999,              1182090,              1182090,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -66099,                 45759,                   -135,                -20205,                -20205,              1161885,,                381981,                800109,,                377019,                784866,,                              0.34,,                              0.34
