證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法之投資處分利益,　　　　　 採用權益法認列之關聯企業及合資利益之份額合計,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 其他利息以外收益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 不重分類至損益之項目(稅後),　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 其他不重分類至損益之項目,　　　 不重分類至損益之項目總額(稅後),　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2847,2016年01月01日至2016年03月31日,,,,              2239618,,                823189,              1416429,,,                705034,,                672523,,                  5886,,                 17487,,,                              0,                              0,                              0,,                 12884,                 12884,              1413814,              2830243,,              1329168,,,              1675157,,                 72516,,                650650,              2398323,,               -897248,               -464845,             -1362093,,               -897248,               -464845,             -1362093,,,                   -272,                              0,                   -272,,                 -4041,                 75681,                    608,                  2006,                 74254,                 73982,,             -1290117,                  2006,             -1288111,,             -1375692,                 13599,,             -1284521,                 -3590,,                             -0.49,,                             -0.49
2847,2015年01月01日至2015年03月31日,,,,              2350009,,                945002,              1405007,,,                760882,,                277039,,                 25983,,                 54836,,,                  5561,                  5561,                  5561,,                  7635,                  7635,              1131936,              2536943,,                 61291,,,                964622,,                 94328,,                602774,              1661724,,                813928,               -130722,                683206,,                813928,               -130722,                683206,,,                    444,                              0,                    444,,                -64549,                 80983,                    320,                 10939,                 27693,                 28137,,                700404,                 10939,                711343,,                655590,                 27616,,                679309,                 32034,,                              0.24,,                              0.19
