證券代號,年季,　 收入,　　 利息收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 備供出售金融資產已實現利益,　　 租賃收入,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 採用權益法認列之關聯企業及合資損失之份額,　　 租賃成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 營業費用合計,　　 兌換損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主-綜合損益,　　 非控制股權-綜合損益,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 停業單位稅後淨利（淨損）,　　 停業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 停業單位稅後淨利（淨損）,　　 停業單位稅後淨利（淨損）,　　 稀釋每股盈餘合計
2514,2016年01月01日至2016年03月31日,,                     84,                              0,                    290,                  6373,                 17228,                  4721,                 28696,,                 20305,                  8096,                 12094,,                  7342,                 33695,                 41037,                 10791,                  2388,                 94711,                -66015,                              0,                -66015,,                              0,                -66015,,,                   -359,                 62993,                -26750,                 35884,                 35884,                -30131,,                -65660,                   -355,,                -30039,                    -92,,                             -0.12,                              0.00,                              0.00,                             -0.12,,                             -0.12,                              0.00,                              0.00,                             -0.12
2514,2015年01月01日至2015年03月31日,,                    367,                  5128,                              0,                 13853,                 17588,                  2356,                 39292,,                 18244,                              0,                 13468,,                  6216,                 44927,                 51143,                      2,                    482,                 83339,                -44047,                              0,                -44047,,              1158423,              1114376,,,                -10713,                133226,                 30273,                152786,                152786,              1267162,,                382185,                732191,,                411172,                855990,,                             -0.08,                              0.82,                              0.82,                              0.74,,                             -0.08,                              0.82,                              0.82,                              0.74
