公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 出售及攤銷不良債權之損失,　　　　 處分承受擔保品損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 處分不動產及設備,　　 交割結算基金增加,　　 交割結算基金減少,　　 存出保證金增加,　　 取得無形資產,　　 處分承受擔保品,　　 取得投資性不動產,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 發行公司債,　　 發行金融債券,　　 存入保證金增加,　　 其他負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資
2838,2015年度,,              3840264,              3840264,,,              1659953,                 47225,               -113942,               -412352,              4013743,            -10098167,               -236354,                    389,                -27504,                -72681,                120000,                -15157,                              0,                 -6593,             -5141440,,,              1947488,             10194787,               -134478,            -23070382,             -8929244,             -3660871,             -4453808,            -28106508,,             -2966823,               -389630,             -4804340,             -1563426,             25165702,                  1480,                   -271,             15442692,            -12663816,            -17805256,            -13964992,             10045816,                241941,             -3992082,                -60933,             -7730250,,               -147896,                    775,                              0,                 24443,               -198979,                -82294,                 21750,                 -2954,             -1949914,             -2335069,,                160782,                604397,              2200000,                104727,                 34125,               -637242,                -26715,              2440074,                 82656,             -7542589,             86061535,             78518946,              8346755,             48100000,             22072191
2838,2014年度,,              3737796,              3737796,,,              1599068,                 35304,               -494806,               -480207,              3730345,             -9516680,                -94819,                  6791,                -19553,               -112978,                    654,                              0,                 65897,                              0,             -5280984,,,               -386401,             -6328889,               -727754,            -27579651,             -4957962,                -96593,                918530,            -39158720,,              1433686,             -1655522,              7208619,              1335606,             31767822,               -182930,                    129,             39907410,                748690,             -4532294,               -794498,              9721290,                 97168,             -3706634,               -219951,              5097375,,               -244023,                  1672,                   -845,                              0,                -75616,                -22316,                              0,               -929569,             -1375386,             -2646083,,                519120,                              0,                              0,                 10381,                 41000,                 -8962,                -17745,                543794,                502267,              3497353,             82564182,             86061535,              9590048,             50100000,             26371487
