公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分避險之衍生金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
1605,2016年01月01日至2016年03月31日,,              1278416,              1278416,,,                468707,                  9754,                  7667,                125274,                 68102,                -88346,                    383,               -175861,                    746,               -258787,                 34920,                  1835,                -66531,                127863,,,                240502,                927824,               -514115,                357431,                -79230,                -50319,                  2368,                884461,,                -39675,             -1223422,               -680918,                 21207,               -629413,                 41464,             -2510757,             -1626296,             -1498433,               -220017,                 78670,                -68736,               -216395,               -426478,,                108292,                              0,                              0,                 64446,                              0,             -1386651,                124432,                -24117,                              0,             -1113598,,                549182,             -1036049,                    220,                     -1,               -486648,               -251084,             -2277808,              8887554,              6609746,              6609746
1605,2015年01月01日至2015年03月31日,,               -107999,               -107999,,,                538708,                  9497,                 15393,                 31162,                 99411,               -104757,                    714,                 64543,                  1755,                 14965,                   -706,                     39,                -42978,                627746,,,               -141644,             -1604903,               -187793,                490091,                725256,                345202,                -16132,               -389923,,               -136267,               -612462,               -495430,                124616,                 10984,                 -3068,             -1111627,             -1501550,               -873804,               -981803,                 89761,               -111433,               -462672,             -1466147,,              1495221,                126338,               -615871,                    440,                300110,               -457375,                  1808,                 -5426,                208051,              1053296,,              3484788,             -1201656,                              0,                              0,              2283132,               -378495,              1491786,              6417086,              7908872,              7908872
