公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910322","康師傅",59797013,43881265,15915748,9634086,6281662,572330,180516,6673476,1749446,4924030,0,0,0,4924030,3617229,1306801,0.65,US$1:NT$29.40,臺灣銀行100年3月31日即期匯率
"9105","泰金寶",30137316,29215023,922293,769750,152543,655880,43203,765220,18200,747020,0,0,0,747020,747020,0,0.18,0.98:1(THB:NT),財報日之匯率
"910579","歐聖",1262238,175560,1086678,350916,735762,1712,67075,670399,126279,544120,0,0,0,544120,547682,-3562,0.27,RMB$1：NT$ 4.4923,我國與十六個貿易對手通貨對美元之匯率
"910861","神州",59600245,55108686,4491559,3142843,1348716,583247,367261,1564702,134727,1429975,0,0,0,1429975,1324654,105321,1.23,HKD＄1：NT$3.7162,以100.6.30www.oanda.com網站公佈匯率換算
"910948","融達",773352,746719,26633,22229,4404,8254,4824,7834,1887,5947,0,0,0,5947,5947,0,0.01,USD$1:NT$28.73,臺灣銀行於財務報表日之即期匯率
"9110","越南製造",2285000,1796585,488415,267323,221092,83183,3667,300608,59951,240657,0,0,0,240657,240657,0,0.00,USD $1 = NT$29.418,台北外匯經紀股份有限公司
"911602","華豐泰國",560573,481359,79214,43052,36162,7799,1043,42918,13085,29833,0,0,0,29833,29833,0,0.05,Baht＄1：NT$0.97,100/03/31之匯率
"911606","超級集團",2314036,1477999,836037,470184,365853,25260,8918,382195,35836,346359,0,0,0,346358,341292,5066,0.62,SGD$1：NT$23.3458,依中華民國中央銀行100.03.31匯率
"911608","明輝環球",814379,590653,223726,114214,109512,3216,1583,111145,17832,93313,0,0,0,93313,87688,5625,0.18,SGD$1:NT$23.34,臺灣銀行於財務報表日3.31之即期匯率
"911609","揚子江",13696354,9984943,3711411,311687,3399724,1820897,52659,5167962,878567,4289395,0,0,0,4289395,4287321,2074,1.12,RMB$1：NT$ 4.49,銀行期末平均匯率
"911610","聯合環境",486047,274855,211192,105304,105888,11550,15758,101680,18938,82742,0,0,0,82742,82742,0,0.17,SGD$1:NT$23.38,100.6.30臺灣銀行即期匯率
"911611","中國泰山",1042692,834085,208607,17312,191295,9498,2730,198063,49816,148247,0,0,0,148247,148247,0,0.13,RMB1:NTD4.4908,Bloomberg顯示3月31日閉市匯率
"911612","滬安電力",2726985,2356691,370294,160645,209649,7321,37089,179881,33460,146421,0,0,0,146421,146421,0,0.22,4.4858,以2010/12/31www.oanada.com網站之匯率換算
"911616","杜康控股",992671,674996,317675,172772,144903,2707,55450,92160,28871,63289,0,0,0,63289,63289,0,0.10,RMB$1:NT$4.716,2010年9月底
"911626","華運中國",667468,475267,192201,36021,156180,1096,2756,154520,43639,110881,0,0,0,110881,110881,0,0.25,4.5105,匯率係採用各該期期末之台灣銀行匯率
"916665","爾必達",34180184,29681081,4499103,5864653,-1365550,99274,1483037,-2749313,87490,-2836803,0,0,0,-2836803,-2940005,103202,-14.12,JPY$1:NT$0.3571,三菱東京UFJ銀行公表匯率（TTM）
