公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",48435475,24613240,23822235,12225105,36047340,8670235,-15628,17976239,9385238,-2715327,6669911,0,0,1282155,7952066,7951076,990,1.33,0.00
"2881","富邦金",61102940,31717679,29385261,92303540,121688801,15308514,-71951816,24822256,9606215,-1453563,8152652,0,0,663881,8816533,8399903,416630,1.09,0.00
"2882","國泰金",107166401,20153789,87012612,161486086,248498698,25889465,-167413720,51080580,4114933,3372705,7487638,0,0,3249323,10736961,10577260,159701,1.19,0.00
"2883","開發金",5269402,2901197,2368205,18756260,21124465,-427408,0,6671861,14880012,-674555,14205457,0,0,671116,14876573,15007334,-130761,1.36,0.00
"2884","玉山金控",20758067,10888819,9869248,848551,10717799,2339840,0,7985269,392690,-42133,350557,0,0,72026,422583,422608,-25,0.13,0.00
"2885","元大金",13211138,5772491,7438647,2672190,10110837,6078190,0,7811804,-3779157,303136,-3476021,0,0,165588,-3310433,-3311655,1222,-1.05,0.00
"2886","兆豐金",65913401,42143482,23769919,20350633,44120552,6479941,-155636,20486900,16998075,-2061075,14937000,0,0,1148103,16085103,16535257,-450154,1.45,0.00
"2887","台新金控",81287342,36588301,44699041,8209610,52908651,31728802,0,31879357,-10699508,2812952,-7886556,0,0,742710,-7143846,-16014155,8870309,-3.13,0.00
"2888","新光金",46705740,4995569,41710171,89150437,130860608,4335847,-99303187,22781615,4439959,672114,5112073,0,0,932571,6044644,5928246,116398,1.33,0.00
"2889","國票金控",3221301,2707099,514202,3781545,4295747,0,0,1897447,2398300,-443203,1955097,0,0,56205,2011302,1813973,197329,0.86,0.00
"2890","永豐金控",44565683,24604639,19961044,12872505,32833549,11725414,0,18395650,2712485,-756479,1956006,0,0,742712,2698718,2705501,-6783,0.39,0.00
"2891","中信金",67257577,29153813,38103764,8719081,46822845,30498953,0,31081636,-14757744,4507153,-10250591,0,0,58473,-10192118,-10199800,7682,-1.46,0.00
"2892","第一金控",43428162,22745589,20682573,13894829,34577402,4735859,0,15949453,13892090,-3883139,10008951,0,0,652607,10661558,10661558,0,1.79,0.00
