公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 無活絡市場之債務工具投資到期還本,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發行公司債,　　 償還公司債,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
1733,2015年度,,                311293,                311293,,,                102534,                  9563,                 10520,                 10347,                   -996,                   -865,                 10000,                 24000,                -17277,                   -184,                147642,,,                  7283,                -30951,                   -408,                 51642,                  4929,                 32495,,                 13832,                 16081,                   -707,                 -9956,                  2166,                 -3646,                 17770,                 50265,                197907,                509200,                  1003,                 -3000,                -35051,                472152,,               -827900,                894865,                              0,                -18898,                   -227,                              0,                 -7764,                 40076,,                395000,               -400000,                     18,               -246329,               -251311,                 13208,                274125,                217772,                491897,                491897
1733,2014年度,,                318942,                318942,,,                105710,                  9133,                              0,                  7688,                 -3096,                 -1252,                              0,                 24000,                -10993,                  2356,                133546,,,                -55230,                -36715,                   -287,                -18151,                 -5410,               -115793,,                -12104,                 36919,                   -827,                -10734,                  1693,                 -3472,                 11475,               -104318,                 29228,                348170,                  3118,                 -1550,                -82134,                267604,,               -284500,                314561,                    900,                -51934,                              0,                    100,                -13480,                -34353,,                              0,                              0,                              0,               -325154,               -325154,                 -9826,               -101729,                319501,                217772,                217772
