公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910069","新曄",16961831,15380755,1581076,1082721,498355,127264,170724,454895,104672,350223,0,0,0,350223,320265,29958,0.43,22.73,99年12月31日之新加坡幣對新台幣匯率
"9103","美德醫",1316297,1022521,293776,210901,82875,21760,54852,49783,9555,40228,0,0,0,40228,39645,583,0.09,US$1：NT$29.13,以99年12月31日台灣銀行之匯率換算
"910322","康師傅",194631571,139514931,55116640,36417540,18699100,3056552,2001988,19753664,3909246,15844418,0,0,0,15844418,11888943,3955475,2.12,US$1:NT$29.13,臺灣銀行99年12月31日即期匯率
"9104","萬宇科",14326100,12285572,2040528,1639912,400616,193644,226086,368174,97599,270575,0,0,0,270575,257881,12694,2.34,4.2018,www.oanda.com
"910482","聖馬丁",5920685,4636076,1284609,958715,325894,92356,128824,289426,-14398,303824,0,25361,0,329185,330145,-960,0.49,HKD$1:NT$3.691,臺灣會計師複核的財報報告
"9105","泰金寶",123086941,118483127,4603814,2833583,1770231,213232,582270,1401193,154224,1246969,0,0,0,1246969,1255825,-8856,0.31,1:0.98(THB:NT),財報日之匯率
"910579","歐聖",3624824,729787,2895037,1422125,1472912,18749,418329,1073332,280822,792510,0,0,0,792510,868787,-76277,0.43,RMB$1：NT$ 4.61,我國與十六個貿易對手通貨對美元之匯率
"9106","新焦點",4760180,3417665,1342515,1118383,224132,66909,63678,227363,56786,170577,0,0,0,170577,110861,59716,0.20,RMB$1:NT$4.4205,台灣銀行匯率
"910708","恒大健",1807957,1117479,690478,468746,221732,9866,17,231581,43233,188348,0,0,0,188348,188348,0,0.31,HKD$1:NT$4.130,990630港幣對新台幣匯率換算
"910801","金衛醫療",1202672,387878,814794,455421,359373,623503,479671,503205,110030,393175,-43836,0,0,349339,317413,31926,0.20,HKD$1：NT$ 4.213,民國九十九年度 3 月31 日之匯率
"910861","神州",215025006,200380448,14644558,11557580,3086978,2351109,884077,4554010,752935,3801075,0,0,0,3801075,3608194,192881,3.45,HKD＄1：NT$3.7854,以100.3.31www.oanda.com網站公佈匯率換算
"910948","融達",4359817,3955673,404144,107873,296271,211905,112759,395417,59113,336304,0,0,0,336304,336304,0,0.55,US$1:NT$29.40,台灣銀行於財務報表日之即期匯率-買賣均價
"9110","越南製造",7497438,5713745,1783693,1071782,711911,288636,48182,952365,189819,762546,0,0,0,762546,762546,0,0.85,USD$1：NT$30.368,台北外匯經紀股份有限公司
"911201","僑威",7777566,6761051,1016515,489789,526726,56697,138134,445289,105536,339753,0,0,0,339753,209045,130708,0.80,HKD $1: NT$3.748,臺灣銀行於財務報表日之即期匯率
"911602","華豐泰國",2039525,1734224,305301,170203,135098,23563,4758,153903,38466,115437,0,0,0,115437,115437,0,0.18,Baht＄1：NT$1.01,99/12/31之匯率
"911606","超級集團",8332226,5199967,3132259,1815327,1316932,423890,98187,1642635,231898,1410737,0,0,0,1410737,1387528,23209,2.53,SGD$1:NT$23.6824,依中華民國中央銀行99.12.31匯率
"911608","明輝環球",2341213,1631787,709426,379818,329608,6796,5864,330540,58962,271578,0,0,0,271578,258054,13524,0.60,SGD$1：NT$22.73,臺灣銀行於財務報表日之即期匯率
"911609","揚子江",57161133,44272842,12888291,978371,11909920,4726297,594238,16041979,2993007,13048972,0,0,0,13048972,13062603,-13631,3.53,RMB$1：NT$ 4.42,於財務報表日之銀行即期匯率
"911610","聯合環境",1820147,1252635,567512,248581,318931,69926,27448,361409,56969,304440,0,0,0,304440,304440,0,0.67,SGD$1:NT$23.34,100.3.31臺灣銀行即期匯率
