公司代號,公司名稱,收入,費用,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位稅後淨利(淨損),停業單位損益,列計非常損益及會計原則變動累積影響數前損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股盈餘
"2855","統一證券",6409196,4520969,1888227,82863,1805364,0,1805364,0,0,1805364,1803348,2016,1.50
"2856","元富證券",10370798,8674094,1696704,216337,1480367,0,1480367,0,0,1480367,1480367,0,1.02
"6005","群益證",8230657,5745556,2485101,818633,1666468,-1299,1665169,0,0,1712418,1645593,66825,0.80
"6012","金鼎證券",2970780,2711907,258873,260420,-1547,0,-1547,0,0,-1547,2016,-3563,0.00
