年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動之累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,換算匯率,換算匯率參考依據,營業外收入及支出
2005/03,9102,東亞科,11809133,10500931,1308202,1548944,-240742,-238308,41419,-279727,0,0,0,-279727,-215498,-64229,-0.47,19.63,資產負債表日台銀新加坡收盤價買賣平均匯率,2434
2005/03,9105,泰金寶,34224840,32171419,2053421,696958,1356463,1009414,7604,1001810,0,0,0,1001810,1001810,0,0.28,0.802:1(THB:NT),依財報日之匯率,-347049
