年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動之累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,換算匯率,換算匯率參考依據,營業外收入及支出
2005/01,9102,東亞科,3520674,3158921,361753,447652,-85899,-82077,8389,-90466,0,0,0,-90466,-77586,-12880,-0.17,19.11,資產負債表日台銀新加坡收盤價買賣平均匯率,3822
2005/01,9105,泰金寶,10534885,10005903,528982,215553,313429,259413,9487,249926,0,0,0,249926,249926,0,0.07,0.808:1(THB:NT),依財報日之匯率,-54016
