年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業外收入及支出,利息淨收益,利息以外淨收益,呆帳費用,會計原則變動之累積影響數,稀釋每股盈餘,利息收入,減：利息費用,淨收益,收回(提存)各項保險責任準備淨額,收入,費用,列計非常損益及會計原則變動累積影響數前損益,營業支出,換算匯率,換算匯率參考依據
2010/01,1236.0,宏亞食品,622207.0,402300.0,219907.0,114009.0,105898.0,108245.0,22264.0,85981.0,0.0,0.0,0.0,85981.0,85981.0,0.0,0.0,1.01,2347.0,,,,,,,,,,,,,,,
2010/01,1301.0,台塑,51033896.0,43837141.0,7196755.0,2209659.0,4987096.0,9144457.0,952982.0,8191475.0,0.0,0.0,0.0,8191475.0,8191475.0,0.0,0.0,1.34,4157361.0,,,,,,,,,,,,,,,
2010/01,1303.0,南亞塑膠,77914143.0,65203759.0,12710384.0,4138090.0,8573292.0,11265202.0,2055634.0,9209568.0,0.0,0.0,0.0,9209568.0,9006485.0,0.0,203083.0,1.15,2691910.0,,,,,,,,,,,,,,,
2010/01,1304.0,台聚,12917717.0,10958628.0,1959089.0,764952.0,1194137.0,1121461.0,252079.0,869382.0,0.0,0.0,0.0,869382.0,509737.0,0.0,359645.0,0.7,-72676.0,,,,,,,,,,,,,,,
2010/01,1305.0,華夏,3038759.0,2683807.0,354952.0,238289.0,116663.0,101675.0,12577.0,89098.0,0.0,0.0,0.0,89098.0,79332.0,0.0,9766.0,0.19,-14988.0,,,,,,,,,,,,,,,
2010/01,1307.0,三芳化工,2112484.0,1484206.0,628278.0,324798.0,303480.0,300607.0,-4947.0,305554.0,0.0,0.0,0.0,305554.0,305554.0,0.0,0.0,1.03,-2873.0,,,,,,,,,,,,,,,
2010/01,1308.0,亞聚,1483878.0,1135200.0,348678.0,55151.0,293527.0,304863.0,58948.0,245915.0,0.0,0.0,0.0,245915.0,245915.0,0.0,0.0,0.94,11336.0,,,,,,,,,,,,,,,
2010/01,1309.0,台達化工,3787454.0,3491591.0,295863.0,149270.0,146593.0,133829.0,11154.0,122675.0,0.0,0.0,0.0,122675.0,122675.0,0.0,0.0,0.44,-12764.0,,,,,,,,,,,,,,,
2010/01,1310.0,台苯,4570823.0,4419734.0,151089.0,185669.0,-34580.0,7126.0,-1677.0,8803.0,0.0,0.0,0.0,8803.0,-5530.0,0.0,14333.0,-0.01,41706.0,,,,,,,,,,,,,,,
2010/01,1312.0,國喬石化,7973751.0,7133500.0,840251.0,347764.0,492487.0,458218.0,28727.0,429491.0,0.0,0.0,0.0,429491.0,390908.0,0.0,38583.0,0.43,-34269.0,,,,,,,,,,,,,,,
