年季,公司代號,公司名稱,利息淨收益,利息以外淨收益,呆帳費用,營業費用,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動之累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,稀釋每股盈餘,營業收入,營業成本,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,利息收入,減：利息費用,淨收益,收回(提存)各項保險責任準備淨額,收入,費用,列計非常損益及會計原則變動累積影響數前損益,營業支出,換算匯率,換算匯率參考依據,會計原則變動累積影響數,綜合損益總額歸屬於共同控制下前手權益
2009/02,1101.0,台泥,,,,1347531.0,3564973.0,25816.0,3539157.0,0.0,0.0,,3539157.0,2136502.0,1402655.0,0.65,,39718793.0,34283693.0,5435100.0,4087569.0,-522596.0,,,,,,,,,,,0.0,0.0
2009/02,1102.0,亞泥,,,,1611401.0,5404634.0,372409.0,5032225.0,0.0,0.0,,5032225.0,4549505.0,482720.0,1.57,,22877847.0,18030443.0,4847404.0,3236003.0,2168631.0,,,,,,,,,,,0.0,0.0
2009/02,1103.0,嘉泥,,,,252061.0,172097.0,-33018.0,205115.0,0.0,0.0,,205115.0,205176.0,-61.0,0.36,,2513144.0,2241242.0,271902.0,19841.0,152256.0,,,,,,,,,,,0.0,0.0
2009/02,1104.0,環球水泥,,,,353624.0,298487.0,33759.0,264728.0,0.0,0.0,,264728.0,271156.0,-6428.0,0.45,,3100430.0,2907832.0,192598.0,-161026.0,459513.0,,,,,,,,,,,0.0,0.0
2009/02,1108.0,幸福水泥,,,,162290.0,73418.0,43069.0,30349.0,0.0,0.0,,30349.0,30688.0,-339.0,0.08,,1775952.0,1494324.0,281628.0,119338.0,-45920.0,,,,,,,,,,,0.0,0.0
2009/02,1109.0,信大水泥,,,,111364.0,118983.0,36924.0,82059.0,0.0,0.0,,82059.0,72497.0,9562.0,0.17,,1102185.0,892131.0,210054.0,98690.0,20293.0,,,,,,,,,,,0.0,0.0
2009/02,1110.0,東泥,,,,33500.0,109922.0,5287.0,104635.0,0.0,0.0,,104635.0,104534.0,101.0,0.18,,806741.0,714271.0,92470.0,58970.0,50952.0,,,,,,,,,,,0.0,0.0
2009/02,1201.0,味全公司,,,,3114773.0,333567.0,24492.0,309075.0,0.0,0.0,,309075.0,333704.0,-24629.0,0.66,,9590104.0,6121868.0,3468236.0,353463.0,-19896.0,,,,,,,,,,,0.0,0.0
2009/02,1203.0,味王公司,,,,483230.0,570502.0,46306.0,524196.0,0.0,0.0,,524196.0,405241.0,118955.0,1.96,,3779089.0,2665848.0,1113241.0,630011.0,-59509.0,,,,,,,,,,,0.0,0.0
2009/02,1210.0,大成長城,,,,2470840.0,1244835.0,285747.0,959088.0,0.0,0.0,,959088.0,793926.0,165162.0,1.81,,32100394.0,28457177.0,3643217.0,1172377.0,72458.0,,,,,,,,,,,0.0,0.0
2009/02,1213.0,大飲,,,,40391.0,-17157.0,-859.0,-16298.0,0.0,0.0,,-16298.0,-16298.0,0.0,-0.32,,311167.0,263602.0,47565.0,7174.0,-24331.0,,,,,,,,,,,0.0,0.0
2009/02,1215.0,卜蜂企業,,,,476954.0,283906.0,93982.0,189924.0,0.0,0.0,,189924.0,180827.0,9097.0,0.78,,7055298.0,6301467.0,753831.0,276877.0,7029.0,,,,,,,,,,,0.0,0.0
2009/02,1216.0,統一,,,,35611936.0,8898092.0,1582197.0,7315895.0,0.0,0.0,,7315895.0,5102238.0,2213657.0,1.31,,142231763.0,98601593.0,43630170.0,8018234.0,879858.0,,,,,,,,,,,0.0,0.0
2009/02,1217.0,愛之味,,,,853232.0,301916.0,96147.0,205769.0,0.0,0.0,,205769.0,194871.0,10898.0,0.46,,2537216.0,1569805.0,967411.0,114179.0,187737.0,,,,,,,,,,,0.0,0.0
2009/02,1218.0,泰山企業,,,,629353.0,157763.0,23352.0,134411.0,0.0,0.0,,134411.0,132124.0,2287.0,0.43,,4139329.0,3378840.0,760489.0,127834.0,29929.0,,,,,,,,,,,0.0,0.0
