公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收保費（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 存出保證金（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 無活絡市場之債務工具投資（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付保險賠款與給付增加（減少）,　　　　　 應付佣金增加（減少）,　　　　　 應付再保往來款項增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 存入保證金增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2852,2016年01月01日至2016年09月30日,,                408977,                408977,,,                 13129,                  2773,                -82407,                -49170,                262580,                146905,,,                 18615,                140137,                -10104,                130598,               -138826,               -258229,                 -3356,               -244372,                              0,                  4707,               -360830,,                -20951,                -13277,                -49219,                -34624,                 -7014,                    277,                 39918,                -84890,               -445720,               -298815,                110162,                 46378,                 49170,                -34122,                171588,,                   -673,                 -5754,                 -6427,,                              0,                              0,                165161,                946805,              1111966,              1111966
2852,2015年01月01日至2015年09月30日,,                160144,                160144,,,                 14926,                  1857,                -85207,                -78684,                274201,                127093,,,                -59932,                405230,                 -4085,               -212556,                -23929,               -125059,                  3451,                -35163,                -50000,                 -3038,               -105081,,                 -3281,                -28789,                -12841,               -110871,                -16822,                    410,                  5691,               -166503,               -271584,               -144491,                 15653,                 69341,                 78684,                -83614,                 80064,,                   -455,                 -3593,                 -4048,,               -114442,               -114442,                -38426,              1086854,              1048428,              1048428
