公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 不動產及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售資產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分待出售資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 處分無形資產,　　 因合併產生之現金流入,　　 取得投資性不動產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 發行公司債,　　 償還公司債,　　 發行金融債券,　　 其他借款增加,　　 附買回票券及債券負債增加,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資
2885,2015年度,,             13116553,             13116553,,,              1035990,              1116134,                614529,              8756733,            -24636845,             -1408055,             25669205,                -57079,                 41064,                              0,               -122914,                -36150,                293387,                 15292,                 49417,             11330708,,,               -278027,           -104447897,            -19443075,                              0,                981083,            -34866326,                -21378,            -29652685,            -53001771,             -4606241,           -245336317,,             27063358,              8933397,             10716455,             69792760,               -832766,             13020907,              7458648,            136152759,           -109183558,            -97852850,            -84736297,             23979044,              1436087,             -8967850,             -1471889,            -69760905,,                              0,               -781136,                705894,                 69246,             -6470497,                 87632,               -123234,                  6525,                603389,                -57061,              1235333,             -4723909,,            -10096416,              3374921,             -4129630,             10000000,             19915452,             65679009,              2602265,             -6449718,               -197606,               -664611,             80033666,               -384601,              5164251,            128948729,            134112980,             41773169,             65287479,             27052332
2885,2014年度,,             17890780,             17890780,,,              1125583,              1214185,               -234517,              6494033,            -20008841,             -1909896,             10045027,                 17384,               -148299,                    756,             -1330724,               -149159,                215498,                165324,             -5486072,             -9989718,,,             -2077305,            -50921522,            -10844017,              6865366,            -19275025,            -34981676,                 35940,            -16044265,            -12902022,             -4286741,           -144431267,,             -7391475,             29708503,             61170207,             25779163,             -4427612,             -3015799,             -1325645,            100497342,            -43933925,            -53923643,            -36032863,             17009740,              1868321,             -5431291,             -2667201,            -25253294,,              1455246,                              0,                  1515,              1309941,               -733750,                261864,               -119329,                193831,              5092403,               -283370,              4847400,             12025751,,              6080925,              5030000,             -9931860,              8000000,             -1626414,             41279488,                              0,             -7021912,                              0,                -48775,             41761452,                444544,             28978453,             99970276,            128948729,             47061183,             64244339,             17643207
