年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 53
2013/04,2880,華南金,49164202.0,122085753.0,44612847.0,86877259.0,6132.00,610822.0,48505696.0,2022777.0,--,1406686928.00,2563184.00,310957337.00,75532.0,--,44373098.0,7517333.0,32173716.0,403916.0,2347229.0,3744810.0,2164728571.0,131875899.00,--,20794876.0,86820.00,24494364.0,5456332.0,29717876.0,2194257.0,--,1737742713.00,41541653.00,938000.00,--,15560087.0,8664716.0,6101863.0,3898365.0,2029067821.0,90562816.0,17758986.0,29482953.0,-2145471.0,--,--,135659284.0,1466.0,135660750.0,0.0,0.0,14.98,
2013/04,2881,富邦金,194224779.0,104504015.0,93717804.0,1631464808.0,517817.00,72391296.0,145015571.0,950196.0,--,1352883952.00,14033829.00,216982867.00,5133579.0,--,571464921.0,88287548.0,34003921.0,13454750.0,6728774.0,24786415.0,4570546842.0,91718827.00,--,43000297.0,1872070.00,48188694.0,4724342.0,77844483.0,5951820.0,--,1504452622.00,114003337.00,35000.00,--,2160927865.0,182285637.0,2474686.0,16387266.0,4253866946.0,102336040.0,74446982.0,110424390.0,29250223.0,0.00,--,316457635.0,222261.0,316679896.0,0.0,0.0,30.92,
2013/04,2882,國泰金,331666078.0,151945066.0,244023246.0,1357106776.0,1300914.00,12960817.0,169590966.0,5585301.0,68479.00,1667391682.00,5740684.00,54970153.00,3153320.0,--,1724797817.0,191023573.0,104306810.0,9223432.0,15038697.0,26963277.0,6076857088.0,56985225.00,1497500.00,28754621.0,5148.00,60931600.0,10050000.0,37548440.0,37003.0,--,1585031001.00,92417213.00,--,--,3477440832.0,413414217.0,12771382.0,14712855.0,5791597037.0,119649621.0,89063184.0,52283098.0,20083810.0,0.00,--,281079713.0,4180338.0,285260051.0,0.0,0.0,23.49,
2013/04,2883,開發金,20195997.0,39581124.0,98297280.0,116258949.0,19568.00,20925493.0,125689985.0,755965.0,--,106857949.00,--,--,7286276.0,21726120.00,61379462.0,1830198.0,9087419.0,6277179.0,869150.0,10904908.0,647943022.0,6711620.00,--,22577982.0,64315.00,111975004.0,10116225.0,57673578.0,2388951.0,--,114808892.00,37068437.00,18687012.00,--,1140616.0,82559726.0,1353240.0,11714770.0,478840368.0,150308833.0,535087.0,14656447.0,-670876.0,-2170286.00,0.00,162659205.0,6443449.0,169102654.0,0.0,302586000.0,11.04,
2013/04,2884,玉山金控,21344052.0,57907807.0,283646429.0,72049774.0,0.00,0.0,62895383.0,563776.0,0.00,828238170.00,0.00,8593699.00,0.0,0.00,17578354.0,544587.0,19373142.0,5513344.0,343935.0,2444147.0,1381036599.0,47645621.00,--,12264067.0,0.00,6254291.0,1981970.0,19045582.0,505654.0,--,1150790905.00,53800000.00,268092.00,--,400265.0,2392644.0,745760.0,1586425.0,1297681276.0,55243000.0,14497390.0,12093934.0,816635.0,0.00,0.00,82650959.0,704364.0,83355323.0,0.0,0.0,14.96,
2013/04,2885,元大金,27229111.0,85619265.0,91573183.0,43612700.0,--,250724.0,98302239.0,1239819.0,1309054.00,397268743.00,--,7204646.00,805483.0,152682.00,60446473.0,4222882.0,12417996.0,25497006.0,1064109.0,6877941.0,865094056.0,13072480.00,--,29582483.0,--,23440116.0,8509446.0,63540151.0,4593107.0,0.00,470505829.00,31002148.00,1106179.00,--,2157166.0,41772374.0,1020822.0,13159292.0,703461593.0,98937235.0,33634947.0,22685193.0,3153871.0,0.00,--,158411246.0,3221217.0,161632463.0,0.0,0.0,16.01,
2013/04,2886,兆豐金,367990287.0,183257144.0,195800759.0,272943633.0,--,2585345.0,184587941.0,921969.0,2576.00,1654577193.00,3293937.00,184411233.00,2697551.0,--,23430204.0,2059428.0,22150245.0,318046.0,3785582.0,8810740.0,3113623813.0,490935730.00,32330245.00,14856685.0,--,219651334.0,4393653.0,66105983.0,5522518.0,--,1933722541.00,55898677.00,5509213.00,--,22414786.0,10094610.0,2051201.0,8544561.0,2872031737.0,124498240.0,55271623.0,61534835.0,100838.0,0.00,--,241405536.0,186540.0,241592076.0,0.0,0.0,19.39,
2013/04,2887,台新金控,61516953.0,124152449.0,102817889.0,251947289.0,62494.00,9470428.0,107590190.0,1759870.0,--,1845715026.00,--,228942921.00,221229.0,--,47507842.0,11808520.0,41530667.0,21563628.0,7809571.0,6569720.0,2870986686.0,176662165.00,--,16237369.0,--,37932722.0,0.0,46370940.0,4248028.0,--,2250576346.00,90322818.00,2287315.00,--,4422703.0,32803503.0,6711208.0,4422327.0,2672997444.0,82548070.0,9478327.0,18160507.0,944683.0,--,--,111131587.0,86857655.0,197989242.0,16505200.0,0.0,13.47,
2013/04,2888,新光金,43625253.0,120850612.0,91899916.0,357586019.0,--,3329957.0,65175198.0,3920628.0,3594919.00,656347501.00,--,306547795.00,95083.0,--,693767677.0,122990613.0,24687516.0,3166948.0,15097729.0,22550037.0,2535233401.0,4152993.00,--,9932689.0,--,21850128.0,7597049.0,32967106.0,160365.0,--,573445108.00,32902418.00,8279012.00,1654000.00,1613402731.0,95602452.0,3890087.0,14595395.0,2420431533.0,93288169.0,9180681.0,31034630.0,-32555630.0,--,--,100947850.0,13854018.0,114801868.0,0.0,0.0,10.82,
2013/04,2889,國票金控,1722845.0,1430095.0,114875387.0,71719506.0,--,259760.0,18741587.0,650383.0,--,--,--,--,1486552.0,--,4146544.0,0.0,1977964.0,569974.0,55224.0,1355902.0,218991723.0,--,15541346.00,375055.0,--,154234922.0,4592818.0,8820872.0,73083.0,--,--,--,--,--,1427401.0,1362844.0,37894.0,227269.0,186693504.0,26280696.0,7544.0,2311382.0,211851.0,-485234.00,--,28326239.0,3971980.0,32298219.0,0.0,50000000.0,10.99,
