證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 繼續營業單位淨利（淨損）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2547,2015年第3季,,                948530,,                558930,                389600,                389600,,,                388655,,                602323,,                    534,                991512,               -601912,,,                 49488,,                -22370,,                124479,                -97361,               -699273,,                 29176,               -728449,               -728449,,,                    994,                    994,                    994,               -727455,,               -730834,                  2385,,               -729840,                  2385,,                             -0.82,,,,,,
2547,2015年第2季,,                895039,,                510296,                384743,                384743,,,                181443,,                290758,,                    493,                472694,                -87951,,,                 63966,,                 -2135,,                123264,                -61433,               -149384,,                 24555,               -173939,               -173939,,,                   -378,                   -378,                   -378,               -174317,,               -175968,                  2029,,               -176346,                  2029,,                             -0.20,,,,,,
2547,2015年01月01日至2015年09月30日,,              2772251,,              1576310,              1195941,              1195941,,,                708450,,              1187664,,                  1572,              1897686,               -701745,,,                170125,,                -26367,,                350013,               -206255,               -908000,,                 83846,               -991846,               -991846,,,                    292,                    292,                    292,               -991554,,               -997640,                  5794,,               -997348,                  5794,,                             -1.12,,,,,,
2547,2015年01月01日至2015年06月30日,,              1823721,,              1017380,                806341,                806341,,,                319795,,                585341,,                  1038,                906174,                -99833,,,                120637,,                 -3997,,                225534,               -108894,               -208727,,                 54670,               -263397,               -263397,,,                   -702,                   -702,                   -702,               -264099,,               -266806,                  3409,,               -267508,                  3409,,                             -0.30,,,,,,
2547,2015年01月01日至2015年03月31日,,                928682,,                507084,                421598,                421598,,,                138352,,                294583,,                    545,                433480,                -11882,,,                 56671,,                 -1862,,                102270,                -47461,                -59343,,                 30115,                -89458,                -89458,,,                   -324,                   -324,                   -324,                -89782,,                -90838,                  1380,,                -91162,                  1380,,                             -0.10,,,,,,
2547,2014年第3季,,                964258,,                566061,                398197,                398197,,,                159568,,                232187,,                    249,                392004,                  6193,,,                 47554,,                 -9895,,                100241,                -62582,                -56389,,                 51028,               -107417,               -107417,,,                    653,                    653,                    653,               -106764,,               -110899,                  3482,,               -110246,                  3482,,                             -0.12,,,,,,
2547,2014年第2季,,                820016,,                477345,                342671,                342671,,,                201850,,                210633,,                              0,                412483,                -69812,,,                 59677,,                 -9234,,                 88752,                -38309,               -108121,,                 46811,               -154932,               -154932,,,                   -484,                   -484,                   -484,               -155416,,               -158000,                  3068,,               -158484,                  3068,,                             -0.18,,,,,,
2547,2014年01月01日至2014年09月30日,,              2519903,,              1357214,              1162689,              1162689,,,                460316,,                734857,,                    249,              1195422,                -32733,,,                152874,,                -19859,,                276719,               -143704,               -176437,,                121969,               -298406,               -298406,,,                     61,                     61,                     61,               -298345,,               -308885,                 10479,,               -308824,                 10479,,                             -0.35,,,,,,
2547,2014年01月01日至2014年06月30日,,              1555645,,                791153,                764492,                764492,,,                300748,,                502670,,                              0,                803418,                -38926,,,                105320,,                 -9964,,                176478,                -81122,               -120048,,                 70941,               -190989,               -190989,,,                   -592,                   -592,                   -592,               -191581,,               -197986,                  6997,,               -198578,                  6997,,                             -0.23,,,,,,
2547,2014年01月01日至2014年03月31日,,                735629,,                313808,                421821,                421821,,,                 98898,,                292037,,                              0,                390935,                 30886,,,                 45643,,                   -730,,                 87726,                -42813,                -11927,,                 24130,                -36057,                -36057,,,                   -108,                   -108,                   -108,                -36165,,                -39986,                  3929,,                -40094,                  3929,,                             -0.05,,,,,,
