證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 研究發展費用,　　　 研究發展費用合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 租賃收入,　　　 租賃收入合計,　 停業單位損益,　　 停業單位損益合計,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 繼續營業單位淨利（淨損）,　　　 租賃收入,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 其他綜合損益
1456,2015年第3季,,,                158439,                158439,,                140025,                 18414,                 18414,,,                  1211,,                 19656,                 20867,,                    166,                 -2287,,,                     34,,                  1498,,                 13944,,                   -119,                -12531,                -14818,,                              0,                              0,                              0,                -14818,                -14818,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -8428,,                              0,                              0,                 -8428,                 -8428,                -23246,,                -14818,,                -23246,,                             -0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年第2季,,,                136337,                136337,,                120242,                 16095,                 16095,,,                  2286,,                 17431,                 19717,,                              0,                 -3622,,,                     51,,                    297,,                 17712,,                   -149,                -17513,                -21135,,                              0,,                              0,                -21135,                -21135,,,,,,,,,,,,,,                 33045,,                              0,                              0,                 33045,                 33045,                 11910,,                -21135,,                 11910,,                             -0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年第1季,,,                137992,                137992,,                111801,                 26191,                 26191,,,                  2146,,                 30452,                 32598,,                              0,                 -6407,,,                    133,,                   -161,,                 14444,,                 -1284,                -15756,                -22163,,                              0,                              0,                              0,                -22163,                -22163,,,,,,,,,,,,,,                  1753,,                   -123,                              0,                  1630,                  1630,                -20533,,                -22163,,                -20533,,                             -0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年01月01日至2015年09月30日,,,                432768,                432768,,                372067,                 60701,                 60701,,,                  5643,,                 67657,                 73300,,                    166,                -12433,,,                    218,,                  1752,,                 46100,,                 -1552,                -45682,                -58115,,                              0,                              0,                              0,                -58115,                -58115,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 26370,,                   -123,                              0,                 26247,                 26247,                -31868,,                -58115,,                -31868,,                             -0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2015年01月01日至2015年06月30日,,,                274329,                274329,,                232043,                 42286,                 42286,,,                  4432,,                 47883,                 52315,,                              0,                -10029,,,                    184,,                    136,,                 32156,,                 -1433,                -33269,                -43298,,                              0,,                              0,                -43298,                -43298,,,,,,,,,,,,,,                 34798,,                   -123,                              0,                 34675,                 34675,                 -8623,,                -43298,,                 -8623,,                             -0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年第3季,,,                203106,                203106,,                198751,                  4355,                  4355,,,                  1504,,                 18073,                 19577,,                              0,                -15222,,,                    460,,               -983908,,                -19554,,                  1331,               -962563,               -977785,,                  3076,                 -1148,                  1928,               -979713,               -979713,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                949042,,                              0,                              0,                949042,                949042,                -30671,,               -979713,,                -30671,,                             -4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年第2季,,,                244680,                244680,,                260639,                -15959,                -15959,,,                  5413,,                 58957,                 64370,,                              0,                -80329,,,                    506,,                  3572,,                 14687,,                  1624,                 -8985,                -89314,,                   -996,,                   -996,                -88318,                -88318,,,,,,,,,,,,,,                   -938,,                              0,                              0,                   -938,                   -938,                -89256,,                -88318,,                -89256,,                             -0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年第1季,,,                246999,                246999,,                233473,                 13526,                 13526,,,                  9493,,                 19831,                 29324,,                     33,                -15765,,,                    648,,                 -6433,,                 13821,,                   -704,                -20310,                -36075,,                 -2080,                              0,                 -2080,                -33995,                -33995,,,,,,,,,,,,,,                 -4221,,                              0,                              0,                 -4221,                 -4221,                -38216,,                -33995,,                -38216,,                             -0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年度,,,,                908525,,                897448,                 11077,                 11077,,,                 12692,,                 90818,                103510,,                 -3381,                -95814,,,                 24965,,               -988384,,                 64022,,                  1720,             -1025721,             -1121535,,,,                 -2191,             -1119344,             -1119344,,,,,,,,,,,,,,,,,,,                985960,               -133384,,             -1119344,,               -133384,,                             -5.33,,                              0,                974143,                 11817,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年01月01日至2014年09月30日,,,                694785,                694785,,                692863,                  1922,                  1922,,,                 16410,,                 59951,                 76361,,                     33,                -74406,,,                  1614,,               -986769,,                 45864,,                  2251,             -1028768,             -1103174,,                              0,                 -1148,                 -1148,             -1102026,             -1102026,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                954201,,                              0,                              0,                954201,                954201,               -147825,,             -1102026,,               -147825,,                             -5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,2014年01月01日至2014年06月30日,,,                491679,                491679,,                494112,                 -2433,                 -2433,,,                 14906,,                 78788,                 93694,,                     33,                -96094,,,                  1154,,                 -2861,,                 28508,,                    920,                -29295,               -125389,,                 -3076,,                 -3076,               -122313,               -122313,,,,,,,,,,,,,,                 -5159,,                              0,                              0,                 -5159,                 -5159,               -127472,,               -122313,,               -127472,,                             -0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
