證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資損失
1416,2015年第3季,,                 40123,,                 29784,                 10339,                 10339,,,                 19533,,                 12071,                 31604,                -21265,,,                 10573,,                -65935,,                  2281,,                  1741,                -55902,                -77167,,                 -6114,                -71053,                -71053,,,                138210,                138210,                138210,                 67157,,                -70539,                   -514,,                 67671,                   -514,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,,,,,,,,,,,,
1416,2015年第2季,,                219052,,                231815,                -12763,                -12763,,,                 37423,,                 21680,                 59103,                -71866,,,                  3051,,                  3864,,                  2776,,                    778,                  4917,                -66949,,                -10886,                -56063,                -56063,,,                -35285,                -35285,                -35285,                -91348,,                -55978,                    -85,,                -91263,                    -85,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,,,,,,,,,,
1416,2015年01月01日至2015年09月30日,,              1128800,,                891968,                236832,                236832,,,                159226,,                 57796,                217022,                 19810,,,                 18195,,                -48483,,                  7282,,                 33761,                 -3809,                 16001,,                -12421,                 28422,                 28422,,,                 92211,                 92211,                 92211,                120633,,                 29230,                   -808,,                121441,                   -808,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,,
1416,2015年01月01日至2015年06月30日,,              1088677,,                862184,                226493,                226493,,,                139693,,                 45725,                185418,                 41075,,,                  7622,,                 17452,,                  5001,,                 32020,                 52093,                 93168,,                 -6307,                 99475,                 99475,,,                -45999,                -45999,                -45999,                 53476,,                 99769,                   -294,,                 53770,                   -294,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,,,,,,,,,,,,,
1416,2015年01月01日至2015年03月31日,,                869625,,                630369,                239256,                239256,,,                102270,,                 24045,                126315,                112941,,,                  4571,,                 13588,,                  2225,,                 31242,                 47176,                160117,,                  4579,                155538,                155538,,,                -10715,                -10715,                -10715,                144823,,                155747,                   -209,,                145032,                   -209,,                              0.54,                              0.54,,,,,,,,,,,,,,,,,,,,
1416,2014年第3季,,                 66494,,                 61086,                  5408,                  5408,,,                 28467,,                 31551,                 60018,                -54610,,,                 12747,,                173449,,                  1469,,                 69294,                254021,                199411,,                 19544,                179867,                179867,,,                 39574,                 39574,                 39574,                219441,,                180603,                   -736,,                220177,                   -736,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,,,,,,,,,,,,,
1416,2014年第2季,,                 45193,,                 32218,                 12975,                 12975,,,                 25769,,                 23002,                 48771,                -35796,,,                 65399,,                 -8068,,                  1474,,                 82454,                138311,                102515,,                 17944,                 84571,                 84571,,,                -35597,                -35597,                -35597,                 48974,,                 85365,                   -794,,                 49768,                   -794,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,,,,,,,,,
1416,2014年度,,              1161919,,                902832,                259087,                259087,,,                150192,,                125296,                275488,                -16401,,,                114742,,                238478,,                  7260,,                202737,                548697,                532296,,                 51721,                480575,                480575,,,,,                 66083,                546658,,                485408,                 -4833,,                551491,                 -4833,,                              1.68,                              1.68,,                              1.67,                              1.67,                 65620,                    463,,,,,,,,,,,,,,,
1416,2014年01月01日至2014年09月30日,,                151262,,                136265,                 14997,                 14997,,,                 76415,,                 78230,                154645,               -139648,,,                105012,,                137806,,                  4149,,                157323,                395992,                256344,,                 33884,                222460,                222460,,,                 26983,                 26983,                 26983,                249443,,                225309,                 -2849,,                252292,                 -2849,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,,,,,,,,,,,,,
1416,2014年01月01日至2014年06月30日,,                 84768,,                 75179,                  9589,                  9589,,,                 47948,,                 46679,                 94627,                -85038,,,                 92265,,                -35643,,                  2680,,                 88029,                141971,                 56933,,                 14340,                 42593,                 42593,,,                -12591,                -12591,                -12591,                 30002,,                 44706,                 -2113,,                 32115,                 -2113,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,,,,,,
