證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額
1592,2015年第3季,,,              1343497,              1343497,,,                891672,                891672,                451825,                451825,,,                193486,,                109060,,                 46045,                348591,,                     -5,                103229,,,                  4655,,                 27110,,                 25127,                  6638,                109867,,                 22402,                 87465,                 87465,,,                191501,                191501,,               -110378,               -110378,                 81123,                168588,,                 87465,,                168588,,                              0.87,,,,,
1592,2015年第2季,,,              1268332,              1268332,,,                857510,                857510,                410822,                410822,,,                189043,,                112549,,                 42919,                344511,,                              0,                 66311,,,                  3559,,                  6558,,                 24389,                -14272,                 52039,,                 10423,                 41616,                 41616,,,                -42395,                -42395,,                 12411,                 12411,                -29984,                 11632,,                 41616,,                 11632,,                              0.41,,                              0.41,,,
1592,2015年01月01日至2015年09月30日,,,              3928150,              3928150,,,              2642100,              2642100,              1286050,              1286050,,,                566487,,                327499,,                134347,              1028333,,                     -5,                257712,,,                 12888,,                 38768,,                 69465,                -17809,                239903,,                 62908,                176995,                176995,,,                115253,                115253,,               -108201,               -108201,                  7052,                184047,,                176995,,                184047,,                              1.76,,,,,
1592,2015年01月01日至2015年06月30日,,,              2584653,              2584653,,,              1750428,              1750428,                834225,                834225,,,                373001,,                218439,,                 88302,                679742,,                              0,                154483,,,                  8233,,                 11658,,                 44338,                -24447,                130036,,                 40506,                 89530,                 89530,,,                -76248,                -76248,,                  2177,                  2177,                -74071,                 15459,,                 89530,,                 15459,,                              0.89,,                              0.89,,,
1592,2015年01月01日至2015年03月31日,,,              1316321,              1316321,,,                892918,                892918,                423403,                423403,,,                183958,,                105890,,                 45383,                335231,,                              0,                 88172,,,                  4674,,                  5100,,                 19949,                -10175,                 77997,,                 30083,                 47914,                 47914,,,                -33853,                -33853,,                -10234,                -10234,                -44087,                  3827,,                 47914,,                  3827,,                              0.48,,                              0.48,                              0.48,                              0.48,
1592,2014年第3季,,,              1132767,              1132767,,,                806425,                806425,                326342,                326342,,,                151771,,                 90791,,                 34067,                276629,,                   -485,                 49228,,,                  5965,,                 -5197,,                 21793,                -21025,                 28203,,                  9891,                 18312,                 18312,,,                 44396,                 44396,,                    138,                    138,                 44534,                 62846,,                 18312,,                 62846,,                              0.21,,,,,
1592,2014年第2季,,,              1346186,              1346186,,,                968264,                968264,                377922,                377922,,,                155075,,                 95065,,                 36058,                286198,,                 -3170,                 88554,,,                  3599,,                  4829,,                 23571,                -15143,                 73411,,                 13786,                 59625,                 59625,,,                -47640,                -47640,,                   -260,                   -260,                -47900,                 11725,,                 59625,,                 11725,,                              0.67,,                              0.67,,,
1592,2014年度,,,,              4798743,,,,              3347036,              1451707,              1451707,,,                612776,,                372391,,                134437,              1119604,,                 -4397,                327706,,,                 14176,,                 -3952,,                 86171,                -75947,                251759,,                 83829,                167930,                167930,,,,,,,,                161924,                329854,,                167930,,                329854,,                              1.83,,                              1.83,                              1.83,                              1.83,                161924
1592,2014年上半年度,,,              2571795,              2571795,,,              1815980,              1815980,                755815,                755815,,,                311074,,                183428,,                 68721,                563223,,                 -3897,                188695,,,                  6010,,                  7002,,                 46219,                -33207,                155488,,                 52815,                102673,                102673,,,,,,,,                -15966,                 86707,,                102673,,                 86707,,                              1.15,,                              1.15,                              1.15,                              1.15,                -15966
1592,2014年01月01日至2014年09月30日,,,              3704562,              3704562,,,              2622405,              2622405,              1082157,              1082157,,,                462845,,                274219,,                102788,                839852,,                 -4382,                237923,,,                 11975,,                  1805,,                 68012,                -54232,                183691,,                 62706,                120985,                120985,,,                 51973,                 51973,,                -23405,                -23405,                 28568,                149553,,                120985,,                149553,,                              1.36,,,,,
