證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 利息費用,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨成本,　　　　 銀行存款利息
1522,2014年01月01日至2014年06月30日,,,              6888831,              6888831,,,              5772239,              5772239,              1116592,                    394,                100821,              1217019,,,                552060,,                386026,,                186297,              1124383,                 92636,,,,                  1148,                  3462,,                129193,                133803,,                 75514,                 42053,                 15604,                  3591,                 24855,                              0,                              0,                111907,,                 56577,,                105629,                294762,                387398,,                116240,                271158,,                              0,                271158,,,                -25925,                  8756,,                 -7237,                 -5036,                -19370,                -19370,                251788,,                193837,                 77321,,                178007,                 73781,,                              0.62,                              0.00,                              0.62,,,                              0,,,,,,,,,,,,,,,,,,
1522,2014年01月01日至2014年03月31日,,,              4658192,              4658192,,,              3859756,              3859756,                798436,                     18,                 99867,                898285,,,                302496,,                285811,,                118917,                707224,                191061,,,,                    788,                  1216,,                 34247,                 36251,,                   -118,                 35000,                 73935,                 -8194,                  7042,,,                 93581,,                 48907,,                 12119,                 93044,                284105,,                 47625,                236480,,,                236480,,,,,,,,,                 56850,                293330,,                154908,                 81572,,                205815,                 87515,,                              0.50,                              0.00,                              0.50,,,,,                 22976,                 32382,,,                  5286,                  3794,,,,                 48907,,,,,,,
1522,2013年第3季,,,              4107749,              4107749,,,              3385455,              3385455,                722294,                 -6126,                    544,                728964,,,                256110,,                304045,,                139748,                699903,                 29061,,,,                  1993,                  1215,                  1199,                  7302,                 11709,,                              0,                              0,                              0,                 10563,,                  1728,                              0,                -32191,,                 42813,,                 26586,                -36709,                 -7648,,                  2660,                -10308,,,                -10308,,,,,,,,,                -52869,                -63177,,                 -3170,                 -7138,,                -48773,                -14404,,                             -0.01,                              0.00,                             -0.01,,,                 30644,,                -15089,                  3551,,,                -51399,                -10068,,                 10382,                 10382,,,,,,,,
1522,2013年第2季,,,              4057455,              4057455,,,              3343653,              3343653,                713802,                  1344,                    547,                713005,,,                205387,,                247109,,                117558,                570054,                142951,,,,                  1431,                  1216,                    392,                 10384,                 13423,,                              0,                              0,                 16266,                  1793,                 10381,                  1435,,                  6243,,                 42384,,                 24546,                  1828,                144779,,                 20124,                124655,,,                124655,,,,,,,,,                -88747,                 35908,,                 81167,                 43488,,                 55602,                -19694,,                              0.26,                              0.00,                              0.26,,,                              0,,                -84839,                 -5298,,,                 -2761,                 -4151,,,,                 42384,,,,,,,
1522,2013年度,,,             16496008,             16496008,,,             13575827,             13575827,              2920181,                 99360,                107997,              2928818,,,                808392,,              1119274,,                534493,              2462159,                466659,,,,                  8326,                  4864,                  2766,                 61032,                 76988,,                              0,                              0,                 88731,                 13021,                131036,                 10778,                              0,                -40062,,                170869,,                -23245,               -157188,                309471,,                110020,                199451,,,                199451,,,,,,,,,                117109,                316560,,                 63383,                136068,,                147633,                168927,,                              0.20,                              0.00,                              0.20,,                              0.20,,,                139733,                 15919,                 11537,,                -36085,                 13995,,,,,,,,,,,
1522,2013年07月01日至2013年09月30日,,,              4107749,              4107749,,,              3385455,              3385455,                722294,                 -6126,                    544,                728964,,,                256110,,                304045,,                139748,                699903,                 29061,,,,                  1993,                  1215,                  1199,                  7302,                 11709,,                 -1728,,                -30644,                 10563,                 10382,,,                -32191,,                 42813,,                 26586,                -36709,                 -7648,,                  2660,                -10308,,                              0,                -10308,,,,,,,,,                -52869,                -63177,,                 -3170,                 -7138,,                -48773,                -14404,,,,                             -0.01,,,,,                -15089,                  3551,,,                -51399,                -10068,,,,                 42813,,              4107749,              4107749,                              0,                              0,              3385455,                  1993
1522,2013年04月01日至2013年06月30日,,,              4057455,              4057455,,,,              3343653,                713802,                  1344,                    547,                713005,,,                205387,,                247109,,                117558,                570054,                142951,,,,                  1431,                  1216,                    392,                 10384,                 13423,,                 -1435,,                 16266,                  1793,,,,                  6243,,                 42384,,                 24546,                  1828,                144779,,                 20124,                124655,,,                124655,,,,,,,,,                -28866,                 95789,,                 81167,                 43488,,                 55602,                 40187,,                              0.26,,                              0.26,,,,,                -24958,                 -5298,,,                 -2761,                 -4151,,                 10381,                 10381,                 42384,,              4057455,              4057455,,,,                  1431
1522,2013年01月01日至2013年12月31日,,,             16496008,             16496008,,,             13575827,             13575827,              2920181,                 99360,                107997,              2928818,,,                808392,,              1119274,,                534493,              2462159,                466659,,,,                  8326,                  4864,                  2766,                 61032,                 76988,,,,                 88731,                 13021,                131036,                 10778,,                -40062,,                170869,,                -23245,               -157188,                309471,,                110020,                199451,,,                199451,,,,,,,,,                117109,                316560,,                 63383,                136068,,                147633,                168927,,,,                              0.20,,,                              0,,                139733,                 15919,                 11537,,                -36085,                 13995,,,,,,,,,,,
1522,2013年01月01日至2013年09月30日,,,             12012651,             12012651,,,              9909543,              9909543,              2103108,                103332,                107454,              2107230,,,                622192,,                832135,,                386646,              1840973,                266257,,,,                  4371,                  3647,                  1591,                 29083,                 38692,,                              0,                              0,                 59878,                 12237,,                  2781,                              0,                 40109,,                127904,,                 71474,                 22371,                288628,,                 47304,                241324,,,                241324,,,,,,,,,                 41587,                282911,,                161492,                 79832,,                182350,                100561,,                              0.52,                              0.00,                              0.52,,,                              0,,                 89988,                  7704,,,                -53411,                  2694,,                 29225,                 29225,,,,,,,,
1522,2013年01月01日至2013年06月30日,,,              7904902,              7904902,,,              6524088,              6524088,              1380814,                109458,                106910,              1378266,,,                366082,,                528090,,                246898,              1141070,                237196,,,,                  2378,                  2432,                    392,                 21781,                 26983,,                              0,                              0,                 90522,                  1674,                 18843,                  1053,,                 72300,,                 85091,,                 44888,                 59080,                296276,,                 44644,                251632,,,                251632,,,,,,,,,                 94456,                346088,,                164662,                 86970,,                231123,                114965,,                              0.53,                              0.00,                              0.53,,,                              0,,                105077,                  4153,,,                 -2012,                 12762,,,,                 85091,,,,,,,
1522,2013年01月01日至2013年03月31日,,,              3847447,              3847447,,,              3180435,              3180435,                667012,                108114,                106363,                665261,,,                160695,,                280981,,                129340,                571016,                 94245,,,,                    947,                  1216,,                 11397,                 13560,,                    382,                              0,                 74256,                   -119,                  8462,,,                 66057,,                 42707,,                 20342,                 57252,                151497,,                 24520,                126977,,,                126977,,,,,,,,,                183203,                310180,,                 83495,                 43482,,                175521,                134659,,                              0.27,                              0.00,                              0.27,,,,,                189916,                  9451,,,                    749,                 16913,,,,                 42707,,,,,,,
1522,2012年07月01日至2012年09月30日,,,              3762604,              3762604,,,              3193365,              3193365,                569239,                 -3968,                    555,                573762,,,                214665,,                 84198,,                246403,                545266,                 28496,,,,                    816,                  1216,                  3025,                  8469,                 13526,,                  1269,,                -44760,                  7313,                 15600,,,                -51778,,                 42278,,                -45210,               -125740,                -97244,,                  9591,               -106835,,                              0,               -106835,,,,,,,,,                -44225,               -151060,,               -117728,                 10893,,               -145911,                 -5149,,,,                             -0.37,,,,,                -32920,                  2062,,,                -19563,                 -6196,,,,                 42278,,              3762604,              3762604,                              0,                              0,              3193365,                    816
1522,2012年04月01日至2012年06月30日,,,              3871766,              3871766,,,,              3222338,                649428,                  4603,                    554,                645379,,,                102638,,                395195,,                 68565,                566398,                 78981,,,,                  2102,                  1217,                  1509,                 29604,                 34432,,                 -4261,,                 11038,                  2012,,,,                 -6922,,                 38232,,                 21956,                 11234,                 90215,,                 44711,                 45504,,,                 45504,,,,,,,,,                 23944,                 69448,,                 28208,                 17296,,                 64096,                  5352,,                              0.09,,                              0.09,,,,,                 -2346,                 -5681,,,                 40485,                  8514,,                 15711,                 15711,                 38232,,              3871766,              3871766,,,,                  2102
1522,2012年01月01日至2012年12月31日,,,             14970915,             14970915,,,             12596295,             12596295,              2374620,                105926,                112358,              2381052,,,                594428,,              1145005,,                507630,              2247063,                133989,,,,                  5400,                  4877,                  5142,                116270,                131689,,,,                              0,                 22103,                 80550,                  8196,,               -176944,,                156527,,                 -7684,               -209466,                -75477,,                 36535,               -112012,,,               -112012,,,,,,,,,               -153511,               -265523,,               -176810,                 64798,,               -283294,                 17771,,,,                             -0.57,,,                110301,,                -93184,                -13117,                -53690,,                -12029,                -18509,,,,,,,,,,,
1522,2012年01月01日至2012年09月30日,,,             11147361,             11147361,,,              9377474,              9377474,              1769887,                101625,                111805,              1780067,,,                423677,,                832290,,                378051,              1634018,                146049,,,,                  3440,                  3649,                  4534,                 46230,                 57853,,                 -8291,,                -94213,                 20270,                 36736,,,               -118970,,                115729,,                -30596,               -207442,                -61393,,                 51958,               -113351,,                              0,               -113351,,,,,,,,,                -82460,               -195811,,               -142546,                 29195,,               -183433,                -12378,,,,                             -0.45,,,,,                -77448,                    979,,,                -15392,                 -9401,,,,                115729,,             11147361,             11147361,                              0,                              0,              9377474,                  3440
1522,2012年01月01日至2012年06月30日,,,              7384757,              7384757,,,,              6184109,              1200648,                105593,                111250,              1206305,,,                209012,,                748092,,                131648,              1088752,                117553,,,,                  2624,                  2433,                  1509,                 37761,                 44327,,                 -9560,,                -49453,                 12957,,,,                -67192,,                 73451,,                 14614,                -81702,                 35851,,                 42367,                 -6516,,,                 -6516,,,,,,,,,                -38235,                -44751,,                -24818,                 18302,,                -37522,                 -7229,,                             -0.08,,                             -0.08,,,,,                -44528,                 -1083,,,                  4171,                 -3205,,                 21136,                 21136,                 73451,,              7384757,              7384757,,,,                  2624
1522,2012年01月01日至2012年03月31日,,,              3512991,              3512991,,,              2961771,              2961771,                551220,                100990,                110696,                560926,,,                106374,,                352897,,                 63083,                522354,                 38572,,,,                    522,                  1216,,                  8157,                  9895,,                 -5299,,                -60491,                 10945,                  5425,,,                -60270,,                 35219,,                 -7342,                -92936,                -54364,,                 -2344,                -52020,,                              0,                -52020,,,,,,,,,                -62179,               -114199,,                -53026,                  1006,,               -101618,                -12581,,                             -0.17,,                             -0.17,,                             -0.17,,                             -0.17,                -42182,                  4598,,,                -36314,                -11719,,,,                 35219,,              3512991,              3512991,,,              2961771,
