證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 其他收入－其他,　 停業單位損益,　　 停業單位損益合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　　　 租賃成本,　　 推銷費用,　　　 推銷費用合計,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　　 倉儲收入,　　　 倉儲成本,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 利息費用,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　　 處分投資利益
1435,2013年第3季,,,                    174,,                  5786,                  5960,,,                     64,,                    793,                    857,                  5103,                  5103,,,                  6664,                  6664,                 -1561,,,                  2359,,                   -303,,                     33,                  2023,                    462,,,                    462,                    462,                    462,,                    462,,,                    462,,,                              0.00,,,                  2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2013年第2季,,,                    376,,                  5342,                  5718,,,                    177,,                    725,                    902,                  4816,                  4816,,,                  8454,                  8454,                 -3638,,,                  2546,,                   -590,,                     32,                  1924,                 -1714,,,                 -1714,                 -1714,                 -1714,,                 -1714,,,                 -1714,,                             -0.01,                             -0.01,,,                  2546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2013年度,,,                  1374,,                 22565,                 23939,,,                    639,,                  2959,                  3598,                 20341,                 20341,,,                 33884,                 33884,                -13543,,,                  6172,,                 -3745,,                    131,                  2296,                -11247,,                              0,                -11247,                -11247,                -11247,,                -11247,,,                -11247,,                             -0.09,                             -0.09,,                              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2013年07月01日至2013年09月30日,,,                    174,,                  5786,                  5960,,,                     64,,                    793,                    857,                  5103,                  5103,,,                  6664,                  6664,                 -1561,,,                  2359,,                   -303,,                     33,                  2023,                    462,,                              0,                    462,                    462,                    462,,                    462,                              0,,                    462,,                              0.00,                              0.00,,                              0,                      1,,,,                    174,                    174,                     64,,,                              0,,,,,,,,,,,,,                  5786,                    793,,                    604,                    604,                     37,                  1717,                              0,                              0,                    240,                              0,                     63,,                              0,                              0,                     33,                              0,                              0,
1435,2013年04月01日至2013年06月30日,,,                    376,,                  5342,                  5718,,,                    177,,                    725,                    902,                  4816,                  4816,,,                  8454,                  8454,                 -3638,,,                  2546,,                   -590,,                     32,                  1924,                 -1714,,                              0,                 -1714,                 -1714,                 -1714,,                 -1714,                              0,,                 -1714,,                             -0.01,                             -0.01,,,                      7,,,,                    376,                    376,                    177,,,                              0,,,,,,,,,,,,,                  5342,                    725,,                    637,                    637,                     36,                  1866,                     13,,,                              0,                    603,,                              0,                              0,                     32,,                              0,                              0
1435,2013年01月01日至2013年12月31日,,,                  1374,,                 22565,                 23939,,,                    639,,                  2959,                  3598,                 20341,                 20341,,,                 33884,                 33884,                -13543,,,                  6172,,                 -3745,,                    131,                  2296,                -11247,,,                -11247,                -11247,                -11247,,                -11247,,,                -11247,,                             -0.09,                             -0.09,,,                  6172,,                              0,,,,,,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
1435,2013年01月01日至2013年09月30日,,,                  1146,,                 16399,                 17545,,,                    585,,                  2219,                  2804,                 14741,                 14741,,,                 21699,                 21699,                 -6958,,,                  5286,,                   -701,,                     98,                  4487,                 -2471,,,                 -2471,                 -2471,                 -2471,,                 -2471,,,                 -2471,,,                             -0.02,,,                  5286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2013年01月01日至2013年06月30日,,,                    972,,                 10613,                 11585,,,                    521,,                  1426,                  1947,                  9638,                  9638,,,                 15035,                 15035,                 -5397,,,                  2927,,                   -398,,                     65,                  2464,                 -2933,,,                 -2933,                 -2933,                 -2933,,                 -2933,,,                 -2933,,                             -0.02,                             -0.02,,,                  2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2013年01月01日至2013年03月31日,,,                    596,,                  5271,                  5867,,,                    344,,                    701,                  1045,                  4822,                  4822,,,                  6581,                  6581,                 -1759,,,                    381,,                    192,,                     33,                    540,                 -1219,,,                 -1219,                 -1219,                 -1219,,                 -1219,,,                 -1219,,,                              0.00,,,                    381,,,,                    596,                    596,                    344,                    701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2012年07月01日至2012年09月30日,,,                    522,,                  4284,                  4806,,,                    320,,                    515,                    835,                  3971,                  3971,,,                  7339,                  9733,                 -5762,,,                    801,,                    983,,                     28,                  1756,                 -4006,,                              0,                 -4006,                 -4006,                 -4006,,                 -4006,                              0,,                 -4006,,                             -0.03,                             -0.03,,                              0,                      1,,,,                    522,                    522,                    320,,,                  2394,,,,,,,,,,,,,                  4284,                    515,,                    453,                    453,                     40,                    307,                    690,                    293,                              0,                              0,                              0,,                              0,                              0,                     28,                              0,                              0,
1435,2012年04月01日至2012年06月30日,,,                    281,,                  5988,                  6269,,,                    213,,                    822,                  1035,                  5234,                  5234,,,                 11574,                 11586,                 -6352,,,                 49199,,                -28147,,                     29,                 21023,                 14671,,                              0,                 14671,                 14671,                 14671,,                 14671,                              0,,                 14671,,                              0.12,                              0.12,,,                     18,,,,                    281,                    281,                    213,,,                     12,,,,,,,,,,,,,                  5988,                    822,,                    427,                    427,                     39,                 48715,                     70,,,                              0,                  1652,,                 26569,                 26569,                     29,,                              0,                      4
1435,2012年01月01日至2012年12月31日,,,                  1656,,                 21544,                 23200,,,                    998,,                  2760,                  3758,                 19442,                 19442,,,                 41252,                 41274,                -21832,,,                 51126,,                -28146,,                    120,                 22860,                  1028,,,                  1028,                  1028,                  1028,,                  1028,,,                  1028,,                              0.01,                              0.01,,,                 51126,,                              0,,,,,,,                     22,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
1435,2012年01月01日至2012年09月30日,,,                  1150,,                 16229,                 17379,,,                    754,,                  2079,                  2833,                 14546,                 14546,,,                 25652,                 28067,                -13521,,,                 50337,,                -27007,,                     87,                 23243,                  9722,,                              0,                  9722,                  9722,                  9722,,                  9722,                              0,,                  9722,,                              0.08,                              0.08,,                              0,                     26,,,,                  1150,                  1150,                    754,,,                  2415,,,,,,,,,,,,,                 16229,                  2079,,                  1170,                  1170,                    119,                 49022,                              0,                    269,                              0,                    698,                      9,,                 26569,                 26569,                     87,                              0,                              0,
1435,2012年01月01日至2012年06月30日,,,                    628,,                 11945,                 12573,,,                    434,,                  1564,                  1998,                 10575,                 10575,,,                 18313,                 18334,                 -7759,,,                 49536,,                -27990,,                     59,                 21487,                 13728,,                              0,                 13728,                 13728,                 13728,,                 13728,                              0,,                 13728,,                              0.11,                              0.11,,,                     25,,,,                    628,                    628,                    434,,,                     21,,,,,,,,,,,,,                 11945,                  1564,,                    717,                    717,                     79,                 48715,                              0,,,                  1388,                    302,,                 26569,                 26569,                     59,,                              0,                    269
1435,2012年01月01日至2012年03月31日,,,                    347,,                  5957,                  6304,,,                    221,,                    742,                    963,                  5341,                  5341,,,                  6739,                  6748,                 -1407,,,                    337,,                    157,,                     30,                    464,                   -943,,                              0,                   -943,                   -943,                   -943,,                   -943,                              0,,                   -943,,                             -0.01,                             -0.01,,                              0,                      7,,,,                    347,                    347,                    221,,,                      9,,,,,,,,,,,,,                  5957,                    742,,                    290,                    290,                     40,,                              0,                  1350,,                  1458,,,,,                     30,,                              0,                    265
