證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 利息收入,　　　　 利息收入合計
3557,2015年第3季,,,                172012,                172012,,                169398,                  2614,                  2614,,,                 12112,,                 17220,,                  3329,                 32661,,                    551,                -29496,,,                    268,,                 20152,,                  2360,                 18060,                -11436,,                              0,                -11436,                -11436,,,                    655,                    655,                    655,                -10781,,                -11422,                    -14,,                -10767,                    -14,,                             -0.10,,                             -0.10,,,,,,,,
3557,2015年第2季,,,                152280,                152280,,                141510,                 10770,                 10770,,,                  9957,,                 18250,,                  3940,                 32147,,                    924,                -20453,,,                  1103,,                    437,,                  2121,                   -581,                -21034,,                              0,                -21034,                -21034,,,                   -379,                   -379,                   -379,                -21413,,                -21007,                    -27,,                -21386,                    -27,,                             -0.19,,                             -0.19,,,,,,,,
3557,2015年01月01日至2015年09月30日,,,                544892,                544892,,                506138,                 38754,                 38754,,,                 33607,,                 53429,,                 11073,                 98109,,                  2312,                -57043,,,                  1575,,                 16933,,                  6632,                 11876,                -45167,,                              0,                -45167,                -45167,,,                   -377,                   -377,                   -377,                -45544,,                -45077,                    -90,,                -45454,                    -90,,                             -0.41,,                             -0.41,,,,,,,,
3557,2015年01月01日至2015年06月30日,,,                372880,                372880,,                336740,                 36140,                 36140,,,                 21495,,                 36209,,                  7744,                 65448,,                  1761,                -27547,,,                  1307,,                 -3219,,                  4272,                 -6184,                -33731,,                              0,                -33731,                -33731,,,                 -1032,                 -1032,                 -1032,                -34763,,                -33655,                    -76,,                -34687,                    -76,,                             -0.31,,                             -0.31,,,,,,,,
3557,2015年01月01日至2015年03月31日,,,                220600,                220600,,                195230,                 25370,                 25370,,,                 11538,,                 17959,,                  3804,                 33301,,                    837,                 -7094,,,                    204,,                 -3656,,                  2151,                 -5603,                -12697,,                              0,                -12697,                -12697,,,                   -653,                   -653,                   -653,                -13350,,                -12648,                    -49,,                -13301,                    -49,,                             -0.12,,                             -0.12,                              0,,,,,,,
3557,2014年第3季,,,                270853,                270853,,                247935,                 22918,                 22918,,,                 16082,,                 15669,,                  4859,                 36610,,                  1140,                -12552,,,                    199,,                  7949,,                  2394,                  5754,                 -6798,,                              0,                 -6798,                 -6798,,,                    781,                    781,                    781,                 -6017,,                 -6513,                   -285,,                 -5732,                   -285,,                             -0.06,,                             -0.06,,,,,,,,
3557,2014年第2季,,,                199629,                199629,,                201310,                 -1681,                 -1681,,,                  9523,,                 14304,,                  6669,                 30496,,                    710,                -31467,,,                    934,,                 -5718,,                  2378,                 -7162,                -38629,,                 10000,                -48629,                -48629,,,                   -885,                   -885,                   -885,                -49514,,                -47779,                   -850,,                -48664,                   -850,,                             -0.44,,                             -0.44,,,,,,,,
3557,2014年度,,,                862624,                862624,,                871611,                 -8987,                 -8987,,,                 52500,,                 63306,,                 26771,                142577,,                  3238,               -148326,,,                  1798,,               -157387,,                  9568,               -165157,               -313483,,                 78686,               -392169,               -392169,,,,,                  2523,               -389646,,               -387055,                 -5114,,               -384532,                 -5114,,                             -3.54,,                             -3.54,,                  2523,                              0,,,,,
3557,2014年01月01日至2014年09月30日,,,                621619,                621619,,                624967,                 -3348,                 -3348,,,                 39114,,                 44866,,                 22238,                106218,,                  2513,               -107053,,,                  1340,,                  8250,,                  7449,                  2141,               -104912,,                 10000,               -114912,               -114912,,,                    528,                    528,                    528,               -114384,,               -111666,                 -3246,,               -111138,                 -3246,,                             -1.02,,                             -1.02,,,,,,,,
3557,2014年01月01日至2014年06月30日,,,                350766,                350766,,                377032,                -26266,                -26266,,,                 23032,,                 29197,,                 17379,                 69608,,                  1373,                -94501,,,                  1141,,                    301,,                  5055,                 -3613,                -98114,,                 10000,               -108114,               -108114,,,                   -253,                   -253,                   -253,               -108367,,               -105153,                 -2961,,               -105406,                 -2961,,                             -0.96,,                             -0.96,,,,,,,,
