公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910069","新曄",17956649,16319098,1637551,1033589,603962,193426,425314,372074,76713,295361,0,0,0,295361,285897,9464,0.34,23.31,100年12月31日之新加坡幣對新臺幣匯率
"9103","美德醫",1644111,1307922,336189,235838,100351,19537,69909,49979,-3120,53099,0,0,0,53099,52190,909,0.12,30.29,央行我國與主要貿易對手通貨對美元之匯率
"910322","康師傅",238200042,175742667,62457375,45822421,16634954,4439774,999815,20074913,4943875,15131038,0,0,0,15131038,12703823,2427215,2.27,US $ 1 :NT$ 30.28,台灣銀行100年12月31日即期匯率
"9104","萬宇科",14825997,12644668,2181329,1739684,441645,273792,154502,560935,154858,406077,0,0,0,406077,400094,5983,3.65,4.2283,www.oanda.com
"910482","聖馬丁",5177083,4168703,1008380,1102180,-93800,125192,280842,-249450,-14054,-235396,0,0,0,-235396,-217541,-17855,-0.29,HKD$1:NT$3.853,臺灣會計師複核的財報報告
"9105","泰金寶",122582983,119003874,3579109,3204528,374581,923368,211216,1086733,101370,985363,0,0,0,985363,985363,0,0.24,0.93:1(THB:NT),財報日之匯率
"910579","歐聖",-814477,2710657,-3525134,2111940,-5637074,64406,505815,-6078483,-487094,-5591389,-91669,0,0,-5683058,-5662019,-21039,-2.81,RMB$1：NT$4.81,我國與十六個貿易對手通貨對美元之匯率
"9106","新焦點",7182153,5229320,1952833,1521479,431354,85345,114999,401700,120724,280976,0,0,0,280976,125187,155789,0.22,RMB$1:NT$4.8101,台灣銀行於財務報表日之即期匯率-買賣均價
"910708","恒大健",1775053,1116719,658334,481354,176980,10206,532,186654,31706,154948,0,0,0,154948,154948,0,0.23,(HKD$1:NT$3.691),100.06.30 港幣兌新台幣匯率
"910801","金衛醫療",1280114,446307,833807,468599,365208,1111742,92446,1384504,176148,1208356,0,0,0,1208356,1112944,95412,0.65,HKD 1: NTD 3.9020,民國100年3月31日之匯率
"910861","神州",268823908,248856435,19967473,15397780,4569693,2936729,1313839,6192583,1181249,5011334,0,0,0,5011334,4652459,358875,4.35,HKD＄1：3.8229NT$,以101.03.31www.oanda.com網站公佈匯率換算
"910948","融達",4038110,3828020,210090,111662,98428,127518,48614,177332,25747,151585,0,0,0,151585,151585,0,0.24,29.51,台灣銀行於財務報表日之即期匯率買賣均價
"9110","越南製造",8185398,6750711,1434687,1091022,343665,328285,3463,668487,148903,519584,0,0,0,519584,519584,0,0.58,USD$1：NT$30.29,台北外匯經紀股份有限公司
"911201","僑威",7562514,6607263,955251,564372,390879,82064,93870,379073,81962,297111,43841,0,0,340952,136668,204284,0.52,HKD＄1：NT$3.897,臺灣銀行於財務報表日之即期匯率
"911602","華豐泰國",2151728,1843826,307902,147644,160258,21073,4852,176479,57635,118844,0,0,0,118844,118844,0,0.19,Baht＄1：NT$0.97,100/12/31之匯率
"911606","超級集團",10288891,6956012,3332879,1921228,1411651,313143,81897,1642897,147180,1495717,0,0,0,1495717,1449683,46034,2.60,23.3323,中央銀行於財務報表日之即期匯率
