公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",32386931,12135909,20251022,13783447,34034469,4783582,0,18760335,10404192,-1859935,8544257,0,0,0,8544257,8544207,50,1.22,0.00
"2881","富邦金",73297076,12297344,60999732,181021359,242021091,902389,0,40208576,35808874,-5121788,30687086,0,0,0,30687086,30542828,144258,3.39,3.38
"2882","國泰金",117654870,12599410,105055460,149715452,254770912,1062613,0,47888945,9617940,1666590,11284530,0,0,0,11284530,11128898,155632,1.10,0.00
"2883","開發金",4020681,2159497,1861184,5344203,7205387,-226763,0,5668212,1763938,-118173,1645765,0,0,0,1645765,1626885,18880,0.15,0.00
"2884","玉山金控",21329592,8641260,12688332,7516932,20205264,4540035,0,11622826,4042403,-558055,3484348,0,0,0,3484348,3484348,0,0.82,0.79
"2885","元大金",13008552,3736418,9272134,22776716,32048850,-260117,0,17184954,15124013,-1546345,13577668,0,0,0,13577668,13381719,195949,1.47,1.44
"2886","兆豐金",41474318,13195214,28279104,17472046,45751150,3714335,0,20988447,21115504,-3429822,17685682,0,0,0,17685682,17679892,5790,1.57,1.57
"2887","台新金控",43788708,17823361,25965347,27553544,53518891,5215262,0,28861408,19442221,-3159705,16282516,0,0,0,16282516,9431836,6850680,1.26,1.26
"2888","新光金",55257056,4128082,51128974,5756712,56885686,708532,0,21435781,6408323,-574900,5833423,0,0,0,5833423,5492556,340867,0.65,0.00
"2889","國票金控",2785177,1158636,1626541,3360563,4987104,142009,0,3018788,1826307,-419561,1406746,0,0,0,1406746,1531215,-124469,0.63,0.00
"2890","永豐金控",25763314,10253810,15509504,8924710,24434214,3444096,0,16408410,4581708,-1512768,3068940,0,0,0,3068940,3068940,0,0.42,0.42
"2891","中信金",39331868,11815366,27516502,32222894,59739396,569417,0,34132273,21564360,-3267335,18297025,0,0,0,18297025,18289538,7487,1.61,0.00
"2892","第一金控",34165988,12082544,22083444,10475514,32558958,5346832,0,17970688,9205691,-1734721,7470970,0,0,0,7470970,7602293,-131323,1.08,0.00
"5880","合庫金",4088789,1913083,2175706,759128,2934834,492154,0,2183218,259462,-70202,189260,0,71588,0,260848,262533,-1685,0.04,0.04
