公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",39719018,19992448,19726570,8979794,28706364,3656082,-282719,13939669,10827894,-1952326,8875568,0,0,0,8875568,8875510,58,1.46,0.00
"2881","富邦金",44309141,19579965,24729176,114562634,139291810,4338487,-101314487,20827397,12811439,-2265283,10546156,0,0,0,10546156,10170161,375995,1.32,0.00
"2882","國泰金",88434107,15775582,72658525,50165464,122823989,1147167,-78652720,40260335,2763767,982069,3745836,0,0,0,3745836,3787051,-41215,0.39,0.00
"2883","開發金",4778240,2743753,2034487,1930727,3965214,236103,0,3946032,-216921,67465,-149456,0,0,0,-149456,-148428,-1028,-0.01,0.00
"2884","玉山金控",18081215,11099374,6981841,4283094,11264935,2124618,0,6757770,2382547,-503362,1879185,0,0,0,1879185,1879185,0,0.55,0.42
"2885","元大金",12447239,5689559,6757680,11112765,17870445,1138621,0,11459798,5272026,-790997,4481029,0,760,0,4481789,4426769,55020,0.54,0.54
"2886","兆豐金",52779476,30970043,21809433,-1028464,20780969,5491824,-341465,15226457,-278777,-2044515,-2323292,0,0,0,-2323292,-2281798,-41494,-0.21,0.00
"2887","台新金控",55970906,31465501,24505405,14720261,39225666,10179266,0,24274774,4771626,-2361547,2410079,0,0,0,2410079,-363152,2773231,-0.13,0.00
"2888","新光金",40043202,5632962,34410240,34966434,69376674,858118,-64866003,19183520,-15530967,3940192,-11590775,0,0,0,-11590775,-11319711,-271064,-2.06,0.00
"2889","國票金控",3081641,2713004,368637,2128035,2496672,105835,0,1634524,756313,-253262,503051,0,0,58,503109,633049,-129940,0.29,0.00
"2890","永豐金控",42109522,29074230,13035292,1228962,14264254,4487331,0,13048875,-3271952,1291091,-1980861,0,0,0,-1980861,-1980635,-226,-0.28,0.00
"2891","中信金",44648200,21982706,22665494,24311454,46976948,9297673,0,23119592,14559683,-1318680,13241003,0,0,-65296,13175707,13172328,3379,1.36,0.00
"2892","第一金控",37629962,19277415,18352547,17352550,35705097,3296368,-8151224,13239383,11018122,-2865849,8152273,0,0,0,8152273,8255557,-103284,1.34,0.00
